Repository Name,Nº  C# Classes,Nº Branches,Nº Commits,Nº Contributors,Nº Forks,Nº Subscribers,Nº Stars
CompleteUnityDeveloper/02-Number-Wizard-Console,1,1,12,1,60,12,27
CompleteUnityDeveloper/1_Intro_Setup,1,1,7,2,4,6,17
manniru/VRSocialRoom,1,1,18,1,4,1,0
Hanslen/Google_VR_cursor_gaze_input,1,1,3,1,0,2,3
JuppOtto/Autowalk-for-Google-VR-SDK-with-Unity,1,1,12,1,8,1,11
olokobayusuf/NatCam-VR-Cardboard,1,1,13,1,4,4,11
SixWays/UnityVrTunnelling,1,1,12,2,6,4,23
udacity/VR-Scenes-and-Objects_Animations,1,1,8,4,5,12,3
CompleteUnityDeveloper/04-Number-Wizard-UI,2,1,14,1,9,3,4
janfiess/3D360Video_gear,2,1,4,0,4,6,7
manjogsingh/VR-Apartment,3,1,32,1,0,1,3
pratham2504/Shoot-em-VR,3,1,10,1,0,1,3
pushmatrix/marionettevr,3,1,7,1,7,7,23
criffin/vr-natural-movement,4,1,12,2,3,5,11
noxor0/VR-safety-edu,5,1,25,4,3,4,3
CompleteUnityDeveloper/05-Block-Breaker,7,2,42,1,26,4,19
evanfletcher42/AsteroidsVR,7,1,16,1,1,1,10
ludo6577/HelicopterVR,7,1,37,2,1,3,4
DePaul-Mixed-Reality/Maze_Game_2017,8,1,26,4,1,3,4
mrayy/MobileVRController,10,1,17,1,0,6,16
Eusth/VookaRaylee,11,1,22,1,2,4,37
ExtendRealityLtd/VRTK,12,2,2418,54,911,295,3160
createthis/unity_vr_ik_mecanim,13,1,6,1,9,6,43
csiro-scientific-computing/vr-ui,13,2,1,1,3,5,5
CompleteUnityDeveloper/06-Laser-Defender,14,2,39,2,13,2,11
CompleteUnityDeveloper/11-Ahoy-Matey-Original,14,3,15,3,12,7,22
Eusth/HoneySelectVR,14,1,46,1,25,31,97
mikeroyal/Geomapping-with-Unity-Mapbox,15,1,21,1,2,1,6
campfireunion/VRKeys,18,4,81,2,2,5,52
CompleteUnityDeveloper/07-Glitch-Garden-Original,21,3,57,3,32,15,41
ludo6577/VrMultiplatform,26,1,32,2,9,10,34
quintesse/PlayoVR,26,1,195,1,31,24,125
PierfrancescoSoffritti/RemoteVR_UnityServer,28,1,33,1,7,4,19
gradientspace/UnityVRManips,29,1,19,1,4,3,10
Eusth/PlayClubVR,32,2,84,1,6,12,37
YclepticStudios/arkit-vr,33,1,8,1,3,5,12
CompleteUnityDeveloper/03-Text101,35,3,17,1,12,9,16
shalperin/vr-bike-game-controller,35,1,31,1,13,5,25
Vivero/Kerbal-VR,39,5,399,2,20,23,128
NormalVR/CutieKeys,40,1,2,1,24,12,208
austinmwi/roomReplica,43,1,3,1,8,5,16
Hotrian/OpenVRTwitchChat,45,1,35,1,33,10,124
rjth/Punchkeyboard,47,1,22,1,37,23,188
CompleteUnityDeveloper/10-TwinStick-Original,49,2,19,3,18,16,32
GregBahm/PlaceViewer,49,1,10,1,15,11,176
Lofty-Whizz-Studios/The-Exorcism,49,1,3,1,0,1,3
vrdevschool/vr-game-design-livestream,49,1,9,1,2,5,15
SebLague/Pathfinding,50,2,11,1,143,38,322
gold3bear/learn_vr,52,1,3,0,11,3,17
SebLague/2DPlatformer-Tutorial,54,1,23,1,217,60,448
akorshak/codelab-unity-googlevr,56,1,2,1,0,1,3
JustInvoke/Randomation-Vehicle-Physics,58,2,46,2,106,46,415
TomorrowTodayLabs/NewtonVR,61,6,200,10,215,114,749
udacity/arkit-unity-course-assets,68,1,9,2,26,20,35
Unity-Technologies/probuilder-vr,69,1,93,2,17,17,69
udacity/arkit-unity-starter-project,69,1,9,2,9,16,9
Armour/Nightmares-VR,71,1,33,1,6,3,13
AADProductions/VR-SpellCasting,75,1,5,1,1,1,4
CompleteUnityDeveloper/08-Bowlmaster-Original,77,1,52,3,19,10,19
osmosacademy/vr-passport,77,2,220,8,12,12,16
ashanhol/CollectThemAllVR,78,2,8,1,5,4,8
B-Reel/vr-weight,78,2,10,2,7,10,33
vmohan7/Bow-ArrowLiveStream,79,1,4,1,13,8,52
VRUX-CO/VRDesignLab,80,1,336,4,17,16,91
oreilly-japan/unity-virtual-reality-projects-ja,81,2,27,2,19,9,35
SebLague/Procedural-Planets,82,1,16,1,165,31,264
VirtualRealityDesigner/ARCHIVED_04_Squashy_Toad_VR,82,19,40,3,4,3,8
KatVHarris/GettingStarted_VR,86,1,9,1,1,2,3
nikhilnxvverma1/vr-photo-album,86,1,147,4,3,2,8
bddckr/VRTK-PUN-NetworkTest,88,1,23,1,13,8,28
AdrianaVecc/MidnightSkyVR,89,3,58,1,1,2,8
AlabamaYarrow/LazerNinjaUnity,89,6,39,5,1,3,4
Hotrian/OpenVRDesktopDisplayPortal,92,1,83,1,86,39,396
nburfield/BasketballVR,92,3,6,1,0,2,4
not-surt/CarveVR,95,1,18,1,0,2,7
dschoeneborn/270Tetris,97,3,61,4,0,3,2
vmohan7/Navi,97,3,56,2,5,9,51
udacity/VR-Software-Development_Controlling-Objects-Using-Code,99,1,4,2,4,12,2
leweyg/vrbiofield,103,1,120,2,0,3,4
udacity/VR-Design_Intro-to-VR-Design,103,1,10,4,4,4,3
udacity/VR-Scenes-and-Objects_Lights,103,1,7,4,6,13,1
jgdoherty23/Tilt-Brush-Clone-for-Google-Cardboard,105,1,3,1,1,3,9
udacity/VR-Scenes-and-Objects_Build-an-Apartment,105,1,10,4,7,4,1
chrisnolet/GameJam,106,1,111,6,1,7,5
udacity/VR-Scenes-and-Objects_Cameras,106,1,7,4,6,13,3
udacity/VR-Software-Development_Creating-Scripts,107,1,6,4,6,14,5
udacity/VR-Software-Development_Physics-and-Audio,107,1,6,4,3,13,4
udacity/VR-Software-Development_Programming-Animations,107,1,7,4,5,13,1
udacity/VR-Software-Development_VR-Interaction,107,1,8,4,4,13,3
DenizTC/VRModelingStarter,108,1,10,1,2,7,16
Maruchu/SDUnityChanWarawara,108,1,7,1,0,2,7
udacity/VR-Design_Movement-Mechanics,108,2,8,4,7,4,3
Art404/richard-spencer-punching-bag,109,1,1,1,1,2,4
udacity/Mobile-Performance-Course-Assets,109,1,8,3,3,4,1
udacity/Mobile-Performance-Starter-Project,111,1,8,3,4,4,1
MarekMarchlewicz/ArmsVR,112,1,6,1,1,2,8
ababilinski/VR_Storytellers,114,2,34,2,3,6,5
KainosSoftwareLtd/VRSceneOverlay,114,1,2,1,4,5,11
KellanHiggins/VRCameraFramelines,114,1,9,1,6,4,47
pupil-labs/hmd-eyes,114,9,589,16,56,31,102
franklinwk/OpenVRUnityMedicalDemo,115,1,7,2,5,2,6
udacity/VR-Design_Puzzler,115,1,9,4,9,4,2
udacity/VR-Software-Development_Advanced-VR-Scripting,115,1,7,4,5,13,4
andrewjc/VRRecorder,117,1,3,1,3,6,11
harshitjuneja/ImmersiveEducator,117,1,12,3,6,5,12
CompleteUnityDeveloper/09-ZombieRunner-Original,120,1,30,3,26,21,60
OSVR/Unity-VR-Samples,123,2,60,1,46,23,53
awentzonline/UnityVRHands,125,1,2,1,2,1,4
rachel-1/SplatterVR,127,1,3,2,0,4,3
udacity/VR-Software-Development_A-Maze,128,1,9,4,7,4,2
CompleteUnityDeveloper/12_Tile_Vania,131,2,40,2,22,13,25
kurilchenko/1look,136,1,208,1,1,3,6
frog/vr-care,147,1,15,1,6,18,13
udacity/Introduction-to-Virtual-Reality_Udacity-Carnival,147,2,23,4,37,15,22
dzitsiuk/aeroteque,149,1,9,1,9,5,25
kikichristaki/VR-room-Samsung-Gear,151,1,8,1,2,7,4
UniVR/GolfVR,155,3,369,3,10,11,14
Virality/ShapeLab,159,6,124,3,0,3,4
pemami4911/V-RAVE,160,3,364,3,8,5,10
FusedVR/Spidey,168,1,4,2,2,3,6
wacki/Unity-VRInputModule,175,1,15,2,31,11,76
hookerz/Exo,187,1,2,1,3,4,13
FusedVR/GoogleEarthVR,189,1,2,1,8,9,31
AdrianBZG/Medieval_Warfare_VR-Unity,190,3,159,3,2,4,8
seangkelly/TeachU_VR,194,1,9,1,2,3,4
udacity/Performance-Bounceback-Starter-Project,197,3,12,3,1,14,3
felixkosmalla/unity-vive-reality-mapper,198,1,10,2,4,4,14
dingjun/ZombieVR,205,1,6,1,1,2,6
SebLague/Procedural-Landmass-Generation,208,1,23,1,316,64,544
udacity/RoboND-Rover-Unity-Simulator,216,2,59,4,36,23,64
WorldOfZero/Jet-Warrior,220,1,10,1,1,1,11
udacity/self-driving-car-sim,222,11,21,6,1219,227,3186
Tritium-3h/SimonSaysVR,230,1,8,2,0,3,4
yutokun/VR-Text-Input,259,1,75,1,0,1,11
IBM/vr-speech-sandbox-vive,262,1,111,11,48,33,83
AndroidHMD/TowerVR,264,1,291,6,1,2,5
resonance-audio/audio_factory,277,2,6,2,11,17,48
chrisjz/sm64vr,282,3,253,1,5,6,21
kahogeoff/vr-war-drum,290,2,52,1,4,5,11
mfitzer/KnightEvasion,292,1,5,1,0,1,0
googlevr/daydream-elements,342,1,9,3,37,37,131
MSHoloLens/VR-for-VLC,352,1,9,1,8,4,17
spatialos/sdk-for-unity-vr-starter-project,383,1,48,6,8,11,39
diglungdig/PVC2015,411,8,85,5,0,19,3
cloudhu/ChineseChessVR,430,2,121,2,29,13,52
ustwo/daydream-experiment,494,6,174,4,1,9,17
doctor-emmet/Social-VR,525,1,4,1,7,3,14
john-patterson/Build-A-Bridge,535,6,38,1,3,1,4
udacity/High-Immersion-Course-Assets,835,1,13,3,2,13,2
udacity/RoboND-QuadRotor-Unity-Simulator,1088,4,103,3,27,18,47
