Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AssertionComponent,13,40,8,9,37,336,57,0,1,"0,05000000074505806",6,11
IAssertionComponentConfigurator,0,0,7,0,0,30,0,1,0,-1,0,1
AssertionException,1,1,1,0,1,17,1,0,0,0,1,0
Assertions,0,4,0,0,4,34,7,0,0,-1,2,1
CheckMethod,0,0,0,0,0,29,0,0,0,-1,0,4
ActionBase,4,11,1,2,9,92,18,3,0,"0,7300000190734863",2,7
ActionBaseGeneric<T>,0,4,1,0,2,19,4,0,1,-1,0,0
BoolComparer,0,1,0,0,0,7,1,0,0,-1,0,0
ColliderComparer,1,1,0,1,0,22,2,0,0,0,1,0
CompareType,0,0,0,0,0,35,0,0,0,-1,0,9
ComparerBase,5,5,1,3,3,76,7,2,1,"0,6000000238418579",2,4
CompareToType,0,0,0,0,0,6,0,0,0,-1,0,4
ComparerBaseGeneric<T>,0,0,0,0,0,4,0,0,0,-1,0,0
"ComparerBaseGeneric<T1,T2>",1,6,2,1,3,55,7,0,2,1,0,0
FloatComparer,2,2,0,2,1,33,3,0,0,1,1,0
CompareTypes,0,0,0,0,0,7,0,0,0,-1,0,1
GeneralComparer,1,1,0,1,0,15,3,0,2,0,1,0
IntComparer,1,1,0,1,0,34,2,0,0,0,1,0
IsRenderedByCamera,1,1,0,1,0,24,2,0,0,0,1,0
StringComparer,3,1,0,3,0,35,3,0,0,0,1,0
TransformComparer,1,1,0,1,0,19,3,0,0,0,1,0
ValueDoesNotChange,1,1,0,0,0,13,3,0,1,0,0,0
Vector2Comparer,2,2,0,2,1,29,3,0,0,1,1,0
Vector3Comparer,2,1,0,2,0,25,2,0,0,0,1,0
Vector4Comparer,2,2,0,2,1,31,3,0,0,1,1,0
VectorComparerBase<T>,0,1,0,0,0,11,3,0,0,-1,0,0
InvalidPathException,0,1,0,0,1,7,1,0,0,-1,0,0
MemberResolver,4,13,0,0,5,199,34,0,0,0,0,4
TestResultState,0,0,0,0,0,39,0,0,0,-1,0,5
AssertionComponentEditor,8,9,0,0,2,202,25,0,0,0,7,0
AssertionExplorerWindow,14,12,0,0,8,181,19,0,0,"0,25",8,1
FilterType,0,0,0,0,0,9,0,0,0,-1,0,1
ShowType,0,0,0,0,0,6,0,0,0,-1,0,1
GroupByType,0,0,0,0,0,8,0,0,0,-1,0,1
IListRenderer,0,1,0,0,0,4,1,1,0,-1,0,1
AssertionListRenderer<T>,0,8,0,0,1,237,25,0,1,-1,5,0
Styles,8,2,0,7,0,47,2,0,0,1,0,5
DropDownControl<T>,7,4,0,5,4,70,11,0,0,"0,75",0,0
GroupByComparerRenderer,0,2,0,0,0,12,2,0,0,-1,2,0
GroupByExecutionMethodRenderer,0,1,0,0,0,23,2,0,0,-1,3,0
CheckFunctionAssertionPair,2,0,0,2,0,5,0,0,0,-1,2,1
GroupByGoRenderer,0,3,0,0,0,25,3,0,0,-1,1,0
GroupByNothingRenderer,0,2,0,0,0,12,2,0,0,-1,0,0
GroupByTestsRenderer,0,2,0,0,0,21,2,0,0,-1,1,0
PropertyPathSelector,5,6,0,0,2,197,16,0,0,0,4,1
SelectedPathError,0,0,0,0,0,6,0,0,0,-1,0,1
PropertyResolver,0,8,3,0,3,178,34,0,0,-1,1,1
Icons,14,2,0,11,0,47,3,0,0,0,0,4
ProjectSettingsBase,2,2,0,0,2,29,4,1,0,1,0,1
ResultSummarizer,10,2,12,0,2,159,6,0,0,0,1,2
StackTraceFilter,0,2,0,0,1,47,7,0,0,-1,0,2
XmlResultWriter,6,26,0,0,3,292,35,0,0,0,3,1
TestFilterSettings,12,7,0,7,7,94,11,0,0,0,3,1
Batch,7,4,0,3,1,112,8,0,0,0,3,0
TestRunnerEventListener,5,22,0,0,22,140,26,0,1,"0,550000011920929",3,0
GroupLine,4,11,1,1,2,145,27,0,1,0,6,2
RenderingOptions,6,0,0,6,0,9,0,0,0,-1,0,4
TestLine,5,9,1,1,3,165,35,0,1,"0,4399999976158142",8,2
UnitTestRendererLine,10,12,1,2,6,93,14,2,0,"0,25",1,4
UnitTestView,21,22,0,0,8,397,55,0,0,"0,09000000357627869",12,0
GuiHelper,0,8,0,0,4,131,20,0,0,-1,4,2
IUnitTestEngine,0,2,0,0,0,5,2,1,0,-1,3,1
NUnitExtensions,0,1,0,0,1,17,1,0,0,-1,1,0
NUnitTestEngine,2,8,0,0,4,197,24,0,1,0,6,1
TestFilter,4,0,0,4,0,7,0,0,0,-1,0,4
UnitTestInfo,0,6,11,0,4,92,12,0,0,-1,0,2
UnitTestResult,0,1,16,0,1,54,1,0,0,-1,1,8
UnitTestsRunnerSettings,4,3,0,4,3,22,3,0,1,1,0,1
ITestRunnerCallback,0,5,0,0,0,8,5,2,0,-1,0,5
TestRunnerCallbackList,1,7,0,0,7,55,12,0,1,0,1,1
