Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DirectionResource,9,2,9,0,2,229,8,0,1,1,5,3
Directions,1,3,0,0,2,43,3,0,0,0,6,3
Overview,4,2,0,3,1,25,2,0,0,0,0,1
DirectionsResponse,0,0,3,0,0,24,0,0,0,-1,0,3
Intersection,0,0,5,0,0,38,0,0,0,-1,0,0
Leg,0,0,4,0,0,30,0,0,0,-1,0,0
Maneuver,0,0,6,0,0,44,0,0,0,-1,0,0
Route,0,0,4,0,0,31,0,0,0,-1,0,1
Step,0,0,7,0,0,52,0,0,0,-1,0,0
Waypoint,0,0,2,0,0,17,0,0,0,-1,0,0
RoutingProfile,4,2,0,3,1,25,2,0,0,0,0,3
ForwardGeocodeResource,6,2,5,0,2,153,7,0,0,1,3,2
Geocoder,1,4,0,0,3,68,4,0,0,0,6,4
GeocodeResource<T>,4,0,4,1,0,58,0,0,1,-1,0,0
Feature,0,0,11,0,0,79,0,0,0,-1,0,2
GeocodeResponse,0,0,3,0,0,24,0,2,0,-1,0,0
ReverseGeocodeResponse,0,0,1,0,0,10,0,0,1,-1,0,2
ForwardGeocodeResponse,0,0,1,0,0,10,0,0,1,-1,0,3
Geometry,0,0,2,0,0,18,0,0,0,-1,0,0
ReverseGeocodeResource,1,2,1,0,2,42,3,0,0,1,2,1
CanonicalTileId,3,4,8,3,3,131,4,0,0,0,2,6
ClassicRasterTile,0,1,0,0,0,7,1,1,1,-1,1,0
ClassicRetinaRasterTile,0,1,0,0,0,7,1,0,2,-1,1,0
Map<T>,7,6,5,1,5,200,9,0,1,"0,33000001311302185",5,0
MapUtils,0,2,0,0,2,43,4,0,0,-1,1,1
RasterTile,1,2,1,0,0,35,2,3,1,1,1,3
RawPngRasterTile,0,1,0,0,0,7,1,0,2,-1,1,2
RetinaRasterTile,0,1,0,0,0,7,1,0,2,-1,1,0
Tile,5,8,6,0,3,218,12,2,1,"0,25",7,4
State,0,0,0,0,0,10,0,0,0,-1,0,4
Parameters,3,0,0,3,0,14,0,0,0,-1,2,2
TileCover,0,2,0,0,2,82,5,0,0,-1,4,4
TileResource,2,8,0,0,5,55,9,0,1,"0,8799999952316284",2,7
UnwrappedTileId,3,2,1,3,2,47,2,0,0,0,0,10
VectorTile,2,6,2,0,4,125,9,0,2,"0,33000001311302185",4,2
CachingWebFileSource,2,3,0,0,3,114,7,0,1,0,5,1
MemoryCacheAsyncRequest,0,2,2,0,2,27,2,0,1,-1,0,1
DiskCache,3,4,0,0,4,68,4,0,1,0,1,0
CacheItem,4,0,0,4,0,9,0,0,0,-1,0,2
ICache,0,3,0,0,0,10,3,2,0,-1,0,1
MemoryCache,3,4,0,0,4,68,4,0,1,0,1,0
FileSource,6,4,0,0,3,161,8,0,1,0,3,0
IAsyncRequest,0,1,1,0,0,8,1,3,0,-1,0,7
IAsyncRequestFactory,0,1,0,0,1,16,1,0,0,-1,1,2
IFileSource,0,1,0,0,0,11,1,3,0,-1,0,8
IResource,0,1,0,0,0,6,1,1,0,-1,0,0
Resource,0,3,1,0,1,45,5,2,0,-1,0,0
Response,10,4,5,9,3,270,14,0,0,"0,5",2,6
BearingFilter,2,2,0,2,2,44,5,0,0,0,0,1
Compression,0,1,0,0,1,57,2,0,0,-1,2,1
Constants,3,0,0,3,0,11,0,0,0,-1,0,5
Vector2dBounds,2,8,5,2,8,163,12,0,0,"0,25",1,6
IObservable,0,2,0,0,0,10,2,1,0,-1,1,0
IObserver,0,1,0,0,0,6,1,3,0,-1,0,2
PolylineUtils,0,3,0,0,2,103,6,0,0,-1,1,1
UnixTimestampUtils,0,2,0,0,2,27,2,0,0,-1,0,1
Mathd,6,48,0,6,46,346,82,0,0,"0,6200000047683716",1,3
RectD,0,2,4,0,2,22,2,0,0,-1,2,9
Vector2d,3,19,7,3,19,257,24,0,0,"0,25999999046325684",1,32
BboxToVector2dBoundsConverter,0,4,1,0,4,63,4,0,0,-1,1,0
JsonConverters,1,0,1,0,0,22,0,0,0,-1,0,6
LonLatToVector2dConverter,0,4,1,0,4,66,4,0,0,-1,1,0
PolylineToVector2dListConverter,0,4,1,0,4,60,4,0,0,-1,1,0
EnumExtensions,0,1,0,0,1,14,1,0,0,-1,0,0
VectorTileExtensions,0,1,0,0,1,180,7,0,0,-1,5,0
VectorTileFeatureExtensions,0,1,0,0,1,40,2,0,0,-1,3,0
InternalClipper,0,0,0,0,0,4473,0,0,0,-1,0,0
DoublePoint,2,3,0,2,3,17,3,0,0,0,0,0
PolyTree,1,2,1,0,2,31,4,0,0,1,0,0
PolyNode,6,4,6,0,1,63,7,0,0,0,0,0
Int128,2,7,0,0,7,125,12,0,0,0,0,0
IntPoint,2,5,0,2,5,65,7,0,0,"0,4000000059604645",0,0
IntRect,4,2,0,4,2,19,2,0,0,0,0,0
ClipType,0,0,0,0,0,1,0,0,0,-1,0,0
PolyType,0,0,0,0,0,1,0,0,0,-1,0,0
PolyFillType,0,0,0,0,0,1,0,0,0,-1,0,0
JoinType,0,0,0,0,0,1,0,0,0,-1,0,0
EndType,0,0,0,0,0,1,0,0,0,-1,0,0
EdgeSide,0,0,0,0,0,1,0,0,0,-1,0,0
Direction,0,0,0,0,0,1,0,0,0,-1,0,0
TEdge,18,0,0,0,0,20,0,0,0,-1,0,0
IntersectNode,3,0,0,0,0,5,0,0,0,-1,0,0
MyIntersectNodeSort,0,1,0,0,1,11,2,0,0,-1,0,0
LocalMinima,4,0,0,0,0,6,0,0,0,-1,0,0
Scanbeam,2,0,0,0,0,4,0,0,0,-1,0,0
Maxima,3,0,0,0,0,5,0,0,0,-1,0,0
OutRec,7,0,0,0,0,9,0,0,0,-1,0,0
OutPt,4,0,0,0,0,6,0,0,0,-1,0,0
Join,3,0,0,0,0,5,0,0,0,-1,0,0
ClipperBase,14,35,1,2,5,781,132,0,0,"0,49000000953674316",0,0
Clipper,14,103,2,3,19,2802,374,0,0,"0,7599999904632568",0,0
NodeType,0,0,0,0,0,1,0,0,0,-1,0,0
ClipperOffset,14,14,2,0,6,439,49,0,0,"0,28999999165534973",0,0
ClipperException,0,1,0,0,1,3,1,0,0,-1,0,0
