Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Common,38,3,3,35,3,154,4,0,0,"0,6700000166893005",1,13
ErrorType,6,0,0,6,0,9,0,0,0,-1,0,12
MetaDataKeyType,4,0,0,4,0,7,0,0,0,-1,0,0
AndroidResult,0,0,0,0,0,6,0,0,0,-1,0,1
OrientationManager,0,2,0,0,2,51,4,0,0,-1,0,1
TangoEnums,0,0,0,0,0,98,0,0,0,-1,0,4
TangoPoseStatusType,0,0,0,0,0,8,0,0,0,-1,0,2
TangoCoordinateFrameType,0,0,0,0,0,21,0,0,0,-1,0,3
TangoCameraId,0,0,0,0,0,8,0,0,0,-1,0,4
TangoEventType,0,0,0,0,0,9,0,0,0,-1,0,0
TangoConfigType,0,0,0,0,0,8,0,0,0,-1,0,3
TangoCalibrationType,0,0,0,0,0,15,0,0,0,-1,0,0
TangoImageFormatType,0,0,0,0,0,4,0,0,0,-1,0,1
TangoXYZij,8,1,0,8,1,38,1,0,0,0,0,1
TangoEvent,4,0,0,4,0,15,0,0,0,-1,0,1
TangoCoordinateFramePair,2,0,0,2,0,9,0,0,0,-1,0,5
TangoImageBuffer,7,0,0,7,0,47,0,0,0,-1,0,1
TangoCameraIntrinsics,8,0,0,8,0,51,0,0,0,-1,0,0
TangoPoseData,8,2,0,8,2,66,4,0,0,0,4,1
UUIDUnityHolder,3,8,0,1,8,88,9,0,0,0,3,2
UUID,1,0,0,1,0,6,0,0,0,-1,0,1
UUID_list,2,6,1,0,6,94,11,0,0,0,2,1
Metadata,2,2,0,1,2,25,2,0,0,0,1,2
TangoUnityImageData,7,0,0,7,0,40,0,0,0,-1,1,1
TangoUnityDepth,9,1,0,9,1,33,1,0,0,0,0,1
DepthListener,5,5,0,0,4,101,9,0,0,"0,6000000238418579",3,1
PoseListener,9,6,2,1,5,200,18,0,0,"0,33000001311302185",6,1
TangoEventListener,4,5,0,0,4,85,11,0,0,0,2,1
VideoOverlayListener,6,8,0,0,7,151,16,0,0,"0,6200000047683716",6,1
DepthProvider,0,1,0,0,1,40,2,0,0,-1,3,2
DepthAPI,0,1,0,0,1,13,1,0,0,-1,2,1
PoseProvider,4,20,0,0,20,620,51,0,0,"0,20000000298023224",7,3
PoseProviderAPI,0,15,0,0,15,144,15,0,0,-1,3,1
TangoApplication,35,47,0,10,22,950,116,0,0,"0,09000000357627869",18,0
PermissionsTypes,0,0,0,0,0,9,0,0,0,-1,0,1
TangoServiceAPI,0,3,0,0,3,28,3,0,0,-1,2,1
TangoConfig,6,15,0,0,14,444,29,0,0,0,4,1
Keys,12,0,0,12,0,24,0,0,0,-1,0,1
TangoConfigAPI,0,13,0,0,13,138,13,0,0,-1,3,1
TangoEvents,0,1,0,0,1,37,2,0,0,-1,3,1
EventsAPI,0,1,0,0,1,12,1,0,0,-1,2,1
YUVTexture,3,2,0,3,2,56,2,0,0,0,0,3
VideoOverlayProvider,2,5,0,0,5,156,10,0,0,"0,800000011920929",5,1
VideoOverlayAPI,0,5,0,0,5,60,5,0,0,-1,3,1
