Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
NetUtils,0,6,0,0,6,84,19,0,0,-1,0,4
NetworkReference,2,16,4,2,12,225,41,0,0,0,3,6
NetworkAttachment,2,2,0,1,1,17,3,0,0,0,0,1
NetworkAudio,1,8,0,0,3,57,14,1,0,"0,25",0,0
NetworkBehaviour,0,2,1,0,0,57,2,2,0,-1,0,1
PropertyEventHandler,1,2,1,0,0,39,7,0,0,1,2,2
NetworkObject,10,4,0,9,1,347,9,0,0,0,2,1
UpdateMode,0,0,0,0,0,1,0,0,0,-1,0,2
ComponentInterpolator,6,6,0,0,3,279,27,0,0,0,4,1
State,8,0,0,0,0,10,0,0,0,-1,0,1
PhotonViewLink,1,0,0,1,0,3,0,0,0,-1,0,2
NetworkGrabManager,6,8,2,2,0,80,11,0,1,0,2,1
NetworkSnapManager,6,9,2,1,0,106,12,0,1,0,2,1
AudioManager,5,4,0,1,3,47,7,0,0,"0,5",0,1
AvatarHMDSyncAction,8,7,0,4,0,75,11,0,0,"0,5699999928474426",1,0
AvatarSpawnManager,4,11,0,1,3,79,15,0,0,"0,36000001430511475",0,0
Billboard,1,1,0,1,0,16,3,0,0,0,0,0
Bullet,4,3,0,2,0,32,5,0,0,0,0,0
EnableOnWake,1,1,0,1,0,10,2,0,0,0,0,0
Gun,5,5,0,4,0,44,6,0,0,"0,6000000238418579",0,0
MyNetworkAudio,0,3,0,0,0,15,3,0,1,-1,1,0
NetworkConnectManager,3,13,0,3,12,75,14,0,0,1,0,0
PanoramaHeadFader,6,5,0,3,0,62,7,0,0,0,0,0
PanoramaSwitcher,4,6,0,1,0,46,8,0,0,"0,33000001311302185",1,0
SetupPlayerAvatar,2,6,0,2,0,70,12,0,0,"0,8299999833106995",2,0
SpeakerIconManager,7,2,0,5,0,46,7,0,0,0,0,0
Utils,0,11,0,0,11,92,24,0,0,-1,1,0
NetworkGrabManagerEditor,0,1,0,0,1,9,1,0,0,-1,1,0
NetworkSnapManagerEditor,0,1,0,0,1,10,1,0,0,-1,2,0
