Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Arm,0,5,2,0,5,127,5,0,1,-1,3,5
Bone,0,5,8,0,5,221,5,1,0,-1,3,7
BoneType,0,0,0,0,0,8,0,0,0,-1,0,5
ClockCorrelator,2,8,0,0,7,111,10,0,0,0,2,1
Config,2,15,0,0,13,262,20,0,0,"0,20000000298023224",4,3
ValueType,0,0,0,0,0,32,0,0,0,-1,0,3
Controller,7,32,5,0,18,641,34,0,1,"0,4699999988079071",22,5
PolicyFlag,0,0,0,0,0,23,0,0,0,-1,0,4
CSharpExtensions,0,6,0,0,6,88,10,0,0,-1,0,0
Device,0,7,11,0,7,278,9,0,0,-1,3,5
DeviceType,0,0,0,0,0,20,0,0,0,-1,0,0
DeviceList,0,3,2,0,3,67,6,0,0,-1,1,3
DistortionData,0,2,5,0,2,70,2,0,0,-1,0,4
LeapEvent,0,0,0,0,0,17,0,0,0,-1,0,2
LeapEventArgs,0,1,1,0,1,8,1,12,0,-1,1,3
FrameEventArgs,0,1,1,0,1,9,1,0,1,-1,1,1
ImageEventArgs,0,1,1,0,1,9,1,0,1,-1,1,1
ImageRequestFailedEventArgs,0,2,5,0,2,37,2,0,1,-1,2,2
LogEventArgs,0,1,3,0,1,13,1,0,1,-1,1,1
PolicyEventArgs,0,1,2,0,1,11,1,0,1,-1,0,1
DistortionEventArgs,0,1,1,0,1,8,1,0,1,-1,1,1
ConfigChangeEventArgs,0,1,3,0,1,13,1,0,1,-1,0,2
SetConfigResponseEventArgs,0,1,4,0,1,14,1,0,1,-1,1,2
ConnectionEventArgs,0,1,0,0,1,4,1,0,1,-1,0,1
ConnectionLostEventArgs,0,1,0,0,1,4,1,0,1,-1,0,1
DeviceEventArgs,0,1,1,0,1,8,1,0,1,-1,1,1
DeviceFailureEventArgs,0,1,3,0,1,13,1,0,1,-1,0,1
FailedDevice,0,2,2,0,2,78,2,0,0,-1,1,0
FailureType,0,0,0,0,0,27,0,0,0,-1,0,1
FailedDeviceList,0,2,1,0,2,27,2,0,0,-1,0,2
Finger,2,5,11,0,5,289,5,0,0,"0,6000000238418579",5,6
FingerType,0,0,0,0,0,10,0,0,0,-1,0,4
Frame,0,7,7,0,7,240,8,0,0,-1,3,9
Hand,2,6,20,0,6,452,7,0,0,1,4,14
IController,0,8,3,0,0,32,8,1,0,-1,2,0
Image,3,11,18,0,10,580,20,0,0,"0,27000001072883606",2,9
FormatType,0,0,0,0,0,5,0,0,0,-1,0,2
PerspectiveType,0,0,0,0,0,7,0,0,0,-1,0,0
ImageType,0,0,0,0,0,5,0,0,0,-1,0,4
RequestFailureReason,0,0,0,0,0,6,0,0,0,-1,0,2
InteractionBox,0,6,6,0,6,176,9,0,0,-1,1,1
Matrix,1,20,4,1,19,390,20,0,0,"0,6499999761581421",1,16
MessageSeverity,0,0,0,0,0,8,0,0,0,-1,0,2
TimeBracket,2,0,0,2,0,5,0,0,0,-1,0,1
TrackedQuad,0,4,8,0,4,98,4,0,0,-1,2,0
Constants,4,0,0,4,0,29,0,0,0,-1,0,1
Vector,13,19,6,13,13,555,24,0,0,0,1,17
TestHandFactory,0,9,0,0,2,149,12,0,0,-1,9,1
CircularObjectBuffer<T>,3,4,3,0,4,77,4,0,0,0,0,0
Connection,34,33,5,12,14,760,70,0,0,"0,05999999865889549",53,2
DistortionDictionary,3,2,2,0,2,62,2,0,0,0,1,0
ImageData,20,6,0,17,6,94,7,0,1,"0,33000001311302185",4,3
ImageFuture,1,1,3,1,1,14,1,0,0,0,3,2
eLeapConnectionStatus,0,0,0,0,0,7,0,0,0,-1,0,1
eLeapDeviceCaps,0,0,0,0,0,5,0,0,0,-1,0,1
eLeapDeviceType,0,0,0,0,0,9,0,0,0,-1,0,1
eDistortionMatrixType,0,0,0,0,0,4,0,0,0,-1,0,0
eLeapPolicyFlag,0,0,0,0,0,8,0,0,0,-1,0,1
eLeapDeviceStatus,0,0,0,0,0,10,0,0,0,-1,0,2
eLeapImageType,0,0,0,0,0,6,0,0,0,-1,0,4
eLeapImageFormat,0,0,0,0,0,6,0,0,0,-1,0,2
eLeapPerspectiveType,0,0,0,0,0,7,0,0,0,-1,0,0
eLeapImageRequestError,0,0,0,0,0,7,0,0,0,-1,0,2
eLeapHandType,0,0,0,0,0,5,0,0,0,-1,0,2
eLeapLogSeverity,0,0,0,0,0,7,0,0,0,-1,0,2
eLeapValueType,0,0,0,0,0,8,0,0,0,-1,0,3
eLeapRS,0,0,0,0,0,23,0,0,0,-1,0,4
eLeapEventType,0,0,0,0,0,33,0,0,0,-1,0,2
eLeapDeviceFlag,0,0,0,0,0,9,0,0,0,-1,0,1
eLeapConnectionFlags,0,0,0,0,0,4,0,0,0,-1,0,0
LEAP_CONNECTION_CONFIG,3,0,0,3,0,7,0,0,0,-1,0,1
LEAP_CONNECTION_INFO,2,0,0,2,0,6,0,0,0,-1,1,1
LEAP_CONNECTION_EVENT,1,0,0,1,0,5,0,0,0,-1,0,1
LEAP_DEVICE_REF,2,1,0,2,1,11,1,0,0,0,0,3
LEAP_CONNECTION_LOST_EVENT,1,0,0,1,0,5,0,0,0,-1,0,1
LEAP_DEVICE_EVENT,2,0,0,2,0,6,0,0,0,-1,1,1
LEAP_DEVICE_FAILURE_EVENT,2,0,0,2,0,6,0,0,0,-1,1,1
LEAP_TRACKING_EVENT,7,0,0,7,0,11,0,0,0,-1,2,2
LEAP_CONNECTION_MESSAGE,3,0,0,3,0,7,0,0,0,-1,1,2
LEAP_DISCONNECTION_EVENT,1,0,0,1,0,5,0,0,0,-1,0,0
LEAP_DEVICE_INFO,10,0,0,10,0,14,0,0,0,-1,1,2
LEAP_DISTORTION_MATRIX,1,0,0,1,0,6,0,0,0,-1,0,1
LEAP_FRAME_HEADER,3,0,0,3,0,7,0,0,0,-1,0,4
LEAP_IMAGE_FRAME_REQUEST_TOKEN,1,0,0,1,0,5,0,0,0,-1,0,6
LEAP_IMAGE_COMPLETE_EVENT,8,0,0,8,0,12,0,0,0,-1,2,1
LEAP_IMAGE_FRAME_DESCRIPTION,4,0,0,4,0,8,0,0,0,-1,1,3
LEAP_IMAGE_FRAME_REQUEST_ERROR_EVENT,4,0,0,4,0,8,0,0,0,-1,3,1
LEAP_IMAGE_PROPERTIES,9,0,0,9,0,13,0,0,0,-1,2,1
LEAP_VECTOR,3,2,0,3,2,18,2,0,0,0,1,7
LEAP_MATRIX,3,2,0,3,2,21,2,0,0,0,2,2
LEAP_BONE,4,0,0,4,0,8,0,0,0,-1,2,3
LEAP_DIGIT,8,0,0,8,0,12,0,0,0,-1,2,2
LEAP_PALM,6,0,0,6,0,10,0,0,0,-1,1,2
LEAP_HAND,16,0,0,16,0,20,0,0,0,-1,4,1
LEAP_TIP,2,0,0,2,0,6,0,0,0,-1,1,0
LEAP_LOG_EVENT,3,0,0,3,0,7,0,0,0,-1,1,1
LEAP_POLICY_EVENT,2,0,0,2,0,6,0,0,0,-1,0,1
LEAP_VARIANT_VALUE_TYPE,4,0,0,4,0,12,0,0,0,-1,0,3
LEAP_VARIANT_REF_TYPE,2,0,0,2,0,6,0,0,0,-1,1,3
LEAP_CONFIG_RESPONSE_EVENT,2,0,0,2,0,6,0,0,0,-1,1,1
LEAP_CONFIG_RESPONSE_EVENT_WITH_REF_TYPE,2,0,0,2,0,6,0,0,0,-1,1,1
LEAP_CONFIG_CHANGE_EVENT,2,0,0,2,0,6,0,0,0,-1,0,1
LeapC,1,35,0,1,29,155,35,0,0,"0,7699999809265137",11,5
Logger,0,2,0,0,2,45,4,0,0,-1,0,2
ObjectPool<T>,3,5,2,0,3,87,14,0,0,0,0,0
PendingImages,3,4,1,0,4,61,4,0,0,0,3,1
PooledObject,2,1,0,2,1,11,1,1,0,0,0,1
ServiceFrameFactory,1,5,0,1,5,120,7,0,0,0,18,1
StructMarshal<T>,2,2,0,0,2,31,2,0,0,1,2,0
StructContainer,1,0,0,1,0,4,0,0,0,-1,0,1
HandFactory,0,1,0,0,1,8,1,1,0,-1,2,1
HandPool,3,4,1,2,1,61,12,0,1,0,5,1
HandProxy,2,3,0,1,3,34,4,0,1,0,4,0
HandRepresentation,0,3,3,0,3,23,3,1,0,-1,2,2
CapsuleHand,24,14,2,0,4,276,30,0,1,0,6,0
DebugFinger,1,2,0,0,1,18,3,0,1,0,0,0
