Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
GridInformationType,0,0,0,0,0,10,0,0,0,-1,0,2
GridInformation,13,19,1,0,16,337,41,0,0,"0,10999999940395355",3,0
GridInformationValue,2,0,0,2,0,5,0,0,0,-1,1,1
GridInformationKey,2,0,0,2,0,6,0,0,0,-1,0,1
AnimatedTile,5,3,0,5,3,44,6,0,0,"0,6700000166893005",0,1
AnimatedTileEditor,0,1,1,0,1,48,9,0,0,-1,1,0
PipelineTile,1,7,0,1,3,105,14,0,0,"0,28999999165534973",0,1
PipelineTileEditor,0,2,1,0,2,26,4,0,0,-1,1,0
RandomTile,1,2,0,1,2,35,4,0,0,1,0,1
RandomTileEditor,0,1,1,0,1,30,6,0,0,-1,1,0
TerrainTile,1,7,0,1,3,170,18,0,0,"0,28999999165534973",0,1
TerrainTileEditor,0,2,1,0,2,45,4,0,0,-1,1,0
RuleTile,3,11,0,3,8,229,34,0,0,0,4,1
TilingRule,8,1,0,8,1,29,2,0,0,0,3,3
Transform,0,0,0,0,0,1,0,0,0,-1,0,50
Neighbor,0,0,0,0,0,1,0,0,0,-1,0,3
OutputSprite,0,0,0,0,0,1,0,0,0,-1,0,3
CinemachineBlendListCamera,10,12,8,6,6,326,36,0,1,"0,17000000178813934",9,2
Instruction,7,0,0,7,0,30,0,0,0,-1,1,5
CinemachineBrain,22,24,8,9,2,751,68,0,0,"0,07999999821186066",16,15
UpdateMethod,0,0,0,0,0,24,0,0,0,-1,0,3
BrainEvent,0,0,0,0,0,1,0,0,0,-1,0,2
VcamEvent,0,0,0,0,0,1,0,0,0,-1,0,2
OverrideStackFrame,5,0,2,5,0,17,0,0,0,-1,2,1
StaticPointVirtualCamera,0,5,9,0,5,18,5,0,1,-1,2,0
BlendSourceVirtualCamera,0,5,10,0,5,28,5,0,1,-1,3,1
CinemachineClearShot,16,14,8,9,6,408,44,0,1,"0,14000000059604645",11,2
Pair,2,0,0,2,0,1,0,0,0,-1,0,1
CinemachineCollider,16,14,1,10,2,546,71,0,1,"0,20999999344348907",11,3
ResolutionStrategy,0,0,0,0,0,12,0,0,0,-1,0,2
VcamExtraState,7,1,0,7,1,23,2,0,0,0,0,3
CinemachineConfiner,6,7,1,5,2,209,27,0,1,"0,28999999165534973",9,1
Mode,0,0,0,0,0,5,0,0,0,-1,0,2
CinemachineDollyCart,5,3,0,5,0,59,6,0,0,0,3,1
CinemachineExternalCamera,3,1,3,1,1,50,5,0,1,0,3,0
CinemachineFollowZoom,4,2,0,4,0,80,6,0,1,0,8,0
CinemachineFreeLook,26,20,5,13,6,657,75,0,1,0,20,3
Orbit,2,1,0,2,1,10,1,0,0,0,0,2
CinemachineMixingCamera,12,12,6,9,8,247,29,0,1,0,5,2
CinemachinePath,2,5,4,2,3,170,11,0,1,"0,4000000059604645",4,1
Waypoint,5,1,1,5,0,43,1,0,0,0,0,4
CinemachinePipeline,0,0,0,0,0,4,0,0,0,-1,0,0
CinemachineSmoothPath,5,7,4,2,4,212,19,0,1,0,4,2
CinemachineStateDrivenCamera,20,14,8,11,6,492,58,0,1,"0,14000000059604645",12,3
ParentHash,2,1,0,2,1,11,1,0,0,0,0,1
CinemachineTargetGroup,5,8,2,4,1,256,28,0,0,0,7,5
Target,3,0,0,3,0,14,0,0,0,-1,0,2
PositionMode,0,0,0,0,0,8,0,0,0,-1,0,1
RotationMode,0,0,0,0,0,8,0,0,0,-1,0,1
CinemachineVirtualCamera,9,21,4,6,9,410,63,0,1,"0,10000000149011612",9,9
CinemachineBasicMultiChannelPerlin,6,3,2,3,1,97,7,0,1,0,4,1
CinemachineComposer,19,7,5,14,2,375,23,1,1,"0,28999999165534973",8,4
CinemachineFramingTransposer,32,7,8,28,1,467,23,0,1,"0,28999999165534973",9,2
FramingMode,0,0,0,0,0,21,0,0,0,-1,0,3
AdjustmentMode,0,0,0,0,0,19,0,0,0,-1,0,4
CinemachineGroupComposer,13,3,3,12,1,222,11,0,2,0,8,2
CinemachineHardLockToTarget,0,1,2,0,1,23,2,0,1,-1,2,1
CinemachineHardLookAt,0,1,2,0,1,32,4,0,1,-1,1,1
CinemachineOrbitalTransposer,15,7,1,4,3,503,26,0,1,0,12,3
Heading,3,1,0,3,1,56,1,0,0,0,1,3
HeadingDefinition,0,0,0,0,0,23,0,0,0,-1,0,3
Recentering,5,3,0,3,2,49,4,0,0,0,1,2
HeadingTracker,9,7,1,0,4,110,17,0,0,0,2,1
Item,3,0,0,3,0,6,0,0,0,-1,0,1
CinemachinePOV,2,3,2,2,1,56,5,0,1,0,3,0
CinemachineSameAsFollowObject,0,1,2,0,1,23,2,0,1,-1,2,0
CinemachineTrackedDolly,15,3,3,12,2,295,15,0,1,0,7,2
CameraUpMode,0,0,0,0,0,14,0,0,0,-1,0,2
AutoDolly,4,1,0,4,1,33,1,0,0,0,0,2
CinemachineTransposer,12,8,5,8,4,295,19,1,1,0,4,6
BindingMode,0,0,0,0,0,28,0,0,0,-1,0,6
