Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SetRoomRotationUsingHead,5,2,0,2,0,54,6,0,0,0,0,0
AnalogInterface,1,2,1,0,0,32,4,0,1,0,1,0
ButtonInterface,1,2,1,0,0,32,4,0,1,0,1,0
ClientKit,8,10,2,2,0,197,20,0,0,"0,699999988079071",0,0
DirectionInterface,1,3,1,0,0,43,6,0,1,0,2,0
DisplayController,12,11,7,1,3,299,32,0,0,"0,44999998807907104",0,0
DLLSearchPathFixer,4,7,0,0,1,118,8,0,0,"0,4300000071525574",0,0
PathTools,0,3,0,0,0,17,3,0,0,-1,0,0
EyeTracker2DInterface,1,2,1,0,0,33,4,0,1,0,2,0
EyeTracker3DInterface,1,2,1,0,0,34,4,0,1,0,2,0
EyeTrackerBlinkInterface,1,2,1,0,0,32,4,0,1,0,1,0
GetParent,0,1,0,0,1,12,2,0,0,-1,0,0
ImagingInterface,1,2,1,0,0,33,4,0,1,0,1,0
InterfaceBase,0,0,2,0,0,29,0,0,0,-1,0,0
InterfaceCallbacks,14,16,0,1,10,266,29,0,0,"0,1899999976158142",0,0
InterfaceGameObject,1,2,2,0,0,55,4,0,1,0,1,0
Location2DInterface,1,2,1,0,0,33,4,0,1,0,2,0
Math,0,7,0,0,7,80,8,0,0,-1,0,0
NaviPositionInterface,1,2,1,0,0,33,4,0,1,0,2,0
NaviVelocityInterface,1,2,1,0,0,33,4,0,1,0,2,0
OrientationInterface,1,3,1,0,0,42,6,0,1,0,2,0
OsvrCharacterMotor,11,20,0,8,9,455,44,0,0,"0,10000000149011612",0,0
OsvrCharacterMotorMovement,13,0,0,13,0,40,0,0,0,-1,0,0
OsvrCharacterMotorJumping,10,0,0,10,0,41,0,0,0,-1,0,0
OsvrInputController,2,2,0,0,0,58,7,0,0,0,0,0
OsvrMirrorDisplay,5,5,2,0,0,143,13,0,0,0,0,0
OsvrMouseLook,11,2,0,9,0,69,6,0,0,1,0,0
RotationAxes,0,0,0,0,0,1,0,0,0,-1,0,0
OsvrRenderManager,8,32,1,3,16,344,38,0,0,"0,6600000262260437",0,0
OSVR_ProjectionMatrix,6,0,0,6,0,10,0,0,0,-1,0,0
OSVR_ViewportDescription,4,0,0,4,0,8,0,0,0,-1,0,0
OsvrUnityNativeVR,15,18,4,5,4,519,41,0,0,"0,2800000011920929",0,0
StereoRigSetup,0,0,0,0,0,5,0,0,0,-1,0,0
PoseInterface,1,3,1,0,0,42,6,0,1,0,3,0
PositionInterface,1,3,1,0,0,43,6,0,1,0,2,0
RequiresAnalogInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresButtonInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresDirectionInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresEyeTracker2DInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresEyeTracker3DInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresEyeTrackerBlinkInterface,1,0,1,0,0,19,0,0,1,-1,0,0
RequiresImagingInterface,1,0,1,0,0,19,0,0,1,-1,0,0
