Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
EventSystemChecker,0,1,0,0,0,17,2,0,0,-1,0,0
Pause,3,5,1,0,3,82,6,0,0,0,2,0
PlayMusic,6,5,0,4,4,73,7,0,0,"0,4000000059604645",0,1
QuitApplication,0,1,0,0,1,17,1,0,0,-1,0,0
SetAudioLevels,1,2,0,1,2,17,2,0,0,0,0,0
StartOptions,12,12,0,7,9,152,16,0,0,0,2,1
SensorResponseHandler,1,1,1,0,1,11,1,4,0,0,2,1
VRAVEObstacle,0,0,3,0,0,7,0,0,0,-1,0,5
VRAVESensor,2,1,2,0,1,14,1,0,0,0,0,1
Sensors,14,5,1,0,2,170,20,0,0,"0,4000000059604645",3,2
HUDAsyncController,2,8,0,0,5,76,14,0,0,"0,25",3,4
HUDAudioController,3,5,1,2,4,45,5,0,0,"0,4000000059604645",1,6
HUDAudioModel,2,1,0,2,1,13,1,3,0,0,0,3
HUDController,19,14,0,3,4,207,15,0,0,0,4,5
HUDModel,4,2,35,4,2,158,2,4,0,0,1,5
HUDModel_Left,0,1,0,0,1,14,1,0,1,-1,0,0
HUDModel_Right,0,1,0,0,1,21,1,0,1,-1,0,0
HUDModel_RightTop,0,1,0,0,1,22,1,0,1,-1,0,0
HUDModel_Upright,0,1,0,0,1,29,1,2,1,-1,0,0
HUDVRAVE_Default,0,1,0,0,1,29,1,1,2,-1,0,0
BackToMainMenu,1,2,0,0,0,23,3,0,0,1,2,0
FollowingSensorResponseHandler,2,3,0,0,1,96,4,0,1,1,6,1
HUD_LanePassing_Init,0,3,0,0,1,47,3,0,2,-1,0,0
LanePassingAudioModel,0,1,0,0,0,32,1,0,1,-1,0,0
LanePassingScenario,26,32,0,0,14,924,51,0,1,0,13,0
States,0,0,0,0,0,37,0,0,0,-1,0,4
LanePassingSensorResponseHandler,1,4,0,0,1,51,8,0,1,"0,75",5,1
ReactionTimeAudioModel,0,1,0,0,0,34,1,0,1,-1,0,0
ReactionTimeScenario,21,27,0,0,15,553,38,0,1,"0,07000000029802322",15,0
SensitiveSensorResponseHandler,0,1,0,0,1,18,4,0,1,-1,4,1
TrashCanAnimator,1,1,0,1,1,11,1,0,0,0,0,1
TrashcanSensorResponseHandler,2,1,0,0,1,49,6,0,1,0,4,1
ScenarioTemplate,1,6,0,0,1,81,7,0,1,"0,6700000166893005",2,0
Trigger,3,1,0,0,0,22,2,0,0,0,1,0
AICarCollisionChecker,4,3,0,0,0,45,4,0,0,0,4,0
WeatherAudioModel,0,1,0,0,0,30,1,0,1,-1,0,0
WeatherHUDModel,1,1,0,1,1,15,1,0,3,0,0,0
WeatherScenario,22,19,0,0,13,372,23,0,1,"0,1599999964237213",12,0
WeatherSpawnModel,5,1,0,1,1,29,1,0,1,0,0,0
SpawnController,1,7,2,0,6,63,10,0,0,"0,5699999928474426",2,1
SpawnModel,2,1,2,2,1,30,1,1,0,0,0,2
SpawnTriple,0,1,3,0,1,13,1,0,0,-1,0,1
AmbientAudioController,3,3,0,1,2,33,3,0,0,0,2,0
CameraFade,9,9,1,8,4,212,18,0,0,0,0,1
ChangeSelected,3,2,0,1,0,22,4,0,0,0,1,0
VRAVEStrings,40,0,0,40,0,55,0,0,0,-1,0,14
CarAIControl,35,5,24,0,2,595,9,0,0,0,6,8
BrakeCondition,0,0,0,0,0,11,0,0,0,-1,0,6
CarDriveType,0,0,0,0,0,6,0,0,0,-1,0,1
SpeedType,0,0,0,0,0,5,0,0,0,-1,0,1
CarController,27,15,11,0,2,369,28,0,0,"0,12999999523162842",2,7
CarSelfRighting,4,3,0,0,0,39,5,0,0,0,0,0
CarUserControl,4,5,1,0,2,73,7,0,0,"0,4000000059604645",2,3
Speedometer,1,2,0,0,0,15,2,0,0,0,1,0
VisualSteeringWheelController,0,3,0,0,1,28,3,0,0,-1,0,2
StateBehaviour,1,5,1,0,2,47,5,4,0,1,2,4
StateEngine,10,14,1,0,7,331,36,0,0,"0,36000001430511475",3,1
StateTransition,0,0,0,0,0,6,0,0,0,-1,0,2
StateMapping,8,1,0,8,1,19,1,0,0,0,0,1
SessionData,6,6,2,0,4,96,9,0,0,0,1,9
GameType,0,0,0,0,0,6,0,0,0,-1,0,3
ExampleInteractiveItem,6,7,0,0,0,65,7,0,0,"0,28999999165534973",1,0
ExampleRenderScale,1,1,0,0,0,10,1,0,0,0,0,0
ExampleRotation,4,1,0,0,0,32,2,0,0,0,0,0
ExampleTouchpad,3,3,0,0,0,41,4,0,0,"0,6700000166893005",2,0
Asteroid,16,6,1,0,1,106,11,0,0,"0,33000001311302185",2,2
AsteroidExplosion,2,4,0,0,1,57,8,0,0,"0,5",0,1
EnvironmentController,13,10,0,0,2,180,13,0,0,0,6,1
FlyerAlignmentChecker,3,3,0,0,2,60,7,0,0,0,1,1
FlyerGameController,17,4,1,0,0,155,5,0,0,0,11,1
FlyerHealthController,11,5,1,0,3,108,11,0,0,0,0,2
FlyerLaser,4,5,1,0,1,65,7,0,0,"0,4000000059604645",2,1
FlyerLaserController,6,4,0,0,0,56,5,0,0,"0,5",4,0
FlyerMovementController,16,4,0,0,2,92,5,0,0,0,1,1
Ring,11,6,1,0,1,113,11,0,0,"0,33000001311302185",1,2
UIController,4,4,0,0,4,39,4,0,0,"0,5",2,1
ExplosionPhysicsForce,1,1,0,1,0,29,4,0,0,0,1,0
ParticleSystemMultiplier,1,1,0,1,0,20,2,0,0,0,0,1
IntroManager,7,1,0,0,0,31,1,0,0,0,4,0
AgentTrail,3,3,0,0,1,52,6,0,0,0,0,1
AICharacterControl,3,3,2,0,1,53,5,0,0,0,2,1
CameraOrbit,8,6,0,0,1,96,10,0,0,"0,33000001311302185",5,1
OrbitStyle,0,0,0,0,0,4,0,0,0,-1,0,1
DestinationMarker,5,7,0,0,2,64,7,0,0,"0,28999999165534973",1,1
ExitArea,3,4,0,0,1,51,7,0,0,0,1,1
MazeGameController,19,9,1,0,0,188,12,0,0,0,13,1
MazeTargetSetting,3,5,0,0,2,43,6,0,0,"0,4000000059604645",2,3
Player,16,9,1,0,3,154,13,0,0,"0,2199999988079071",3,4
SwitchButton,8,6,0,0,1,84,10,0,0,"0,33000001311302185",3,1
ThirdPersonCharacter,20,10,0,0,2,229,22,0,0,0,0,1
Turret,24,8,0,0,2,206,15,0,0,0,1,2
MenuAnimator,7,6,0,0,0,65,7,0,0,"0,33000001311302185",1,0
MenuButton,5,6,0,0,0,73,9,0,0,0,3,0
MenuItemPopout,7,2,0,0,0,32,2,0,0,0,1,0
MenuSelectorMover,10,2,0,0,0,50,4,0,0,0,1,0
ShootingGalleryController,20,8,1,0,0,228,13,0,0,0,9,1
ShootingGalleryGun,16,7,0,0,0,136,10,0,0,"0,4300000071525574",6,0
ShootingGalleryScore,1,1,0,0,0,10,1,0,0,0,1,0
ShootingTarget,13,8,0,0,1,159,14,0,0,"0,25",2,2
UIController,5,6,0,0,6,47,6,0,0,"0,5",2,1
GUIArrows,9,4,0,0,2,62,5,0,0,"0,75",0,1
InputWarnings,19,13,0,0,4,187,22,0,0,0,3,3
ObjectPool,3,4,0,0,2,69,6,0,0,0,0,4
PlatformDependentText,2,2,0,0,0,66,9,0,0,0,1,0
PlatformTextPair,2,1,0,2,1,12,1,0,0,0,0,1
Reticle,7,5,2,0,4,72,6,0,0,"0,4000000059604645",0,8
ReturnToMainMenu,3,4,0,0,0,34,4,0,0,"0,5",2,0
SelectionRadial,7,9,1,0,3,136,16,0,0,"0,2199999988079071",1,6
SelectionSlider,19,10,0,0,1,189,23,0,0,"0,30000001192092896",4,5
UIFader,3,10,1,0,10,168,18,0,0,0,0,6
UIMovement,6,2,0,0,0,45,4,0,0,0,0,0
UITint,4,4,0,0,0,43,6,0,0,"0,5",1,0
VRCameraFade,10,16,1,0,11,191,30,0,0,0,0,10
VRCameraUI,1,1,0,0,0,17,1,0,0,0,0,0
VRDeviceManager,2,2,1,0,0,57,3,0,0,0,0,0
VREyeRaycaster,10,9,1,0,0,136,20,0,0,"0,2199999988079071",3,1
VRFPSCounter,3,2,0,0,0,33,3,0,0,0,0,0
VRInput,7,5,1,0,0,187,24,0,0,"0,4000000059604645",1,9
SwipeDirection,0,0,0,0,0,8,0,0,0,-1,0,4
VRInteractiveItem,1,6,1,0,6,66,12,0,0,"0,8299999833106995",0,11
VRTrackingReset,0,1,0,0,0,7,1,0,0,-1,0,0
AxisTouchButton,6,5,0,4,2,68,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,44,7,0,0,"0,4300000071525574",1,0
CrossPlatformInputManager,3,24,1,0,22,311,26,0,0,0,4,11
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,45,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,74,6,0,0,"0,800000011920929",0,3
InputAxisScrollbar,1,2,0,1,1,11,2,0,0,1,1,0
Joystick,9,8,0,4,3,111,16,0,0,"0,25",3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,75,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,148,16,0,0,"0,25",4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,126,25,2,0,"0,7099999785423279",2,1
MobileInput,0,13,0,0,11,127,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,73,11,0,1,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,0
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,0
MappingType,0,0,0,0,0,7,0,0,0,-1,0,0
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
ActivateTrigger,5,2,0,5,0,88,5,0,0,0,1,0
Mode,0,0,0,0,0,9,0,0,0,-1,0,1
AutoMobileShaderSwitch,1,1,0,0,0,72,1,0,0,0,0,0
ReplacementDefinition,2,0,0,2,0,6,0,0,0,-1,0,2
ReplacementList,1,0,0,1,0,5,0,0,0,-1,1,0
ReplacementListDrawer,2,2,0,0,2,111,8,0,0,0,0,0
AutoMoveAndRotate,4,2,0,3,0,35,3,0,0,0,1,0
Vector3andSpace,2,0,0,2,0,6,0,0,0,-1,0,1
CameraRefocus,5,5,0,3,5,52,7,0,0,0,0,0
CurveControlledBob,9,2,0,4,2,47,4,0,0,0,0,0
DragRigidbody,7,3,0,0,0,89,10,0,0,0,0,0
DynamicShadowSettings,11,2,0,8,0,45,4,0,0,0,0,0
FollowTarget,2,1,0,2,0,11,1,0,0,0,0,0
FOVKick,6,5,0,6,4,66,9,0,0,0,0,0
FPSCounter,6,2,0,0,0,31,3,0,0,0,0,0
LerpControlledBob,3,2,0,2,2,38,4,0,0,0,0,0
ObjectResetter,4,3,0,0,2,49,6,0,0,0,0,0
