Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AvatarLogger,2,4,0,2,4,33,4,0,0,0,0,0
ovrAvatarCapabilities,0,0,0,0,0,9,0,0,0,-1,0,0
ovrAvatarMessageType,0,0,0,0,0,5,0,0,0,-1,0,0
ovrAvatarMessage_AvatarSpecification,2,0,0,2,0,4,0,0,0,-1,0,0
ovrAvatarMessage_AssetLoaded,2,0,0,2,0,4,0,0,0,-1,0,0
ovrAvatarAssetType,0,0,0,0,0,9,0,0,0,-1,0,0
ovrAvatarMeshVertex,14,0,0,14,0,21,0,0,0,-1,0,0
ovrAvatarMeshVertexV2,18,0,0,18,0,25,0,0,0,-1,0,0
ovrAvatarMeshAssetData,5,0,0,5,0,8,0,0,0,-1,0,0
ovrAvatarMeshAssetDataV2,5,0,0,5,0,8,0,0,0,-1,0,0
ovrAvatarTextureFormat,0,0,0,0,0,8,0,0,0,-1,0,0
ovrAvatarTextureAssetData,6,0,0,6,0,8,0,0,0,-1,0,0
ovrAvatarRenderPartType,0,0,0,0,0,8,0,0,0,-1,0,0
ovrAvatarTransform,3,0,0,3,0,6,0,0,0,-1,0,0
ovrAvatarButton,0,0,0,0,0,8,0,0,0,-1,0,0
ovrAvatarTouch,0,0,0,0,0,11,0,0,0,-1,0,0
ovrAvatarHandInputState,8,0,0,8,0,12,0,0,0,-1,0,0
ovrAvatarComponent,4,0,0,4,0,9,0,0,0,-1,0,0
ovrAvatarBaseComponent,2,0,0,2,0,5,0,0,0,-1,0,0
ovrAvatarBodyComponent,4,0,0,4,0,6,0,0,0,-1,0,0
ovrAvatarControllerComponent,2,0,0,2,0,5,0,0,0,-1,0,0
ovrAvatarHandComponent,2,0,0,2,0,4,0,0,0,-1,0,0
ovrAvatarMaterialLayerBlendMode,0,0,0,0,0,5,0,0,0,-1,0,0
ovrAvatarMaterialLayerSampleMode,0,0,0,0,0,7,0,0,0,-1,0,0
ovrAvatarMaterialMaskType,0,0,0,0,0,8,0,0,0,-1,0,0
ovrAvatarControllerType,0,0,0,0,0,8,0,0,0,-1,0,0
ovrAvatarAssetLevelOfDetail,0,0,0,0,0,6,0,0,0,-1,0,0
ovrAvatarLookAndFeelVersion,0,0,0,0,0,6,0,0,0,-1,0,0
ovrAvatarMaterialLayerState,9,3,0,9,2,47,13,0,0,"0,6700000166893005",0,0
ovrAvatarMaterialState,15,3,0,15,2,77,21,0,0,"0,6700000166893005",0,0
ovrAvatarPBSMaterialState,13,3,0,13,2,59,17,0,0,"0,6700000166893005",0,0
OvrAvatarAssetMaterial,1,1,0,1,1,10,1,0,0,0,1,0
ovrAvatarSkinnedMeshPose,4,0,0,4,0,13,0,0,0,-1,0,0
ovrAvatarVisibilityFlags,0,0,0,0,0,7,0,0,0,-1,0,0
ovrAvatarRenderPart_SkinnedMeshRender,5,0,0,5,0,8,0,0,0,-1,0,0
ovrAvatarRenderPart_SkinnedMeshRenderPBS,6,0,0,6,0,9,0,0,0,-1,0,0
ovrAvatarRenderPart_ProjectorRender,4,0,0,4,0,7,0,0,0,-1,0,0
ovrAvatarRenderPart_SkinnedMeshRenderPBS_V2,5,0,0,5,0,8,0,0,0,-1,0,0
