Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Json,0,2,0,0,2,471,3,0,0,-1,2,0
Parser,2,11,4,0,3,304,22,0,0,"0,18000000715255737",1,1
TOKEN,0,0,0,0,0,14,0,0,0,-1,0,1
Serializer,1,7,0,0,1,141,15,0,0,0,0,1
BaseVRDevice,18,22,1,3,19,197,28,2,0,"0,7300000190734863",0,1
EditorDevice,6,7,1,0,7,81,9,0,1,"0,8600000143051147",0,0
GvrDevice,13,25,0,0,8,199,30,0,1,0,1,0
EmulatorClientSocket,7,8,1,0,1,190,22,0,0,0,5,1
EmulatorConfig,4,0,1,3,0,40,0,0,0,-1,1,1
Mode,0,0,0,0,0,5,0,0,0,-1,0,2
EmulatorGyroEvent,2,1,0,2,1,9,1,0,0,0,1,1
EmulatorAccelEvent,2,1,0,2,1,9,1,0,0,0,1,1
EmulatorTouchEvent,6,7,0,2,5,114,13,0,0,0,4,1
Action,0,0,0,0,0,11,0,0,0,-1,0,2
Pointer,3,2,0,3,2,16,2,0,0,0,0,1
EmulatorOrientationEvent,2,1,0,2,1,10,1,0,0,0,1,1
EmulatorButtonEvent,2,1,0,2,1,18,1,0,0,0,2,1
ButtonCode,0,0,0,0,0,8,0,0,0,-1,0,1
EmulatorManager,11,10,2,0,3,213,19,0,0,"0,20000000298023224",11,1
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,8299999833106995",9,0
Types,0,0,0,0,0,3114,0,0,0,-1,0,0
Type,0,0,0,0,0,10,0,0,0,-1,0,0
MotionEvent,12,22,11,3,19,749,34,0,0,"0,7699999809265137",3,0
Pointer,13,21,11,3,18,355,31,0,0,"0,8600000143051147",2,0
Builder,16,164,96,0,148,1958,274,0,0,"0,14000000059604645",11,0
GyroscopeEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
AccelerometerEvent,16,21,13,4,18,401,34,0,0,"0,8600000143051147",2,0
DepthMapEvent,16,22,13,4,19,425,37,0,0,"0,7699999809265137",2,0
OrientationEvent,19,21,15,5,18,447,37,0,0,"0,8600000143051147",2,0
KeyEvent,10,21,9,2,18,309,28,0,0,"0,8600000143051147",2,0
PhoneEvent,26,23,19,7,19,3468,45,0,0,"0,3499999940395355",8,5
