Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ARPlaneAnchorGameObject,2,0,0,2,0,5,0,0,0,-1,1,1
ARAnchor,2,0,0,2,0,9,0,0,0,-1,0,0
ARCamera,7,0,0,7,0,43,0,0,0,-1,2,1
ARErrorCode,0,0,0,0,0,15,0,0,0,-1,0,0
ARFrame,4,0,0,3,0,30,0,0,0,-1,2,0
ARHitTestResult,6,0,0,6,0,34,0,0,0,-1,1,2
ARHitTestResultType,0,0,0,0,0,19,0,0,0,-1,0,4
ARLightEstimate,1,0,0,1,0,4,0,0,0,-1,0,1
ARPlaneAnchor,5,0,0,5,0,29,0,0,0,-1,1,4
ARPlaneAnchorAlignment,0,0,0,0,0,5,0,0,0,-1,0,2
ARPoint,2,0,0,2,0,5,0,0,0,-1,0,3
ARRect,2,0,0,2,0,5,0,0,0,-1,2,0
ARSize,2,0,0,2,0,5,0,0,0,-1,0,2
ARTextureHandles,2,0,0,2,0,6,0,0,0,-1,0,1
ARTrackingQuality,0,0,0,0,0,15,0,0,0,-1,0,1
ARTrackingState,0,0,0,0,0,11,0,0,0,-1,0,2
ARTrackingStateReason,0,0,0,0,0,14,0,0,0,-1,0,2
UnityARMatrix4x4,4,0,0,4,0,7,0,0,0,-1,0,4
internal_UnityARCamera,5,0,0,5,0,8,0,0,0,-1,3,1
UnityARCamera,5,0,0,5,0,8,0,0,0,-1,3,1
UnityARAnchorData,5,0,0,5,0,27,0,0,0,-1,2,1
UnityARHitTestResult,6,0,0,6,0,35,0,0,0,-1,1,1
UnityARAlignment,0,0,0,0,0,6,0,0,0,-1,0,4
UnityARPlaneDetection,0,0,0,0,0,5,0,0,0,-1,0,3
ARKitSessionConfiguration,3,2,1,3,1,19,2,0,0,1,1,2
ARKitWorldTackingSessionConfiguration,4,2,1,4,1,22,2,0,0,1,2,2
UnityARSessionRunOption,0,0,0,0,0,7,0,0,0,-1,0,2
UnityARSessionNativeInterface,2,38,0,0,16,315,48,0,0,"0,6800000071525574",15,4
UnityARGeneratePlane,2,3,0,1,0,26,4,0,0,0,2,0
UnityARHitTestExample,1,2,0,1,0,54,8,0,0,0,5,0
UnityARKitControl,6,3,0,0,0,65,9,0,0,"0,6700000166893005",6,0
UnityARVideo,5,2,0,1,1,98,2,0,0,0,1,0
UnityARAnchorManager,1,6,0,0,6,60,9,0,0,0,4,1
UnityARMatrixOps,0,3,0,0,2,39,3,0,0,-1,0,2
UnityARUtility,3,3,0,0,3,49,5,0,0,0,2,2
