Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LogSystemInitilization,2,1,0,0,0,20,1,0,0,0,1,0
FileReactor,0,3,5,0,3,87,7,0,1,-1,2,0
ILogReactor,0,1,0,0,0,8,1,2,0,-1,1,1
LogLevel,0,0,0,0,0,27,0,0,0,-1,0,5
LogRecord,4,2,0,4,2,42,2,0,0,0,1,4
LogSystem,2,5,2,0,4,92,8,0,0,"0,4000000059604645",6,5
Log,0,5,0,0,5,65,5,0,0,-1,2,72
CameraTarget,16,5,12,0,4,430,10,0,0,"0,800000011920929",1,1
HotCorner,2,3,0,0,0,74,5,0,0,1,3,0
WatsonCamera,12,19,3,0,1,358,39,0,0,"0,3700000047683716",4,1
RESTConnector,4,5,4,0,3,566,44,0,0,"0,4000000059604645",11,18
Response,0,0,4,0,0,21,0,0,0,-1,0,18
Form,0,3,5,0,3,56,3,0,0,-1,0,1
Request,0,1,11,0,1,58,1,125,0,-1,0,18
DeleteRequest,1,2,4,0,1,60,6,0,0,1,0,1
WSConnector,7,10,6,0,4,320,23,0,0,"0,20000000298023224",14,1
ConnectionState,0,0,0,0,0,19,0,0,0,-1,0,2
Message,0,0,0,0,0,2,0,2,0,-1,0,2
BinaryMessage,0,1,1,0,1,18,1,0,1,-1,0,1
TextMessage,0,1,1,0,1,18,1,0,1,-1,0,2
DebugConsole,11,12,3,0,4,270,30,0,0,"0,41999998688697815",6,1
DebugInfo,4,0,0,4,0,7,0,0,0,-1,0,1
DebugReactor,0,2,1,0,2,49,4,0,1,-1,2,0
QualityManager,0,3,1,0,1,25,3,0,0,-1,1,0
AlchemyAPI,51,41,0,0,21,2338,229,0,1,"0,05000000074505806",45,2
GetAuthorsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetRankedConceptsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetDatesRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetEmotionsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetEntitiesRequest,0,0,2,0,0,11,0,0,1,-1,0,1
DetectFeedsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetKeywordsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetLanguagesRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetMicroformatsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetPublicationDateRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetRelationsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetTextSentimentRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetTargetedSentimentRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetRankedTaxomomyRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetTextRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetTitleRequest,0,0,2,0,0,11,0,0,1,-1,0,1
CombinedCallRequest,0,0,2,0,0,11,0,0,1,-1,0,1
GetNewsRequest,0,0,2,0,0,11,0,0,1,-1,0,1
CheckServiceStatus,2,2,0,0,1,21,4,0,0,0,2,0
CombinedCallData,1,1,21,0,1,184,2,0,0,0,1,2
ImageKeyword,0,0,2,0,0,15,0,0,0,-1,0,1
AuthorsData,0,0,3,0,0,21,0,0,0,-1,0,2
Authors,0,0,2,0,0,15,0,0,0,-1,0,1
ConceptsData,0,0,5,0,0,33,0,0,0,-1,0,2
Concept,0,0,14,0,0,87,0,0,0,-1,0,1
DateData,0,0,5,0,0,33,0,0,0,-1,0,2
Date,1,0,3,0,0,39,0,0,0,-1,0,2
EmotionData,0,0,5,0,0,33,0,0,0,-1,0,2
DocEmotions,0,0,5,0,0,33,0,0,0,-1,0,1
EntityData,1,1,8,0,1,122,2,0,0,0,2,3
Entity,2,1,11,0,1,142,2,0,0,0,3,2
PositionOnMap,3,3,2,3,3,64,3,0,0,0,0,2
EntityPrimaryType,0,0,0,0,0,47,0,0,0,-1,0,1
EntitySubType,0,0,0,0,0,440,0,0,0,-1,0,0
FeedData,0,0,3,0,0,21,0,0,0,-1,0,2
Feed,0,0,1,0,0,9,0,0,0,-1,0,1
KeywordData,0,1,6,0,1,60,2,0,0,-1,1,2
Keyword,0,0,4,0,0,27,0,0,0,-1,0,2
LanguageData,0,0,9,0,0,61,0,0,0,-1,0,2
MicroformatData,0,0,3,0,0,21,0,0,0,-1,0,2
Microformat,0,0,2,0,0,15,0,0,0,-1,0,1
PubDateData,0,0,4,0,0,27,0,0,0,-1,0,2
RelationsData,0,0,5,0,0,33,0,0,0,-1,0,2
SentimentData,0,0,5,0,0,33,0,0,0,-1,0,2
TargetedSentimentData,0,0,5,0,0,33,0,0,0,-1,0,2
TargetedSentiment,0,0,2,0,0,14,0,0,0,-1,0,1
TaxonomyData,0,0,5,0,0,33,0,0,0,-1,0,2
TextData,0,0,4,0,0,27,0,0,0,-1,0,2
Title,0,0,3,0,0,21,0,0,0,-1,0,2
KnowledgeGraph,0,1,1,0,1,18,1,0,0,-1,0,0
Disambiguated,0,1,14,0,1,96,1,0,0,-1,0,0
Quotation,0,1,1,0,1,19,1,0,0,-1,0,1
DocSentiment,1,1,4,0,1,51,1,0,0,0,0,1
PublicationDate,0,0,2,0,0,14,0,0,0,-1,0,1
Relation,0,0,6,0,0,38,0,0,0,-1,0,1
Subject,0,0,4,0,0,27,0,0,0,-1,0,1
Action,0,0,3,0,0,21,0,0,0,-1,0,0
ObjectData,0,0,4,0,0,27,0,0,0,-1,0,0
Verb,0,0,3,0,0,21,0,0,0,-1,0,0
Taxonomy,0,0,3,0,0,21,0,0,0,-1,0,1
Location,0,0,2,0,0,15,0,0,0,-1,0,0
Temporal,0,0,2,0,0,12,0,0,0,-1,0,0
Decoded,0,0,4,0,0,20,0,0,0,-1,0,0
NewsResponse,0,0,2,0,0,12,0,0,0,-1,0,2
Result,0,0,3,0,0,16,0,0,0,-1,0,0
Docs,0,0,3,0,0,16,0,0,0,-1,0,0
Source,0,0,2,0,0,13,0,0,0,-1,0,0
