Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BuildConfiguration,0,1,1,0,1,9,1,0,0,-1,0,3
IGenerateOrderedBuildLists,0,1,0,0,0,4,1,1,0,-1,0,0
BuildOrderHandler,2,3,0,0,2,25,4,0,1,0,4,0
IBuildSessionRunner,0,1,0,0,0,4,1,1,0,-1,2,2
BuildSessionRunner,9,15,0,0,2,236,39,0,1,0,18,0
IAssemblyChangedProvider,0,1,0,0,0,4,1,0,0,-1,0,0
IPreProcessBuildruns,0,3,0,0,0,6,3,3,0,-1,3,2
MSBuildOutputParser,5,8,0,0,2,126,23,0,0,0,2,2
MSTestCrossPlatformPreProcessor,1,5,0,0,3,84,6,0,1,0,6,0
MSTestSwitcharoo,4,4,0,0,3,45,7,0,0,0,0,2
NullBuildPreProcessor,0,3,0,0,3,17,3,0,1,-1,3,0
IBuildRunner,0,2,0,0,0,5,2,1,0,-1,1,3
MSBuildRunner,1,6,0,0,3,101,18,0,1,0,7,1
ISolutionParser,0,1,0,0,0,4,1,1,0,-1,0,2
SolutionCrawler,3,8,0,0,2,102,20,0,1,0,5,2
ProjectCrawler,6,7,0,0,2,69,9,0,0,0,4,2
FileType,0,0,0,0,0,6,0,0,0,-1,0,5
ProjectFile,1,1,3,0,1,14,1,0,0,0,1,6
ICache,0,10,1,0,0,15,10,2,0,-1,0,28
ICreate,0,1,0,0,0,4,1,1,0,-1,0,3
IReload,0,1,0,0,0,4,1,1,0,-1,0,2
IPrepare,0,1,0,0,0,4,1,1,0,-1,0,3
IRecord,0,0,1,0,0,4,0,2,0,-1,0,1
Cache,3,17,1,0,12,123,24,0,1,0.119999997317791,7,1
ProjectReferenceParser,0,4,0,0,2,60,6,0,0,-1,2,1
XmlPath,1,2,1,0,2,32,2,0,0,0,1,1
ProjectReloader,1,3,0,0,2,31,4,0,1,0,3,1
ProjectFactory,0,1,0,0,1,11,1,0,1,-1,1,0
ProjectPreparer,2,7,0,0,2,72,12,0,1,0,6,1
IProjectParser,0,1,0,0,0,4,1,2,0,-1,1,3
Project,0,3,2,0,3,37,9,0,1,-1,1,40
ProjectDocument,11,20,12,0,19,127,20,0,0,0.6000000238418579,2,32
ProjectType,0,0,0,0,0,7,0,0,0,-1,0,24
ProjectParser,9,19,0,0,2,195,35,0,1,0,6,1
BuildItem,2,6,2,0,5,86,11,0,1,0.5,5,5
IItem,0,2,0,0,0,5,2,2,0,-1,0,0
IMergeRunResults,0,3,0,0,0,6,3,2,0,-1,2,4
IRunResultCache,0,2,4,0,0,10,2,1,0,-1,0,15
RunResultCache,11,11,4,0,5,195,29,0,1,0.1800000071525574,9,2
RunResultCacheDeltas,6,9,6,0,7,102,17,0,0,0,2,4
TestItem,2,7,3,0,6,98,13,0,1,0.7099999785423279,8,8
CodeEditor,0,1,2,0,1,11,1,0,0,-1,0,3
ConfigurationFailureArgument,0,1,1,0,1,9,1,0,0,-1,0,0
CoreSection,1,20,30,0,2,295,47,0,0,0.1000000014901161,0,2
DIContainer,2,12,2,0,7,186,15,0,0,0,13,5
IConfiguration,0,22,30,0,0,63,22,1,0,-1,1,47
IServiceLocator,0,3,0,0,0,6,3,2,0,-1,0,18
ServiceLocator,1,4,1,0,4,27,4,0,1,0,0,1
BootStrapper,1,11,3,0,8,92,13,0,0,0,10,9
Config,14,38,30,0,23,508,103,0,1,0.1800000071525574,7,1
ConfigItem<T>,0,4,4,0,4,35,4,0,0,-1,0,0
IHandleDelayedConfiguration,0,1,0,0,0,4,1,1,0,-1,0,2
DelayedConfigurer,0,1,0,0,1,7,1,0,1,-1,2,0
DefaultConfigurationLocator,0,3,0,0,2,17,3,0,1,-1,1,1
LocalAppDataConfigurationLocator,1,4,0,0,3,38,8,0,1,0,0,0
ILocateWriteLocation,0,2,0,0,0,5,2,3,0,-1,0,5
Debug,2,45,1,0,24,214,57,0,0,0,5,51
IWriteDebugInfo,0,6,0,0,0,9,6,2,0,-1,0,3
DebugWriter,4,9,0,0,7,79,10,0,1,0,2,0
ConsoleWriter,0,6,0,0,6,19,6,0,1,-1,0,0
ICustomIgnoreProvider,0,1,0,0,0,4,1,1,0,-1,0,2
IWatchPathLocator,0,1,0,0,0,4,1,1,0,-1,0,2
NullIgnoreProvider,0,1,0,0,1,7,1,0,1,-1,0,0
PathParser,1,4,0,0,2,70,11,0,0,0,1,6
WatchPathLocator,1,4,0,0,2,40,11,0,1,0,2,1
FileChangeType,0,0,0,0,0,8,0,0,0,-1,0,0
DirectoryWatcher,18,20,1,0,6,219,41,0,1,0,14,1
FileSystemService,0,6,0,0,6,37,7,0,1,-1,0,1
IFileSystemService,0,6,0,0,0,9,6,2,0,-1,0,22
IWatchValidator,0,2,0,0,0,5,2,1,0,-1,0,3
WatchValidator,3,10,0,0,3,131,33,0,1,0.2000000029802322,3,1
IDirectoryWatcher,0,4,1,0,0,9,4,1,0,-1,0,6
ICrawlForProjectFiles,0,1,0,0,0,4,1,2,0,-1,0,3
ProjectFileCrawler,0,2,0,0,1,24,6,0,1,-1,1,1
PathParsing,0,1,0,0,1,7,1,0,0,-1,0,3
AssemblyParser,0,1,0,0,1,16,1,0,1,-1,2,0
IRetrieveAssemblyIdentifiers,0,1,0,0,0,4,1,1,0,-1,0,3
FSharpLocator,1,3,0,0,3,23,3,0,1,0.6700000166893005,1,1
CSharpLocator,1,3,0,0,3,23,3,0,1,0.6700000166893005,1,1
ILocateProjects,0,2,0,0,0,5,2,4,0,-1,0,1
VisualBasicLocator,1,3,0,0,3,23,3,0,1,0.6700000166893005,1,1
ApplicatonLauncher,3,8,0,0,3,70,12,0,1,0,6,0
MonoDevelopLauncher,0,6,0,0,2,73,8,0,0,-1,2,1
EditorEngineLauncher,7,14,0,0,7,158,31,0,1,0,14,2
InstanceLocator,1,4,0,0,2,42,8,0,0,0,2,1
IApplicatonLauncher,0,2,0,0,0,5,2,1,0,-1,0,8
IOverridingConsumer,0,2,1,0,0,6,2,4,1,-1,0,2
IConsumerOf,0,1,0,0,0,4,1,11,1,-1,0,2
FileChangeMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,1
RunStartedMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
RunFinishedMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
InformationMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
WarningMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
ErrorMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,3
BuildMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
TestRunMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
RunInformationMessageEventArgs,0,1,1,0,1,9,1,0,0,-1,1,2
ExternalCommandArgs,0,1,1,0,1,9,1,0,0,-1,1,1
LiveTestFeedbackArgs,0,1,1,0,1,9,1,0,0,-1,1,1
IMessageBus,0,2,1,0,0,18,2,2,0,-1,0,50
IMessageConsumer,0,0,0,0,0,3,0,2,0,-1,0,0
MessageBus,2,9,1,0,3,147,18,0,1,0,15,0
BinaryFileChangeConsumer,3,3,0,0,2,60,13,0,2,0,7,1
BuildListGenerator,3,4,0,0,2,36,8,0,1,0,4,1
IGenerateBuildList,0,1,0,0,0,4,1,1,0,-1,0,4
IPrioritizeProjects,0,1,0,0,0,4,1,2,0,-1,0,2
ILocateRemovedTests,0,2,0,0,0,5,2,1,0,-1,2,7
ISolutionChangeConsumer,0,1,0,0,0,4,1,1,0,-1,1,3
PreProcessedTesRuns,0,1,2,0,1,11,1,0,0,-1,1,6
ProjectChangeConsumer,12,17,1,0,4,253,40,0,2,0.119999997317791,24,1
FileChangeConsumer,3,10,0,0,2,94,19,0,2,0,8,1
ProjectPrioritizer,3,8,0,0,2,65,11,0,1,0,3,1
RemovedTestsLocator,3,5,0,0,3,89,12,0,1,0,9,2
SolutionChangeConsumer,2,3,0,0,2,49,5,0,1,0,4,0
TestRunInfoMerger,1,10,0,0,4,63,11,0,0,0,4,4
TestRunInfo,5,20,2,0,19,81,24,1,0,0.1000000014901161,3,26
AssemblyChangeConsumer,10,11,1,0,4,170,29,0,2,0,21,1
BuildOptimizer,2,14,0,0,5,137,30,0,1,0,6,1
TestToRun,0,1,2,0,1,11,1,0,0,-1,1,6
RunInfo,0,7,3,0,7,57,11,0,1,-1,1,21
IOptimizeBuildConfiguration,0,4,0,0,0,7,4,1,0,-1,1,4
PhpFileChangeConsumer,2,4,1,0,4,43,7,0,2,0,9,0
RecursiveRunCauseConsumer,1,1,1,0,1,12,2,0,2,0,2,2
GrowlNotifier,2,5,0,0,3,84,10,0,1,0,4,2
SnarlNotifier,7,4,0,0,2,106,15,0,1,0,2,2
NotificationType,0,0,0,0,0,7,0,0,0,-1,0,7
ISendNotifications,0,2,0,0,0,5,2,4,0,-1,1,3
notify_sendNotifier,0,3,0,0,2,54,5,0,1,-1,1,2
NullNotifier,0,2,0,0,2,13,2,0,1,-1,1,0
OS,3,1,4,0,0,82,4,0,0,0,1,13
IMessageProxy,0,1,0,0,0,6,1,1,0,-1,1,3
MessageProxy,5,20,0,0,14,188,36,0,2,0,29,0
InformationFeedbackPresenter,2,4,1,0,1,40,4,0,1,0.5,6,1
IInformationFeedbackPresenter,0,0,1,0,0,4,0,1,0,-1,0,4
IInformationFeedbackView,0,3,0,0,0,6,3,4,0,-1,3,1
IRunFeedbackPresenter,0,0,1,0,0,4,0,1,0,-1,0,3
IRunFeedbackView,0,8,0,0,0,11,8,3,0,-1,8,1
RunFeedbackPresenter,3,10,1,0,2,92,10,0,1,0,15,1
CecilReflectionProvider,1,16,0,0,9,185,39,0,1,0.119999997317791,5,2
TypeReferenceExtensions,0,1,0,0,1,7,1,0,0,-1,0,0
TypeDefenitionExtensions,0,1,0,0,1,7,1,0,0,-1,0,0
