Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AmbiguousTaskNameException,2,2,0,0,2,12,2,0,1,0,0,0
BounceException,0,5,0,0,5,15,5,9,0,-1,0,1
BounceRunner,1,7,0,0,3,62,9,0,0,0.2899999916553497,9,0
CommandExecutionException,2,2,0,2,2,12,2,0,1,0,0,1
ConsoleShellLogger,0,2,0,0,2,8,2,0,1,-1,0,0
IShellLogger,0,2,0,0,0,4,2,4,0,-1,0,3
ITaskRunner,0,1,0,0,0,3,1,1,0,-1,1,1
LogExtensions,0,1,0,0,1,5,1,0,0,-1,0,0
MultiShellLogger,1,3,0,0,3,16,5,0,1,0,1,1
Props,1,3,1,1,3,40,4,0,0,0,0,2
StringShellLogger,6,3,3,0,3,39,3,0,1,0,0,1
DefaultLogFormatter,0,1,0,0,1,5,1,0,1,-1,1,0
DependencyResolverAttribute,0,0,0,0,0,4,0,0,0,-1,0,1
AttributedDependencyResolvers,1,2,0,1,2,14,3,0,1,0,0,1
ICommandLog,0,3,1,0,0,6,3,3,0,-1,0,2
IDependencyResolver,0,1,0,0,0,3,1,2,0,-1,0,2
Parameters,1,3,1,0,3,13,3,0,0,0,1,1
TaskException,0,2,0,0,2,8,2,0,1,-1,1,0
TaskRunner,0,2,0,0,2,27,4,0,1,-1,2,1
ILog,0,12,0,0,0,14,12,2,0,-1,0,3
ILogMessageFormatter,0,1,0,0,0,3,1,1,0,-1,1,1
ILogOptionCommandLineParser,0,1,0,0,0,3,1,0,0,-1,1,0
IShell,0,2,0,0,0,4,2,1,0,-1,1,4
ITask,0,1,2,0,0,5,1,2,0,-1,1,4
ITaskParameter,0,0,5,0,0,7,0,2,0,-1,0,6
ITypeParsers,0,5,0,0,0,7,5,1,0,-1,1,1
Log,4,16,2,0,14,84,17,1,1,0,2,1
LogLevel,0,0,0,0,0,6,0,0,0,-1,0,5
LogOptions,2,0,0,2,0,4,0,0,0,-1,1,0
NonNamedArgumentException,1,2,0,0,2,10,2,0,1,0,0,0
NoMatchingTaskException,2,2,0,0,2,12,2,0,1,0,1,0
NullCommandLog,0,4,1,0,4,12,4,0,1,-1,0,0
ArgumentsParser,0,3,0,0,2,53,6,0,0,-1,1,2
TaskParameters,1,7,0,0,6,33,8,0,0,0,4,10
ProcessOutput,4,0,0,4,0,6,0,0,0,-1,0,3
RequiredParameterNotGivenException,0,1,0,0,1,4,1,0,1,-1,0,0
Shell,1,6,0,0,4,74,8,0,1,0.3300000131130219,5,2
ShellExecutableNotFoundException,0,1,0,0,1,3,1,0,1,-1,0,0
TaskAttribute,0,0,0,0,0,4,0,0,0,-1,0,1
MethodInfoExtensions,0,1,0,0,1,12,2,0,0,-1,0,0
TaskMethod,2,4,3,0,2,40,4,0,1,0,3,2
TaskMethodParameter,1,1,6,0,1,43,1,0,1,0,0,0
TaskParameter,1,1,5,0,1,19,1,0,1,0,0,0
TaskParameterException,0,1,0,0,1,4,1,0,1,-1,2,0
TaskRequiredParameterException,2,2,0,0,2,12,2,0,1,0,2,0
TypeParsers,1,6,1,0,5,46,8,0,1,0.5,3,1
NullTypeParser,1,3,1,0,3,15,3,0,1,0.6700000166893005,0,1
EnumParser,1,3,1,0,3,18,3,0,1,0.6700000166893005,0,1
TypeParserNotFoundException,0,1,0,0,1,3,1,0,0,-1,0,0
ITypeParser,0,2,1,0,0,5,2,6,0,-1,0,3
IntParser,0,2,1,0,2,11,2,0,1,-1,0,0
BooleanParser,0,2,1,0,2,11,2,0,1,-1,0,0
StringParser,0,2,1,0,2,11,2,0,1,-1,0,0
DateTimeParser,0,2,1,0,2,11,2,0,1,-1,0,0
UsageHelp,0,2,0,0,2,27,5,0,0,-1,2,2
MsBuildLogger,1,4,2,0,2,24,4,0,0,0,0,0
TeamCityArtifactPublisher,0,1,0,0,1,7,1,0,0,-1,0,0
TeamCityFormatter,1,3,1,0,3,26,4,0,0,0,1,4
TeamCityLog,2,10,0,0,6,50,10,0,2,0.2000000029802322,5,0
TeamCityMsBuildLogger,5,4,1,0,3,45,6,0,1,0,1,0
TeamCityNUnitLogger,3,4,1,0,4,29,4,0,1,0,2,1
TeamCityTextFormatter,0,1,0,0,1,5,1,0,0,-1,0,1
IMsBuild,0,1,0,0,0,3,1,1,0,-1,0,1
IMsBuildFile,0,1,0,0,0,4,1,3,0,-1,0,0
IVisualStudioProject,0,0,5,0,0,7,0,1,1,-1,0,0
MsBuildToolsVersion,6,0,0,6,0,8,0,0,0,-1,0,1
MsBuild,2,12,1,0,2,71,17,0,1,0,2,0
MsBuildFile,0,1,2,0,1,9,1,2,1,-1,1,0
ConditionParseException,0,0,0,0,0,1,0,0,0,-1,0,0
IPropertyValues,0,0,0,0,0,3,0,1,0,-1,0,1
IVisualStudio,0,1,1,0,0,4,1,1,0,-1,0,1
IVisualStudioSolution,0,0,2,0,0,4,0,1,1,-1,0,1
ParseResult<T>,2,0,0,2,0,4,0,0,0,-1,0,0
ProjectFilePropertyExpressionParser,1,12,0,0,5,146,35,0,0,0.1700000017881393,1,2
PropertyValues,1,1,0,0,1,17,1,0,1,0,0,2
IVisualStudioProjectFileLoader,0,1,0,0,0,3,1,1,0,-1,0,1
IVisualStudioSolutionFileLoader,0,1,0,0,0,3,1,1,0,-1,0,1
VisualStudio,0,2,1,0,2,11,2,0,1,-1,3,0
VisualStudioCSharpProjectFileLoader,1,4,0,0,1,55,10,0,1,0,3,0
VisualStudioProject,0,0,8,0,0,22,0,0,2,-1,0,3
VisualStudioProjects,5,4,0,0,2,37,5,0,0,0,4,1
VisualStudioSolution,2,1,3,0,1,16,1,0,2,0,0,3
VisualStudioSolutionDetails,0,0,1,0,0,3,0,0,0,-1,0,0
VisualStudioSolutionFileDetails,0,0,1,0,0,3,0,0,0,-1,0,2
VisualStudioSolutionFileLoader,0,2,0,0,1,16,3,0,1,-1,2,0
VisualStudioSolutionFileReader,1,3,0,0,3,14,3,0,0,0.6700000166893005,4,1
VisualStudioSolutionProjectReference,0,0,2,0,0,4,0,0,0,-1,0,3
IAppPool,0,0,0,0,0,1,0,0,0,-1,0,0
Iis7WebApplication,2,2,2,0,2,21,2,0,1,0,0,1
Iis7WebSite,1,3,4,0,3,34,4,0,1,0,1,1
IWebApplication,0,1,2,0,0,5,1,1,0,-1,0,1
WebSiteBindingParser,1,6,0,0,1,48,10,0,0,0,1,2
IWebServer,0,2,0,0,0,4,2,1,0,-1,0,1
IWebSite,0,1,3,0,0,6,1,1,0,-1,0,2
Iis7,1,8,0,0,6,57,14,0,1,0.5,5,1
BindingGroup,2,0,0,2,0,4,0,0,0,-1,0,1
WebSiteBinding,5,1,2,5,1,24,1,0,0,0,0,4
