Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Constants,0,0,0,0,0,28,0,0,0,-1,0,14
AnalyzerIdentifiers,10,0,0,10,0,13,0,0,0,-1,0,13
Categories,2,0,0,2,0,5,0,0,0,-1,0,7
SaveMethodNames,2,0,0,2,0,5,0,0,0,-1,0,1
EvaluateManagedBackingFieldsCodeFix,0,2,1,0,2,45,2,0,0,-1,1,1
CslaMemberConstants,2,0,0,2,0,52,0,0,0,-1,0,3
Properties,14,0,0,14,0,17,0,0,0,-1,0,2
Operations,12,0,0,12,0,15,0,0,0,-1,0,2
Types,9,0,0,9,0,12,0,0,0,-1,0,2
EvaluateManagedBackingFieldsAnalayzer,1,5,1,0,1,131,19,0,0,0.6000000238418579,1,1
EvaluateManagedBackingFieldsAnalayzerConstants,3,0,0,3,0,6,0,0,0,-1,0,1
EvaluateManagedBackingFieldsCodeFixConstants,1,0,0,1,0,4,0,0,0,-1,0,2
EvaluateManagedBackingFieldsWalker,0,2,3,0,1,28,4,0,0,-1,0,2
FindOperationsWithNonSerializableArgumentsConstants,3,0,0,3,0,6,0,0,0,-1,0,1
FindOperationsWithNonSerializableArgumentsAnalyzer,1,2,1,0,1,45,5,0,0,1,0,1
FindSetOrLoadInvocationsWalker,0,2,2,0,1,22,3,0,0,-1,0,2
FindGetOrReadInvocationsWalker,0,2,2,0,1,22,3,0,0,-1,0,2
OnlyUseCslaPropertyMethodsInGetSetRuleConstants,3,0,0,3,0,6,0,0,0,-1,0,1
EvaluatePropertiesForSimplicityAnalyzer,1,6,1,0,1,167,17,0,0,0.3300000131130219,2,1
FindSaveAssignmentIssueAnalyzerAddAsyncAssignmentCodeFix,0,2,1,0,2,57,3,0,0,-1,1,1
FindSaveAssignmentIssueAnalyzerAddAssignmentCodeFix,0,2,1,0,2,50,2,0,0,-1,1,1
FindSaveAssignmentIssueAnalyzerConstants,3,0,0,3,0,6,0,0,0,-1,0,1
FindSaveAsyncAssignmentIssueAnalyzerConstants,3,0,0,3,0,6,0,0,0,-1,0,1
FindSaveAssignmentIssueAnalyzerAddAssignmentCodeFixConstants,1,0,0,1,0,4,0,0,0,-1,0,3
FindSaveAssignmentIssueAnalyzerAddAsyncAssignmentCodeFixConstants,1,0,0,1,0,4,0,0,0,-1,0,1
FindSaveAssignmentIssueAnalyzer,2,4,1,0,1,92,10,0,0,0.5,3,1
CheckConstructorsAnalyzer,2,2,1,0,1,79,8,0,0,1,1,1
PublicNoArgumentConstructorIsMissingConstants,4,0,0,4,0,7,0,0,0,-1,0,3
ConstructorHasParametersConstants,3,0,0,3,0,6,0,0,0,-1,0,1
CheckConstructorsAnalyzerPublicConstructorCodeFixConstants,2,0,0,2,0,5,0,0,0,-1,0,2
CheckConstructorsAnalyzerPublicConstructorCodeFix,0,4,1,0,2,117,9,0,0,-1,2,1
ContainsInvocationExpressionWalker,0,2,1,0,1,15,2,0,0,-1,0,2
IsOperationMethodPublicMakeNonPublicCodeFix,0,3,1,0,2,61,4,0,0,-1,2,1
IsOperationMethodPublicAnalyzerConstants,4,0,0,4,0,7,0,0,0,-1,0,3
IsOperationMethodPublicAnalyzerMakeNonPublicCodeFixConstants,3,0,0,3,0,6,0,0,0,-1,0,2
IsOperationMethodPublicAnalyzer,2,2,1,0,1,58,4,0,0,1,1,1
IsBusinessObjectSerializableAnalyzer,1,2,1,0,1,36,3,0,0,1,0,1
IsBusinessObjectSerializableConstants,3,0,0,3,0,6,0,0,0,-1,0,1
IsBusinessObjectSerializableMakeSerializableCodeFixConstants,3,0,0,3,0,6,0,0,0,-1,0,2
IsBusinessObjectSerializableMakeSerializableCodeFix,0,4,1,0,2,62,5,0,0,-1,1,1
ISymbolExtensions,0,1,0,0,0,22,3,0,0,-1,0,0
SyntaxNodeExtensions,0,2,0,0,0,42,7,0,0,-1,0,0
IMethodSymbolExtensions,0,4,0,0,0,55,4,0,0,-1,4,0
ITypeSymbolExtensions,0,8,0,0,0,82,9,0,0,-1,2,0
