Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BaseTestProvider,1,1,1,0,0,17,1,1,0,0,0,0
LinqToSqlTestProvider,1,5,0,0,5,71,11,0,1,0.4000000059604645,4,1
NorthwindDataContext,2,46,13,0,6,190,46,0,0,0.8899999856948853,14,2
Category,6,16,5,0,1,161,18,0,0,0.8100000023841858,1,1
Territory,6,14,5,0,1,178,16,0,0,0.7900000214576721,1,2
CustomerCustomerDemo,5,10,4,0,1,167,12,0,0,0.8999999761581421,0,3
CustomerDemographic,4,12,3,0,1,113,14,0,0,0.75,1,1
Customer,14,32,13,0,1,357,34,0,0,0.8399999737739563,2,2
Employee,23,48,22,0,1,594,50,0,0,0.8500000238418579,2,1
EmployeeTerritory,5,10,4,0,1,167,12,0,0,0.8999999761581421,0,3
Order_Detail,8,16,7,0,1,239,18,0,0,0.9399999976158142,0,4
Order,19,36,18,0,1,524,38,0,0,0.9200000166893005,1,5
Product,14,28,13,0,1,387,30,0,0,0.8899999856948853,1,3
Region,4,12,3,0,1,113,14,0,0,0.75,1,1
Shipper,5,14,4,0,1,137,16,0,0,0.7900000214576721,1,1
Supplier,14,32,13,0,1,353,34,0,0,0.9100000262260437,1,1
TestProviderFactory,0,1,0,0,1,9,1,0,0,-1,1,1
Settings,1,0,2,0,0,22,0,0,0,-1,0,0
SqlConnectionTestBase,1,2,1,0,0,30,3,0,0,1,0,0
EagerLoadBehavior,0,1,0,0,1,7,1,0,1,-1,0,0
IContextBehavior,0,1,0,0,0,4,1,2,0,-1,0,1
LogWriterBehavior,1,1,1,0,1,19,1,0,1,0,0,0
Class1,0,0,0,0,0,3,0,0,0,-1,0,0
Monads,0,1,0,0,1,13,2,0,0,-1,0,0
