Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AssemblyMissingException,0,3,0,0,3,30,3,0,0,-1,0,0
BaseCollection<T>,1,22,3,0,8,315,30,0,0,1,0,0
BaseCollectionEnumerator<TE>,1,4,2,0,4,46,4,0,0,0.5,0,0
BaseList<T>,0,7,0,0,3,93,8,0,0,-1,0,0
QualifiedTypeName,0,2,6,0,2,90,9,0,0,-1,0,1
ReadOnlyException,0,2,0,0,2,20,2,0,0,-1,0,0
ReflectionHelper,0,2,0,0,2,58,4,0,0,-1,0,1
SerializationFormatter,0,2,0,0,2,15,2,1,0,-1,0,2
SerializationMap,2,12,2,0,1,139,21,2,0,0.1700000017881393,3,2
SerializationMapEntry,0,5,2,0,5,59,6,0,0,-1,1,5
SerializeAttribute,0,1,3,0,1,28,1,0,0,-1,0,9
TypeNameManager,1,4,0,0,2,100,12,0,0,0,1,1
XmlConstants,21,1,0,21,1,102,2,0,0,0,0,3
XmlDeserializer,2,16,0,0,2,335,49,0,0,0,7,3
XmlHelper,0,3,0,0,2,87,8,0,0,-1,0,3
XmlSerializer,4,12,0,0,1,229,27,0,0,0,7,1
ObjectXmlReferences,2,4,0,0,3,39,7,0,0,0,1,1
CloneableEM,0,1,0,0,1,15,2,0,0,-1,0,0
SerializeExtent,4,6,0,4,6,96,7,0,0,0,1,0
Resources,2,1,3,0,0,50,1,0,0,0,0,0
Settings,1,0,1,0,0,12,0,0,0,-1,0,0
DimensionType,0,0,0,0,0,27,0,0,0,-1,0,7
FeatureType,0,0,0,0,0,23,0,0,0,-1,0,4
Angle,2,10,3,1,10,261,13,0,0,0.8999999761581421,0,1
BufferStyle,0,0,0,0,0,15,0,0,0,-1,0,5
PrecisionModelType,0,0,0,0,0,20,0,0,0,-1,0,3
LocationType,0,0,0,0,0,29,0,0,0,-1,0,25
Ordinate,0,0,0,0,0,19,0,0,0,-1,0,3
Coordinate,4,19,2,4,18,451,43,2,0,0.1599999964237213,3,150
CoordinateArrays,0,17,0,0,16,357,47,0,0,-1,2,9
BidirectionalComparator,0,1,0,0,1,23,4,0,0,-1,2,0
ForwardComparator,0,1,0,0,1,15,1,0,0,-1,2,0
CoordinateArraySequence,2,21,4,0,18,406,38,0,1,0,5,1
Enumerator,6,7,3,0,6,148,11,0,0,0.2899999916553497,1,2
CoordinateF,4,18,7,0,18,434,30,0,0,0.2199999988079071,3,1
CoordinateList,0,11,0,0,9,139,22,0,0,-1,1,5
CoordinateListSequence,2,18,4,0,15,249,24,0,1,0,4,2
CoordinateMismatchException,0,1,0,0,1,12,1,0,0,-1,0,0
Dimension,0,3,0,0,2,60,5,0,0,-1,1,1
GeometryType,0,0,0,0,0,43,0,0,0,-1,0,0
ShapeGeometryType,0,0,0,0,0,75,0,0,0,-1,0,0
VectorFieldType,0,0,0,0,0,56,0,0,0,-1,0,0
VectorGeometryType,0,0,0,0,0,65,0,0,0,-1,0,0
Envelope,2,26,11,0,22,516,46,0,1,0.3100000023841858,3,25
EnvelopeExt,0,52,0,0,51,893,152,0,0,-1,13,0
EnumerableExt,0,2,0,0,1,37,5,0,0,-1,0,0
InsufficientDimensionsException,0,2,0,0,2,21,2,0,0,-1,0,0
FloatVector3,3,14,2,3,14,333,16,0,0,0.1400000005960464,2,1
Geometry,9,60,25,1,47,1281,100,4,1,0.550000011920929,37,19
GeometryChangedFilter,0,1,0,0,1,9,1,0,1,-1,1,0
GeometryCollection,2,19,16,1,15,629,49,3,2,0.3199999928474426,14,17
