Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FormattedDatabaseTraceListenerData,4,3,4,0,3,90,3,0,1,1,0,5
FormattedDatabaseTraceListenerAssembler,0,1,0,0,1,32,1,0,1,-1,9,0
FormattedDatabaseTraceListener,3,10,0,0,4,236,16,0,1,0.2000000029802322,5,2
AddExceptionTypeNodeCommand,0,2,1,0,1,42,3,1,1,-1,6,0
ExceptionHandlingCommandRegistrar,0,8,0,0,2,79,8,0,1,-1,9,1
ExceptionHandlingNodeMapRegistrar,0,2,0,0,2,22,2,0,1,-1,7,1
ExceptionHandlingSettingsBuilder,3,5,0,0,2,51,8,0,0,0,9,1
ExceptionHandlingSettingsNodeBuilder,1,5,0,0,2,46,8,0,1,0,9,1
CustomHandlerNode,2,2,3,0,2,82,4,0,1,1,1,3
ExceptionHandlerNode,0,1,1,0,0,21,1,5,1,-1,0,6
ExceptionHandlingConfigurationDesignManager,0,4,0,0,2,59,7,0,1,-1,11,1
ExceptionHandlingSettingsNode,0,1,1,0,1,25,1,0,1,-1,0,7
ExceptionPolicyNode,0,2,0,0,2,22,2,0,1,-1,1,6
ExceptionTypeNode,2,2,4,0,2,113,3,0,1,1,2,9
ReplaceHandlerNode,2,2,3,0,2,67,3,0,2,1,1,3
WrapHandlerNode,2,2,3,0,2,68,3,0,2,1,1,4
Resources,2,1,30,0,0,294,1,0,0,0,0,3
AddLoggingExceptionHandlerCommand,0,2,0,0,1,21,4,0,1,-1,6,1
ExceptionHandlingLoggingCommandRegistrar,0,3,0,0,2,22,3,0,1,-1,5,0
ExceptionHandlingLoggingConfigurationDesignManager,0,2,0,0,1,38,5,0,1,-1,8,0
ExceptionHandlingLoggingNodeMapRegistrar,0,2,0,0,2,13,2,0,1,-1,3,0
LoggingExceptionHandlerNode,9,5,7,0,2,182,8,0,2,0.4000000059604645,5,6
Resources,2,1,13,0,0,141,1,0,0,0,0,2
AddConnectionStringSettingsNodeCommand,0,2,0,0,1,18,2,0,1,-1,2,1
AddConnectionStringsSectionNodeCommand,0,2,0,0,1,15,2,0,1,-1,2,1
AddDatabaseSectionNodeCommand,1,3,0,0,2,45,4,0,1,0,4,4
ConnectionStringNameValuePair,2,1,2,0,1,21,1,0,0,0,0,3
ConnectionStringParser,0,2,0,0,2,25,5,0,0,-1,1,3
ConnectionStringsCommandRegistrar,0,5,0,0,2,45,5,0,1,-1,6,1
ConnectionStringSettingsNode,1,2,3,0,2,77,3,0,1,1,0,17
ConnectionStringsSectionNode,0,1,1,0,1,24,1,0,1,-1,0,7
ConnectionStringsConfigurationDesignManager,0,4,0,0,2,68,9,0,1,-1,12,0
AddOracleConnectionElementNodeCommand,0,2,0,0,1,16,2,0,1,-1,2,0
ConnectionStringsSectionBuilder,3,4,0,0,2,40,6,0,0,0,6,1
ConnectionStringsSectionNodeBuilder,4,3,0,0,2,38,6,0,1,0,5,1
DatabaseSectionBuilder,2,2,0,0,2,21,4,0,0,0,6,1
DatabaseSectionNodeBuilder,1,2,0,0,2,22,3,0,1,0,3,1
IDatabaseProviderName,0,0,1,0,0,10,0,2,0,-1,0,1
OracleConnectionSettingsBuilder,2,2,0,0,2,27,4,0,0,0,7,1
OracleConnectionNodeBuilder,2,2,0,0,2,39,6,0,1,0,8,1
DataCommandRegistrar,0,4,0,0,2,34,4,0,1,-1,6,1
OracleConnectionCommandRegistrar,0,4,0,0,2,40,4,0,1,-1,5,1
ParameterNode,1,2,1,0,2,39,2,0,1,1,0,3
ProviderMappingNode,1,2,4,0,2,80,3,0,1,1,1,3
OracleConnectionConfigurationDesignManager,0,4,0,0,2,56,6,0,1,-1,10,0
DatabaseSectionNode,2,3,2,0,1,75,5,0,1,0.6700000166893005,3,14
DataConfigurationDesignManager,0,4,0,0,2,57,7,0,1,-1,10,0
OracleConnectionElementNode,0,1,1,0,1,30,1,0,1,-1,0,5
OraclePackageElementNode,1,2,2,0,2,52,3,0,1,1,1,3
ProviderMappingsNode,0,1,1,0,1,27,1,0,1,-1,0,3
ProviderEditor,0,2,0,0,2,28,6,0,0,-1,2,0
ProviderEditorUI,4,5,1,0,1,85,9,0,0,0.4000000059604645,0,1
Resources,2,1,32,0,0,312,1,0,0,0,0,4
AddSecuritySettingsNodeCommand,0,2,0,0,1,26,2,0,1,-1,3,0
CustomAuthorizationProviderNode,2,2,3,0,2,85,4,0,1,1,1,3
