Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
TargetTypeTests,0,1,0,0,1,10,1,0,0,-1,1,0
CompilersTests,0,3,0,0,3,27,3,0,0,-1,4,0
MsBuildTaskTests,3,13,0,0,13,107,13,0,0,0,3,0
BuildTask,9,17,2,0,14,212,24,0,1,0.1800000071525574,8,15
BuildTaskTests,0,14,0,0,14,163,14,0,0,-1,4,0
TargetTests,3,6,0,0,6,44,6,0,0,0.3300000131130219,3,0
Compilers,1,3,3,0,1,37,3,0,0,0.6700000166893005,1,13
MsBuildTask,8,15,0,0,12,146,21,0,1,0.1299999952316284,6,5
Resgen,4,7,0,0,6,50,8,0,0,0.2899999916553497,7,1
ResgenTests,0,6,0,0,6,60,6,0,0,-1,4,0
Resource,0,3,2,0,1,33,4,0,0,-1,0,3
ResourceTests,0,3,0,0,3,26,3,0,0,-1,1,0
TargetType,2,1,1,0,0,20,1,0,0,0,1,14
Target,3,6,0,0,4,42,6,0,0,0.3300000131130219,2,14
Desktop4_5Finder,0,1,1,0,1,15,1,0,1,-1,0,0
MonoFinder,0,2,1,0,2,14,2,0,1,-1,0,0
TestFinder,0,1,1,0,1,12,1,0,1,-1,1,1
DefaultFinderTests,2,7,0,0,7,58,7,0,0,0,2,0
DefaultFinder,1,4,5,0,2,67,7,8,1,0.5,1,0
Desktop2_0Finder,0,1,1,0,1,14,1,0,2,-1,0,0
Desktop3_0Finder,0,1,1,0,1,15,1,0,2,-1,0,0
Desktop3_5Finder,0,1,1,0,1,19,1,0,2,-1,0,0
Desktop4_0ClientFrameworkFinder,0,1,1,0,1,16,1,0,2,-1,0,0
Desktop4_0FullFrameworkFinder,0,1,1,0,1,17,1,0,2,-1,0,0
IFrameworkFinder,0,2,2,0,0,7,2,1,0,-1,0,3
SimpleMessageLogger,0,6,2,0,6,38,6,0,1,-1,1,0
TestLogger,2,5,0,0,4,40,6,0,1,0,5,2
TestSuiteLogger,1,4,0,0,4,20,4,0,1,0.5,3,3
TestLoggerTests,2,5,0,0,5,47,5,0,0,0,2,0
TestSuiteLoggerTests,3,4,0,0,4,35,4,0,0,0,1,0
ConsoleMessageLogger,1,7,3,0,6,117,14,0,1,0.4300000071525574,3,3
ConsoleMessageLoggerTests,2,11,0,0,11,92,11,0,0,0,2,0
ApiKeyMandatoryTests,0,1,0,0,1,14,1,0,0,-1,3,0
AuthorsMandatory,0,3,0,0,3,24,6,0,1,-1,2,6
AuthorsMandatoryTests,0,3,0,0,3,30,3,0,0,-1,3,0
DependencyGroup,0,4,2,0,4,34,6,0,0,-1,1,5
DependencyGroupTests,0,3,0,0,3,26,3,0,0,-1,1,0
DependencyRecord,0,3,2,0,3,22,4,0,0,-1,0,2
DependencyRecordTests,0,2,0,0,2,16,2,0,0,-1,1,0
DescriptionMandatory,0,2,0,0,2,9,2,0,1,-1,2,6
DescriptionMandatoryTests,0,1,0,0,1,14,1,0,0,-1,3,0
FrameworkAssembly,0,2,2,0,2,20,3,0,0,-1,0,3
FrameworkAssemblyTests,0,2,0,0,2,16,2,0,0,-1,1,0
NuGetOptionalsTests,2,17,0,0,17,113,17,0,1,0,4,0
ProjectIdMandatoryTests,0,1,0,0,1,14,1,0,0,-1,3,0
NuGetPublisher,24,6,0,1,3,145,25,0,1,0.5,8,16
ApiKeyMandatory,0,2,0,0,2,11,2,0,1,-1,2,6
OptionBase,1,1,0,0,1,8,1,6,0,0,1,0
NuGetOptionals,0,17,1,0,17,93,17,0,1,-1,2,6
ProjectIdMandatory,0,2,0,0,2,9,2,0,1,-1,2,5
NuGetPublisherTests,4,9,0,0,9,125,9,0,1,0,10,0
VersionMandatory,0,3,0,0,3,13,3,0,1,-1,2,6
VersionMandatoryTests,0,1,0,0,1,14,1,0,0,-1,3,0
PublishTests,2,4,0,0,4,32,4,0,0,0,4,0
Ftp,6,7,0,0,6,75,8,0,1,0,3,2
FtpTests,0,1,0,0,1,9,1,0,0,-1,0,0
GoogleCodeTests,1,5,0,0,5,39,5,0,0,0.4000000059604645,1,0
Publish,1,5,0,0,5,23,5,0,0,0.4000000059604645,1,4
GoogleCode,8,16,0,0,8,155,18,0,1,0.119999997317791,0,4
MSTestRunner,11,22,0,0,19,149,32,0,1,0.09000000357627869,6,3
MSTestRunnerTests,4,23,0,0,23,174,23,0,1,0,4,0
UnitTestFrameworkArgsTests,0,2,0,0,2,19,2,0,0,-1,3,0
UnitTestFrameworkArgs,1,4,0,0,4,24,4,0,0,0.5,1,6
INUnitRunner,0,7,2,0,0,48,7,1,1,-1,0,0
NUnitRunner,6,14,0,0,11,144,18,0,2,0.1400000005960464,7,6
