Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Battle,16,11,15,15,3,224,12,0,0,0.449999988079071,9,6
BattleGroup,6,9,3,3,1,85,9,0,0,0.4399999976158142,7,3
BattleList,0,2,0,0,1,18,3,0,0,-1,2,1
BattleShip,44,16,46,42,5,755,21,0,0,0.6200000047683716,16,16
SetFlagRule,0,2,0,0,1,26,3,0,1,-1,2,0
HullHitsRule,0,2,0,0,1,36,4,0,1,-1,2,0
RiggingHitsRule,0,2,0,0,1,33,4,0,1,-1,2,0
MarineHitsRule,0,2,0,0,1,15,2,0,1,-1,2,0
InIronsRule,0,2,0,0,1,18,3,0,1,-1,2,0
UpdateStatusRule,0,2,0,0,1,11,2,0,1,-1,2,0
BattleShipCommander,15,10,14,14,0,203,10,0,0,0.6000000238418579,7,2
WoundedKilledOrCapturedRule,0,2,0,0,1,28,3,0,1,-1,3,0
BattleShipCommanderList,1,5,0,0,0,62,11,0,0,0.6000000238418579,4,1
BattleShipList,1,6,0,0,0,67,13,0,0,0.6700000166893005,5,1
Broadside,0,0,0,0,0,5,0,0,0,-1,0,1
BroadsideType,0,0,0,0,0,5,0,0,0,-1,0,0
Commander,10,9,9,9,1,160,9,0,0,0.4399999976158142,3,5
CommanderList,0,2,0,0,1,18,3,0,0,-1,2,1
Damage,0,5,5,0,2,112,11,0,0,-1,0,3
FireAttack,32,5,32,32,2,797,9,0,0,0.800000011920929,4,9
RangeRule,0,2,0,0,1,30,4,0,1,-1,3,0
IsPointBlankRule,0,2,0,0,1,20,3,0,1,-1,2,0
ModifiedRateRule,0,2,0,0,1,14,2,0,1,-1,3,0
PartialBroadsideRule,0,2,0,0,1,20,3,0,1,-1,3,0
DuringTackRule,0,2,0,0,1,20,3,0,1,-1,3,0
BaseFirePowerRule,0,3,0,0,1,96,10,0,1,-1,7,0
DieRollRule,0,9,0,0,1,192,30,0,1,-1,10,0
FirePower,3,9,3,2,6,181,9,0,0,0.7799999713897705,2,6
Fleet,6,8,5,5,1,105,8,0,0,0.3799999952316284,6,4
FleetList,1,4,0,0,1,46,8,0,0,0.5,4,4
FleetShip,6,9,5,5,1,124,10,0,0,0.4399999976158142,6,4
FleetShipCommander,3,9,2,2,1,75,9,0,0,0.6700000166893005,4,4
FleetShipCommanderList,1,6,0,0,2,55,10,0,0,0.6700000166893005,4,4
FleetShipList,1,4,0,0,1,46,8,0,0,0.5,4,4
HitResults,6,6,0,4,4,96,7,0,0,0,2,1
Nationality,0,0,0,0,0,10,0,0,0,-1,0,12
RakeType,0,0,0,0,0,6,0,0,0,-1,0,2
RelativeRate,3,7,38,3,5,223,7,0,0,0.7099999785423279,5,11
RelativeRateColor,0,0,0,0,0,8,0,0,0,-1,0,3
RelativeRateShape,0,0,0,0,0,7,0,0,0,-1,0,3
RelativeRateSymbol,11,5,0,11,4,81,13,0,0,0,0,2
WeatherGauge,0,0,0,0,0,6,0,0,0,-1,0,2
Scenario,9,8,8,8,1,137,8,0,0,0.3799999952316284,5,6
ScenarioList,0,2,0,0,1,18,3,0,0,-1,2,2
Ship,11,15,10,10,1,220,15,0,0,0.5299999713897705,6,5
ShipList,0,2,0,0,1,18,3,0,0,-1,2,1
TargetArea,0,0,0,0,0,6,0,0,0,-1,0,2
Weather,0,0,0,0,0,6,0,0,0,-1,0,5
BattleData,0,1,10,0,1,32,1,0,0,-1,0,2
BattleGroupData,0,1,4,0,1,20,1,0,0,-1,0,3
BattleShipCommanderData,0,0,6,0,0,17,0,0,0,-1,0,2
BattleShipData,0,4,22,0,4,74,6,0,0,-1,2,4
CommanderData,0,0,9,0,0,23,0,0,0,-1,0,2
FleetData,0,1,6,0,1,24,1,0,0,-1,0,7
FleetShipCommanderData,0,0,3,0,0,11,0,0,0,-1,0,3
FleetShipData,0,1,9,0,1,31,1,0,0,-1,0,6
ScenarioData,0,1,8,0,1,28,1,0,0,-1,0,5
ShipData,0,0,14,0,0,33,0,0,0,-1,0,3
Resources,2,1,14,0,0,125,1,0,0,0,0,1
