Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AdsCheckout,0,1,0,0,1,30,4,0,0,-1,2,2
ClassicAd,0,1,0,0,1,8,1,0,1,-1,0,0
PremiumAd,0,1,0,0,1,8,1,0,1,-1,0,0
Product,0,0,2,0,0,5,0,3,0,-1,0,6
StandoutAd,0,1,0,0,1,9,1,0,1,-1,0,0
Program,0,6,0,0,0,75,7,0,0,-1,2,0
CustomerRule,0,0,2,0,0,6,0,0,0,-1,0,1
Discount,0,1,2,0,1,22,3,0,1,-1,2,2
IRule,0,1,0,0,0,4,1,1,0,-1,0,0
PriceDrop,0,1,2,0,1,19,2,0,1,-1,2,2
ProductPrice,0,1,2,0,1,11,1,0,0,-1,0,7
Rule,0,1,1,0,1,16,2,2,1,-1,2,3
RuleHelper,0,3,0,0,2,44,5,0,0,-1,2,2
RuleMaker,0,1,0,0,1,30,2,0,0,-1,3,2
