Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
EchoArguments,26,1,0,26,1,260,4,0,0,0,2,1
EchoProgram,0,13,0,0,0,188,34,0,0,-1,29,0
Resources,2,1,11,0,0,120,1,0,0,0,0,1
AboutDialog,9,5,0,0,1,183,9,0,0,0.4000000059604645,3,1
ApplicationShutdown,0,0,0,0,0,3,0,0,1,-1,0,1
Window,3,5,2,0,0,88,6,0,0,0.6000000238418579,0,3
IPackage,0,1,0,0,0,4,1,13,0,-1,0,1
DockWindow,1,4,0,0,0,52,6,0,0,0.75,0,0
Main,59,39,0,0,0,996,49,0,0,0.1299999952316284,24,0
IcarusArguments,3,0,0,3,0,25,0,0,0,-1,2,2
Paths,5,0,0,5,0,25,0,0,0,-1,0,5
IcarusProgram,0,8,0,0,0,107,12,0,0,-1,23,0
Settings,14,1,25,1,1,133,1,0,0,0,1,2
AnnotationsPackage,4,5,0,1,3,36,5,0,1,0.4000000059604645,7,0
AnnotationsResources,2,1,4,0,0,57,1,0,0,0,0,1
AnnotationsWindow,16,7,0,0,1,269,12,0,0,0,7,1
AnnotationsController,6,8,4,0,5,105,11,0,1,0,7,0
IAnnotationsController,0,3,4,0,0,10,3,1,0,-1,0,2
AddFilesCommand,2,2,1,0,2,28,3,0,1,0,5,1
ApplyFilterCommand,1,2,1,0,2,13,2,0,1,0,2,1
CommandFactory,1,21,0,0,20,115,21,0,1,0,21,0
ConvertSavedReportCommand,2,2,2,0,2,22,5,0,1,0,3,1
ICommandFactory,0,19,0,0,0,22,19,1,0,-1,1,14
LoadPackageCommand,2,4,0,0,2,33,4,0,1,0,3,3
DeleteAllReportsCommand,2,2,0,0,2,17,2,0,1,0,4,0
DelegateCommand,0,2,1,0,2,17,3,0,1,-1,1,0
DeleteFilterCommand,1,2,1,0,2,13,2,0,1,0,2,1
DeleteReportCommand,1,2,1,0,2,19,3,0,1,0,2,1
GenerateReportCommand,2,2,1,0,2,20,2,0,1,0,3,1
NewProjectCommand,2,2,0,0,2,25,2,0,1,0,4,1
OpenProjectCommand,3,6,1,0,2,54,6,0,1,0,6,1
OpenReportCommand,1,2,1,0,2,21,2,0,1,0,2,0
RefreshTestTreeCommand,1,2,0,0,2,12,2,0,1,0,2,1
ReloadCommand,3,6,0,0,2,60,6,0,1,0,5,1
RemoveAllFilesCommand,2,2,0,0,2,26,2,0,1,0,4,1
RemoveFileCommand,2,2,1,0,2,28,2,0,1,0,4,1
ResetTestsCommand,1,2,0,0,2,12,2,0,1,0,2,1
RestoreFilterCommand,2,3,1,0,2,35,3,0,1,0,6,1
RunTestsCommand,5,6,1,0,2,64,6,0,1,0,9,1
SaveFilterCommand,2,2,1,0,2,24,3,0,1,0,3,1
SaveProjectCommand,3,5,1,0,2,49,5,0,1,0,5,1
ShowReportCommand,3,2,1,0,2,28,2,0,1,0,4,1
ViewSourceCodeCommand,1,2,1,0,2,13,2,0,1,0,2,1
ProgressEvent,0,1,1,0,1,8,1,0,0,-1,1,1
SavingProject,0,0,0,0,0,3,0,0,1,-1,0,2
AboutController,1,1,2,0,1,28,2,0,1,0,1,0
ApplicationController,7,12,5,0,10,159,20,0,1,0.4199999868869781,19,0
IAboutController,0,0,2,0,0,5,0,1,0,-1,0,1
IApplicationController,0,5,5,0,0,17,5,1,0,-1,0,2
IProgressController,0,1,3,0,0,10,1,1,0,-1,0,1
NotifyController,0,1,0,0,0,13,2,5,0,-1,1,0
ProgressController,4,7,4,0,5,97,13,0,1,0.2899999916553497,8,0
ProjectController,7,21,11,0,18,243,26,0,1,0.3300000131130219,16,0
ReportController,1,5,1,0,4,35,5,0,1,0,6,0
SourceCodeController,1,4,0,0,3,41,6,0,1,0,7,0
TestController,10,15,0,0,9,177,19,0,1,0,28,0
OptionsController,6,7,26,0,7,229,11,0,1,0.4300000071525574,10,0
ShutdownPane,4,5,0,0,2,84,6,0,1,0.6000000238418579,4,1
ShutdownPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
ExecutionLogPane,5,5,0,0,2,99,6,0,1,0.6000000238418579,4,1
ExecutionLogPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
TestRunnerFactoryPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
TestRunnerFactoryPane,5,5,0,0,2,103,6,0,1,0.6000000238418579,10,1
TestRunnerExtensionsPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
ProgressMonitoringPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
ProgressMonitoringPane,4,5,0,0,2,86,7,0,1,0.4000000059604645,4,1
ReportsPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
ReportsPane,4,5,0,0,2,86,7,0,1,0.4000000059604645,4,1
TestRunnerExtensionsPane,8,7,0,0,2,159,11,0,1,0.2899999916553497,8,1
TestStatusPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
TestStatusPane,14,6,0,0,2,237,7,0,1,0.6700000166893005,4,1
StartupPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
StartupPane,4,5,0,0,2,84,6,0,1,0.6000000238418579,4,1
TestExplorerPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
TestExplorerPane,8,7,0,0,2,157,9,0,1,0.4300000071525574,5,1
TreeViewCategoryPane,11,6,0,0,2,179,7,0,1,0.3300000131130219,4,1
TreeViewCategoryPaneProvider,1,2,0,0,2,12,2,0,1,0,2,0
OptionsChanged,0,0,0,0,0,1,0,0,1,-1,0,1
TestsFailed,0,0,0,0,0,2,0,0,1,-1,0,1
ProjectSaved,0,1,1,0,1,8,1,0,1,-1,0,1
ProjectLoaded,0,1,1,0,1,7,1,0,1,-1,0,4
TestStepFinished,0,1,2,0,1,10,1,0,1,-1,2,4
ExploreStarted,0,0,0,0,0,3,0,0,1,-1,0,2
RunFinished,0,0,0,0,0,3,0,0,1,-1,0,3
RunStarted,0,0,0,0,0,2,0,0,1,-1,0,4
Reloading,0,0,0,0,0,3,0,0,1,-1,0,1
TestsReset,0,0,0,0,0,2,0,0,1,-1,0,1
ExploreFinished,0,0,0,0,0,3,0,0,1,-1,0,3
TestSelectionChanged,0,1,1,0,1,8,1,0,1,-1,0,2
TreeViewCategoryChanged,0,1,1,0,1,8,1,0,1,-1,0,2
ExecutionLogController,5,6,1,0,4,64,8,0,1,0.3300000131130219,13,0
ExecutionLogPackage,4,5,0,1,3,35,5,0,1,0.4000000059604645,7,0
ExecutionLogWindow,3,3,0,0,1,88,4,0,0,0.6700000166893005,4,1
IExecutionLogController,0,0,1,0,0,12,0,1,0,-1,0,2
FilterController,2,4,0,0,4,26,4,0,1,0,5,0
FiltersPackage,5,5,0,1,3,41,5,0,1,0.4000000059604645,5,0
FiltersView,7,10,0,0,1,164,13,0,0,0.2000000029802322,4,1
IFilterController,0,3,0,0,0,6,3,1,0,-1,1,2
AlphanumComparatorFast,0,1,0,0,1,80,6,0,0,-1,0,0
FilterTestStatusEvent,0,1,1,0,1,8,1,0,1,-1,1,1
ITestStatusFilteredTreeModel,0,0,0,0,0,3,0,1,0,-1,0,1
TestStatusFilteredTreeModel,1,5,0,0,3,46,11,0,1,0.4000000059604645,6,0
FilteredTreeModel,1,8,0,0,3,71,17,0,1,0,5,0
FilterTreeEvent,0,1,1,0,1,11,1,0,1,-1,1,2
IFilteredTreeModel,0,0,0,0,0,2,0,1,0,-1,0,1
ISortedTreeModel,0,0,0,0,0,2,0,1,0,-1,0,1
SortedTreeModel,1,4,0,0,3,42,6,0,1,0.5,4,0
TestTreeNodeComparer,1,2,0,0,2,14,2,0,0,0,2,1
ITestStatistics,0,0,4,0,0,7,0,1,0,-1,0,4
SortOrder,0,0,0,0,0,5,0,0,0,-1,0,8
SortTreeEvent,0,1,1,0,1,8,1,0,1,-1,1,1
TestStatistics,0,3,4,0,3,41,5,0,1,-1,7,0
TreeModelDecorator,1,5,0,0,2,34,6,4,0,0,0,2
ComponentDetailsTreeModel,1,3,0,0,3,43,4,0,0,0.6700000166893005,4,0
ServiceDetailsTreeModel,1,3,0,0,3,30,5,0,0,0,4,0
PluginDetailsTreeModel,1,3,0,0,3,71,4,0,0,0.6700000166893005,5,0
PluginTreeModel,1,6,0,0,6,46,8,0,0,0.3300000131130219,7,1
IProjectTreeModel,0,1,2,0,0,6,1,1,0,-1,0,3
ITestTreeModel,0,3,2,0,0,9,3,1,0,-1,3,9
ProjectTreeModel,6,8,2,0,4,110,9,0,1,0,7,0
TestTreeModel,1,9,2,0,5,101,17,0,1,0.2199999988079071,10,0
TestTreeNode,4,11,6,0,5,146,27,3,1,0.550000011920929,6,16
ProjectExplorerResources,2,1,4,0,0,57,1,0,0,0,0,1
ProjectExplorerView,18,17,0,0,1,342,29,0,0,0,14,1
ProjectExplorerPackage,6,5,0,1,3,41,5,0,1,0.4000000059604645,9,0
Controller,4,15,0,0,11,96,20,0,1,0,6,0
IController,0,9,0,0,0,12,9,1,0,-1,0,2
IModel,0,0,7,0,0,10,0,1,0,-1,0,3
IView,0,0,0,0,0,3,0,1,0,-1,0,0
Model,0,1,7,0,1,20,1,0,1,-1,0,0
Package,4,5,0,1,3,34,5,0,1,0.4000000059604645,5,1
View,31,19,0,0,1,595,22,0,1,0.1099999994039536,4,0
IProjectUserOptionsController,0,3,2,0,0,8,3,1,0,-1,1,2
ProjectReloadPackage,4,4,0,0,3,34,4,0,1,0.5,7,0
UserOptions,2,1,2,2,1,18,1,0,0,0,0,2
ProjectUserOptionsController,5,6,2,0,6,71,9,0,1,0,9,0
UserOptionsLoaded,0,0,0,0,0,1,0,0,1,-1,0,1
UserOptionsSaved,0,0,0,0,0,1,0,0,1,-1,0,0
ProjectChangedEventArgs,0,1,1,0,1,8,1,0,0,-1,0,1
IProjectMonitor,0,0,0,0,0,3,0,1,0,-1,0,0
