Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AboutForm,8,5,0,0,1,153,6,0,0,0.6000000238418579,0,1
ConflictResolverForm,5,3,0,1,1,97,4,0,0,0.6700000166893005,0,1
ConflictResolver,1,3,0,0,3,35,4,0,1,0,2,1
ContactPreview,3,5,1,0,1,86,10,0,0,0.4000000059604645,1,1
CPField,3,2,0,3,2,17,2,0,0,0,0,1
ContactPropertiesUtils,0,9,0,0,9,109,25,0,0,-1,1,3
ContactsMatcher,1,8,0,1,5,575,70,0,0,0.3799999952316284,11,2
ContactMatchList,0,1,0,0,1,4,1,0,0,-1,0,3
ContactMatch,4,3,0,4,3,34,9,0,0,0,0,3
ContactSync,0,12,0,0,12,377,79,0,0,-1,0,2
DeleteDuplicatesForm,3,4,0,0,1,70,6,0,0,0.5,1,0
DuplicateDataException,0,4,0,0,3,17,4,0,0,-1,0,1
Encryption,0,5,0,0,3,77,5,0,0,-1,1,1
PasswordEncryptionException,0,3,0,0,3,6,3,0,0,-1,0,0
HexEncoding,0,8,0,0,7,137,21,0,0,-1,0,1
IConflictResolver,0,1,0,0,0,10,1,1,0,-1,0,0
ConflictResolution,0,0,0,0,0,6,0,0,0,-1,0,2
ILogger,0,3,0,0,0,6,3,1,0,-1,1,3
EventType,0,0,0,0,0,6,0,0,0,-1,0,5
Logger,1,4,0,1,4,24,5,0,1,0.5,1,1
SettingsForm,39,40,1,0,6,882,77,0,0,0.1000000014901161,7,0
Program,0,1,0,0,0,13,1,0,0,-1,0,0
Syncronizer,19,30,18,2,29,888,80,0,0,0.3300000131130219,9,5
SyncOption,0,0,0,0,0,8,0,0,0,-1,0,4
Utilities,1,20,0,0,20,253,44,0,0,0.4000000059604645,1,2
Resources,2,1,2,0,0,41,1,0,0,0,0,0
Settings,1,0,1,0,0,12,0,0,0,-1,0,0
