Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
InterfaceAudience,0,1,0,0,0,7,1,0,0,-1,0,0
InterfaceStability,0,0,0,0,0,3,0,0,0,-1,0,0
ExcludePrivateAnnotationsJDiffDoclet,0,4,0,0,4,30,5,0,0,-1,2,0
ExcludePrivateAnnotationsStandardDoclet,0,4,0,0,4,33,5,0,0,-1,2,0
IncludePublicAnnotationsStandardDoclet,0,4,0,0,4,33,5,0,0,-1,2,0
RootDocProcessor,3,3,0,0,1,300,6,0,0,0.6700000166893005,0,4
ExcludeHandler,1,6,0,0,2,244,27,0,0,0,1,0
StabilityOptions,3,3,0,3,3,73,11,0,0,0,1,4
RequestLoggerFilter,1,3,0,0,3,173,4,0,0,1,2,0
XHttpServletRequest,0,2,0,0,2,32,5,0,0,-1,0,1
XHttpServletResponse,3,10,0,0,9,99,15,0,0,0.2000000029802322,0,1
WhoClient,0,1,0,0,1,40,4,0,0,-1,2,0
WhoServlet,0,2,0,0,0,24,2,0,0,-1,0,0
AuthenticatedURL,5,9,0,1,8,263,21,1,0,0.2199999988079071,3,10
Token,1,5,0,0,4,41,6,0,0,0.4000000059604645,0,9
AuthenticationException,1,3,0,0,3,39,3,0,0,1,0,6
Authenticator,0,2,0,0,0,29,2,3,0,-1,2,5
ConnectionConfigurator,0,1,0,0,0,20,1,3,0,-1,0,9
KerberosAuthenticator,9,8,0,3,2,398,22,1,1,0,5,9
KerberosConfiguration,8,4,0,0,1,94,9,0,0,0.75,1,0
_PrivilegedExceptionAction_287,1,2,0,0,2,57,5,0,0,0,2,0
PseudoAuthenticator,3,3,0,1,2,75,4,1,1,0,3,3
KerberosTestUtils,1,7,0,0,7,114,7,0,0,0.5699999928474426,0,1
KerberosConfiguration,1,2,0,0,2,31,3,0,0,0,2,0
_PrivilegedExceptionAction_99,1,2,0,0,2,15,2,0,0,0,0,0
AltKerberosAuthenticationHandler,4,5,0,2,4,120,10,1,1,0.6000000238418579,2,1
AuthenticationFilter,18,18,0,9,5,612,50,3,0,0,12,15
_HttpServletRequestWrapper_532,1,4,0,0,4,26,4,0,0,0,1,0
