Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DiscrepancyDetector,1,3,0,0,2,31,8,0,0,0,1,2
VersionRetriever,0,1,0,0,1,14,1,0,1,-1,0,1
FileReference,0,9,3,0,5,81,16,0,0,-1,0,11
StringWriterWithEncoding,1,8,1,0,8,52,8,0,0,0.6200000047683716,0,1
DiscrepancyColorConverter,0,2,0,0,2,16,3,0,0,-1,0,0
App,0,2,0,0,2,30,2,0,0,-1,0,0
MainWindow,10,13,1,0,8,246,22,0,1,0.3799999952316284,2,0
IVersionRetriever,0,1,0,0,0,4,1,1,0,-1,0,2
IMainPageView,0,6,0,0,0,9,6,1,0,-1,0,2
ReferenceList,0,1,0,0,1,16,1,0,0,-1,1,0
Reference,1,1,4,0,0,21,2,0,0,0,0,2
MainPageCtrl,1,14,2,0,5,137,27,0,0,0.2099999934434891,7,2
VS10Project,0,0,3,0,0,8,0,0,0,-1,0,4
VS10ProjectReader,2,15,8,0,4,161,22,1,0,0.1299999952316284,2,4
VS10ProjectWriter,0,9,0,0,4,79,11,0,1,-1,2,3
VS10SolutionReader,2,10,2,0,3,88,13,0,0,0,1,3
Resources,2,1,2,0,0,41,1,0,0,0,0,0
Settings,1,0,1,0,0,12,0,0,0,-1,0,0
GeneratedInternalTypeHelper,0,5,0,0,0,44,5,0,0,-1,0,0
