Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DeviceIdProfileAttributeId,6,0,0,6,0,59,0,0,0,-1,1,1
HidProfileAttributeId,15,0,0,15,0,224,0,0,0,-1,1,1
UniversalAttributeId,17,0,0,17,0,437,0,0,0,-1,2,7
ServiceDiscoveryServerAttributeId,2,0,0,2,0,59,0,0,0,-1,1,0
BrowseGroupDescriptorAttributeId,1,0,0,1,0,19,0,0,0,-1,1,0
ObexAttributeId,7,0,0,7,0,165,0,0,0,-1,1,1
BasicPrintingProfileAttributeId,19,0,0,19,0,123,0,0,0,-1,1,0
PersonalAreaNetworkingProfileAttributeId,5,0,0,5,0,39,0,0,0,-1,1,0
HeadsetProfileAttributeId,1,0,0,1,0,15,0,0,0,-1,1,0
HandsFreeProfileAttributeId,2,0,0,2,0,70,0,0,0,-1,1,0
HealthDeviceAttributeId,3,0,0,3,0,57,0,0,0,-1,1,0
BluesoleilClient,6,19,11,0,7,436,30,0,1,0.2099999934434891,18,2
BluesoleilDeviceInfo,12,23,11,0,12,600,61,0,1,0.300000011920929,35,4
BlueSoleilSocketException,1,5,4,0,1,89,5,0,0,0.4000000059604645,1,1
BluesoleilFactory,9,20,1,0,1,458,28,0,1,0.449999988079071,19,6
BluesoleilInquiry,2,3,0,0,0,42,3,0,0,0,8,1
Records,3,10,0,0,0,175,16,0,0,0.2000000029802322,7,1
BluesoleilRadio,5,2,15,0,1,241,10,0,1,0,10,1
BluesoleilSecurity,3,12,0,0,0,118,14,0,1,0.5,8,1
DeviceAndPin,0,0,2,0,0,5,0,0,0,-1,0,1
BlueSoleilSerialPortNetworkStream,8,11,1,0,6,273,19,0,1,0.3600000143051147,7,1
State,0,0,0,0,0,8,0,0,0,-1,0,1
BluesoleilUtils,0,10,0,0,1,103,15,0,0,-1,4,6
BtSdkError,0,0,0,0,0,135,0,0,0,-1,0,11
IBluesoleilApi,0,52,0,0,0,252,52,1,0,-1,10,8
IBluesoleilConnection,0,1,0,0,0,4,1,2,0,-1,0,2
ISerialPortWrapper,0,2,6,0,0,89,2,1,0,-1,0,3
SerialPortWrapper,1,3,6,0,0,64,3,0,1,0,0,0
NativeMethods,1,52,0,0,0,255,52,0,0,0,10,1
NullBluesoleilConnection,1,2,1,0,0,17,2,0,1,1,0,1
RealBluesoleilApi,0,52,0,0,0,286,52,0,1,-1,12,0
SerialPortNetworkStream,1,4,3,0,1,61,5,1,1,0.75,3,2
StackConsts,16,0,0,0,0,152,0,0,0,-1,1,9
BTSDK_BTSTATUS,0,0,0,0,0,7,0,0,0,-1,0,1
BTSDK_CONNROLE,0,0,0,0,0,5,0,0,0,-1,0,1
CallbackType,0,0,0,0,0,12,0,0,0,-1,0,2
DiscoveryMode,0,0,0,0,0,30,0,0,0,-1,0,5
ConnectionEventType,0,0,0,0,0,26,0,0,0,-1,0,1
CallbackResult,0,0,0,0,0,5,0,0,0,-1,0,1
AttributeLookup,0,0,0,0,0,6,0,0,0,-1,0,2
COMM_SET,0,0,0,0,0,5,0,0,0,-1,0,4
Structs,0,0,0,0,0,375,0,0,0,-1,0,1
BtSdkLocalLMPInfoStru,14,2,0,0,0,38,2,0,0,1,3,4
BtSdkCallbackStru,2,4,0,0,0,29,4,0,0,0,2,4
BtSdkAppExtSPPAttrStru,6,4,0,0,1,59,5,0,0,0,2,5
BtSdkSPPConnParamStru,3,1,0,0,0,14,1,0,0,0,0,4
BtSdkSDPSearchPatternStru,2,1,0,0,0,19,1,0,0,0,1,4
UuidTypeMask,0,0,0,0,0,6,0,0,0,-1,0,1
BtSdkRemoteServiceAttrStru,6,2,0,0,2,40,2,0,0,0,2,4
BtSdkRmtSPPSvcExtAttrStru,2,1,0,0,0,14,1,0,0,0,0,1
