Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BadDeviceTokenException,0,1,1,0,1,13,1,0,0,-1,0,2
NotificationAlert,0,2,5,0,2,65,2,0,0,-1,0,4
Notification,3,5,3,3,5,80,12,0,0,0.800000011920929,2,5
NotificationException,0,2,1,0,2,17,2,0,0,-1,0,0
NotificationLengthException,0,1,1,0,1,21,1,0,0,-1,1,2
NotificationConnection,14,17,6,0,7,499,47,0,0,0.119999997317791,1,1
NotificationPayload,0,7,4,0,7,99,17,0,0,-1,1,3
NotificationService,10,17,8,0,7,396,33,0,0,0.5299999713897705,5,1
NotificationServiceDistributionType,0,0,0,0,0,11,0,0,0,-1,0,1
ThreadSafeQueue<T>,2,3,1,0,3,30,3,0,0,0,0,0
Feedback,0,1,2,0,1,27,1,0,0,-1,0,2
FeedbackService,9,10,6,0,6,294,20,0,0,0.300000011920929,1,1
Receipt,0,1,9,0,1,81,3,0,0,-1,0,2
ReceiptVerification,2,9,0,0,3,128,11,0,0,0.4399999976158142,1,1
