Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AbstractIoBuffer,7,73,9,0,59,1404,138,2,1,0.1000000014901161,5,2
Bits,0,62,0,0,40,347,68,0,0,-1,1,1
Buffer,4,14,7,0,5,264,25,1,0,0.1400000005960464,0,1
ByteOrder,0,0,0,0,0,11,0,0,0,-1,0,2
BufferDataException,0,5,0,0,4,33,5,0,0,-1,0,0
BufferUnderflowException,0,5,0,0,4,33,5,0,0,-1,0,0
ByteBuffer,3,20,3,0,12,258,34,1,2,0.1500000059604645,4,2
ByteBufferAllocator,1,3,0,1,3,34,4,0,1,0.6700000166893005,2,1
ByteBufferR,0,12,1,0,4,70,12,0,3,-1,3,1
IoBuffer,1,77,13,0,75,777,78,2,1,0.9599999785423279,2,99
IoBufferAllocator,0,3,0,0,0,22,3,2,0,-1,0,6
IoBufferHexDumper,2,2,0,0,1,58,7,0,0,0,1,1
IoBufferStream,1,6,5,0,6,88,7,0,0,0.5,1,0
IoBufferWrapper,1,67,13,0,66,528,68,0,2,0,1,0
FileInfoFileRegion,4,4,5,0,4,87,7,0,1,0.5,1,1
IFileRegion,0,2,5,0,0,34,2,1,0,-1,1,5
DefaultIoFilterChain,3,30,1,1,12,529,34,0,1,0.2700000107288361,13,4
HeadFilter,0,4,0,0,4,97,12,0,1,-1,7,0
TailFilter,0,16,0,0,16,183,22,0,1,-1,14,0
NextFilter,4,24,0,0,24,131,24,0,1,0,6,0
DefaultIoFilterChainBuilder,2,16,0,0,14,265,23,0,1,0,4,17
EntryImpl,3,6,3,0,6,59,8,0,1,0,2,1
IEntry,0,4,3,0,0,31,4,2,0,-1,0,7
INextFilter,0,10,0,0,0,43,10,2,0,-1,3,34
IChain,0,24,0,0,0,156,24,2,0,-1,0,0
"Chain<TChain,TFilter,TNextFilter>",5,38,2,0,24,543,51,0,1,0.6299999952316284,2,0
Entry,6,6,6,0,6,146,10,0,1,0,0,6
IoFilter,0,16,0,0,0,112,16,1,0,-1,5,8
IoFilterAdapter,0,16,0,0,16,86,16,23,1,-1,5,10
