Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BigEndianBinary,0,10,0,0,10,109,10,0,0,-1,2,4
Binary,1,5,0,1,3,60,10,0,0,0,0,6
BufferManager,4,4,0,0,4,69,8,0,0,0.5,0,1
CollectionDebuggerProxy<T>,1,1,1,0,1,25,1,0,0,0,0,0
CollectionOperation,0,4,0,0,3,115,17,0,0,-1,0,3
"DictionaryDebuggerProxy<TKey,TValue>",1,1,1,0,1,25,1,0,0,0,0,0
Float32Bits,5,2,0,5,2,74,3,0,0,1,0,2
Float64Bits,9,1,0,9,1,103,2,0,0,0,0,1
InvalidMessagePackStreamException,0,4,0,0,3,43,4,0,0,-1,0,1
IPackable,0,1,0,0,0,10,1,8,0,-1,2,3
ItemsUnpacker,7,78,8,0,29,3761,127,0,1,0.02999999932944775,10,3
CollectionType,0,0,0,0,0,7,0,0,0,-1,0,2
ReadValueResult,0,0,0,0,0,28,0,0,0,-1,0,1
IUnpackable,0,1,0,0,0,10,1,6,0,-1,1,2
KnownExtTypeCode,0,0,1,0,0,13,0,0,0,-1,0,1
KnownExtTypeName,0,0,1,0,0,13,0,0,0,-1,0,2
MessagePackExtendedTypeObject,2,9,3,0,7,267,22,0,0,0.3300000131130219,1,18
MessagePackObjectDictionary,8,31,13,0,12,2091,72,0,0,0.1599999964237213,7,49
Enumerator,10,15,9,0,6,335,24,0,0,0,1,4
DictionaryEnumerator,1,3,4,0,1,96,3,0,0,0,1,1
KeySet,1,23,4,0,10,428,30,0,0,0.8299999833106995,5,1
ValueCollection,1,12,4,0,4,273,19,0,0,0.6700000166893005,4,1
MessagePackCode,37,1,0,37,1,148,4,0,0,0,0,19
MessagePackConvert,4,6,2,0,6,121,8,0,0,0.5,0,22
MessagePackObject,14,59,7,1,49,3334,200,0,1,0.1000000014901161,10,184
MessagePackValueTypeCode,0,0,0,0,0,19,0,0,0,-1,0,2
ValueTypeCode,2,2,4,0,1,40,2,0,0,0,1,1
MessageNotSupportedException,0,4,0,0,3,43,4,0,0,-1,0,1
MessagePackObjectEqualityComparer,1,3,1,0,3,41,3,0,0,1,1,4
MessagePackString,6,17,2,0,11,416,40,0,0,0,4,5
BinaryType,0,0,0,0,0,8,0,0,0,-1,0,1
MessagePackStringDebuggerProxy,2,3,3,0,1,109,6,0,0,0.6700000166893005,1,0
PackerCompatibilityOptions,0,0,0,0,0,23,0,0,0,-1,0,30
PackerUnpackerExtensions,0,24,0,0,16,578,50,0,0,-1,6,2
PackingOptions,1,1,1,0,1,21,1,0,0,0,0,11
MessageTypeException,0,4,0,0,3,42,4,1,0,-1,0,1
Packer,3,107,4,0,49,2063,180,1,0,0.02999999932944775,6,998
ReflectionAbstractions,2,18,0,2,18,364,18,0,0,1,0,6
SetOperation,0,8,0,0,6,295,37,0,0,-1,0,1
StreamPacker,2,5,2,0,1,53,7,0,1,0,2,1
StringEscape,0,1,0,0,1,77,5,0,0,-1,0,2
SubtreeUnpacker,6,38,7,0,29,1381,137,0,1,0.05000000074505806,6,1
State,0,0,0,0,0,6,0,0,0,-1,0,1
TupleItems,0,4,0,0,3,84,10,0,0,-1,0,5
Unpacking,4,98,0,0,66,3244,120,0,0,0,13,54
SeekableUnpackingStream,1,3,2,0,2,65,6,0,1,0,0,1
UnseekableUnpackingStream,0,2,2,0,2,20,2,0,1,-1,0,1
DefaultUnpackingStreamReader,0,1,0,0,1,4,1,0,1,-1,0,1
UnpackingMode,0,0,0,0,0,5,0,0,0,-1,0,0
UnpackingStream,3,5,4,0,4,164,8,2,0,0.800000011920929,0,2
UnpackingStreamReader,1,1,1,0,0,22,1,1,0,0,0,2
UnsafeNativeMethods,5,3,0,0,1,73,6,0,0,0,0,1
Validation,2,3,0,0,2,142,12,0,0,0.6700000166893005,0,0
UnpackingResult,2,5,2,0,4,118,6,0,0,0.4000000059604645,0,21
Unpacker,2,57,8,0,40,1402,104,2,0,0.07000000029802322,5,969
UnpackerMode,0,0,0,0,0,8,0,0,0,-1,0,1
UnpackException,0,4,0,0,3,42,4,0,0,-1,0,0
UnassignedMessageTypeException,0,4,0,0,3,42,4,0,1,-1,0,0
CollectionSerializerMethod,0,0,0,0,0,17,0,0,0,-1,0,6
ICodeConstruct,0,0,1,0,0,14,0,3,0,-1,0,0
ISerializerBuilder,0,1,0,0,0,14,1,1,0,-1,2,2
ISerializerCodeGenerationContext,0,1,0,0,0,11,1,2,0,-1,0,6
ISerializerCodeGenerator,0,1,0,0,0,18,1,1,0,-1,2,3
"SerializerBuilder<TContext,TConstruct,TObject>",4,144,0,0,2,4343,223,0,1,0.9399999976158142,46,0
SerializerSpecification,0,6,5,0,5,81,9,0,0,-1,1,9
SerializerFieldKey,4,4,1,3,4,145,4,0,0,0,4,3
ComparablePolymorphismSchema,2,6,1,0,4,85,12,0,0,0.3300000131130219,4,1
SerializerMethod,0,0,0,0,0,6,0,0,0,-1,0,6
EnumSerializerMethod,0,0,0,0,0,12,0,0,0,-1,0,6
"SerializerBuilderContract<TContext,TConstruct,TObject>",0,63,0,0,1,618,63,0,0,-1,9,0
ForLoopContext,0,1,1,0,1,15,1,0,0,-1,0,4
SerializerBuilderNilImplicationHandler,0,7,0,0,0,83,7,0,0,-1,4,1
SerializerBuilderOnPackingParameter,5,1,1,4,1,32,1,0,1,0,0,1
SerializerBuilderOnUnpacedParameter,5,1,2,3,1,37,1,0,1,0,0,1
SerializerGenerationContext<TConstruct>,0,4,14,0,2,170,4,0,0,-1,2,0
CodeDomSerializerBuilder,1,0,0,1,0,4,0,0,0,-1,0,2
CodeDomConstruct,1,11,4,0,10,80,11,4,1,1,4,2
CodeDomContext,12,12,2,5,11,304,18,0,1,0.1700000017881393,14,2
CachedFieldInfo,2,1,0,2,1,11,1,0,0,0,0,2
CachedMethodBase,2,1,0,2,1,11,1,0,0,0,0,2
CodeDomSerializerBuilder<TObject>,0,67,0,0,1,1475,83,0,0,-1,30,0
ExpressionCodeDomConstruct,1,4,2,0,4,35,4,0,2,0,0,2
ParameterCodeDomConstruct,2,4,4,0,4,47,4,0,2,1,0,2
StatementCodeDomConstruct,1,3,1,0,3,25,3,0,2,0,0,2
VariableCodeDomConstruct,2,4,4,0,4,47,4,0,2,1,0,1
CollectionDetailedKind,0,0,0,0,0,22,0,0,0,-1,0,12
DateTimeConversionMethod,0,0,0,0,0,18,0,0,0,-1,0,21
DateTimeMemberConversionMethod,0,0,0,0,0,26,0,0,0,-1,0,43
DateTimeMessagePackSerializerHelpers,0,2,0,0,1,56,4,0,0,-1,3,36
DefaultSerializerNameResolver,2,1,0,0,1,18,1,0,0,0,1,2
INilImplicationHandlerOnUnpackedParameter,0,0,1,0,0,5,0,2,1,-1,0,0
INilImplicationHandlerParameter,0,0,1,0,0,4,0,3,0,-1,0,0
MessagePackDateTimeMemberAttribute,0,1,1,0,1,17,1,0,0,-1,0,2
MessagePackRuntimeTypeAttribute,0,1,1,0,1,15,1,0,1,-1,0,17
MessagePackRuntimeCollectionItemTypeAttribute,0,1,1,0,1,15,1,0,1,-1,0,13
MessagePackRuntimeDictionaryKeyTypeAttribute,0,1,1,0,1,15,1,0,1,-1,0,5
MessagePackRuntimeTupleItemTypeAttribute,0,1,2,0,1,35,1,0,1,-1,0,17
MessagePackKnownTypeAttribute,0,1,3,0,1,35,1,0,1,-1,0,13
MessagePackKnownCollectionItemTypeAttribute,0,1,3,0,1,35,1,0,1,-1,0,9
MessagePackKnownDictionaryKeyTypeAttribute,0,1,3,0,1,35,1,0,1,-1,0,9
MessagePackKnownTupleItemTypeAttribute,0,1,4,0,1,55,1,0,1,-1,0,17
MessagePackDeserializationConstructorAttribute,0,1,0,0,1,8,1,0,0,-1,0,1
MessagePackIgnoreAttribute,0,1,0,0,1,8,1,0,0,-1,0,5
"NilImplicationHandler<TAction,TCondition,TPackingParameter,TUnpackedParameter>",0,9,0,0,2,97,11,0,0,-1,2,0
PolymorphismSchema,16,17,10,0,9,1069,25,0,0,0.5899999737739563,8,795
TypeTable,4,2,0,4,1,39,2,0,0,0,2,1
TypeTableEntry,3,6,3,0,2,224,15,0,0,0.3300000131130219,15,2
PolymorphismSchemaChildrenType,0,0,0,0,0,24,0,0,0,-1,0,2
PolymorphismTarget,0,0,0,0,0,26,0,0,0,-1,0,2
PolymorphismType,0,0,0,0,0,17,0,0,0,-1,0,1
ResolveSerializerEventArgs,1,3,3,0,1,75,4,0,0,0.6700000166893005,4,2
