Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ActionExecutedContext,1,2,5,0,2,41,3,0,1,1,3,13
ActionExecutingContext,0,2,3,0,2,32,4,0,1,-1,2,14
AntiForgeryData,5,6,3,0,3,68,8,0,0,0.6700000166893005,0,8
AntiForgeryDataSerializer,1,3,1,0,2,86,5,1,0,0.6700000166893005,3,5
FormatterGenerator,1,1,0,1,0,36,1,0,0,0,0,0
TokenPersister,0,4,0,0,3,27,4,0,0,-1,0,0
AuthorizationContext,0,2,1,0,2,12,2,0,1,-1,1,18
ControllerContext,3,4,4,0,3,76,7,8,0,1,1,118
EmptyHttpContext,0,0,0,0,0,2,0,0,0,-1,0,0
PathHelpers,1,5,0,0,3,67,11,0,0,0,0,2
ExceptionContext,1,2,3,0,2,31,3,0,1,1,2,13
ResultExecutedContext,0,2,4,0,2,32,3,0,1,-1,2,12
ResultExecutingContext,0,2,2,0,2,22,3,0,1,-1,2,13
ValidateAntiForgeryTokenAttribute,2,3,2,0,1,57,8,0,1,0,5,1
HttpAntiForgeryException,0,4,0,0,3,14,4,0,0,-1,0,4
JavaScriptResult,0,1,1,0,1,16,3,0,1,-1,1,3
ActionDescriptor,1,7,2,0,7,39,9,2,0,0.8600000143051147,2,20
ActionMethodDispatcher,1,4,1,0,2,53,6,0,0,0,1,4
ActionMethodSelector,0,8,3,0,2,83,12,0,0,-1,5,4
ActionMethodSelectorAttribute,0,1,0,0,1,4,1,5,0,-1,1,10
ActionMethodSelectorCache,2,1,0,0,1,28,2,0,0,0,1,1
ActionNameSelectorAttribute,0,1,0,0,1,4,1,1,0,-1,1,2
AuthorizeAttribute,4,5,2,0,1,86,13,1,1,0.4000000059604645,1,6
ActionMethodDispatcherCache,0,2,0,0,2,7,2,0,0,-1,1,2
BindAttribute,4,2,3,0,1,40,2,0,0,0,0,8
ControllerBase,4,4,5,0,0,73,5,3,1,0,2,23
ActionNameAttribute,0,2,1,0,2,16,3,0,1,-1,2,1
AcceptVerbsAttribute,0,5,1,0,3,39,8,0,1,-1,3,1
AjaxHelper<TModel>,1,2,1,0,2,15,2,0,1,1,3,0
HtmlHelper<TModel>,1,2,1,0,2,15,2,0,1,1,3,0
DictionaryHelpers,0,2,0,0,2,27,7,0,0,-1,0,3
AjaxRequestExtensions,0,1,0,0,1,9,2,0,0,-1,0,1
ModelBinderDictionary,2,14,5,0,12,118,16,0,0,0.1400000005960464,3,9
ValueProviderDictionary,1,14,6,0,11,144,23,0,0,0.8600000143051147,2,4
ViewContext,0,2,3,0,2,41,6,0,1,-1,4,42
ViewType,1,0,1,0,0,14,0,0,0,-1,0,1
ViewTypeControlBuilder,1,2,0,0,2,16,2,0,0,0,0,0
ViewUserControlControlBuilder,0,1,1,0,1,17,2,0,0,-1,0,1
ViewPageControlBuilder,0,1,1,0,1,17,2,0,0,-1,0,1
ViewTypeParserFilter,3,8,4,0,7,114,15,0,0,0.6200000047683716,7,0
DirectiveType,0,0,0,0,0,6,0,0,0,-1,0,1
DefaultViewLocationCache,2,4,1,1,4,35,7,0,1,1,1,2
FormCollection,0,4,0,0,4,55,8,0,0,-1,2,2
FormCollectionBinderAttribute,1,1,0,0,1,17,1,0,1,0,1,0
FormCollectionModelBinder,0,1,0,0,1,8,2,0,1,-1,3,1
HttpPostedFileBaseModelBinder,0,1,0,0,1,21,5,0,1,-1,2,2
NullViewLocationCache,0,2,0,0,2,9,2,0,1,-1,0,0
ValidateInputAttribute,0,2,1,0,2,18,3,0,1,-1,2,1
FileContentResult,0,2,1,0,1,18,3,1,1,-1,0,3
FilePathResult,0,2,1,0,1,16,3,1,1,-1,1,3
FileResult,1,3,2,0,1,40,6,4,1,0.6700000166893005,2,1
FileStreamResult,1,2,1,0,1,30,3,1,2,1,0,3
InputType,0,0,0,0,0,7,0,0,0,-1,0,2
ControllerDescriptorCache,0,2,0,0,2,7,2,0,0,-1,1,2
ReflectedParameterBindingInfo,4,2,4,0,1,42,3,0,1,0,2,2
ParameterBindingInfo,0,0,4,0,0,22,0,3,0,-1,0,3
"ReaderWriterCache<TKey,TValue>",2,3,1,0,0,43,5,0,0,0.6700000166893005,0,0
