Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Guard,0,2,0,0,2,31,4,0,0,-1,1,4
QName,0,2,3,0,2,39,2,0,0,-1,0,8
XhtmlWriter,2,5,0,0,4,78,8,0,1,0,2,1
XmlBaseAwareXmlReader,2,22,1,0,19,240,26,0,1,0.3199999928474426,2,0
XmlBaseState,0,2,2,0,2,13,2,0,0,-1,0,1
XmlFirstLowerWriter,0,7,0,0,6,77,10,0,0,-1,0,2
XmlFirstUpperReader,0,14,2,0,13,133,17,0,0,-1,1,1
XmlFragmentReader,4,5,7,0,4,161,9,0,1,0.4000000059604645,2,0
XmlFragmentStream,7,9,5,0,9,157,16,0,0,0,1,0
XmlNamespaces,5,0,0,5,0,32,0,0,0,-1,0,1
XmlNodeFactory,0,5,0,0,4,219,5,0,0,-1,0,1
SerializableNode,0,16,20,0,15,125,16,3,0,-1,0,0
XPathNavigatorNode,1,2,0,0,2,14,2,0,1,0,0,0
XmlReaderNode,2,2,0,0,2,18,2,0,1,0,0,0
ObjectNode,1,2,0,0,2,15,2,0,1,0,0,0
XmlNodeListFactory,0,1,0,0,1,147,1,0,0,-1,1,2
XmlNodeListIterator,2,5,3,0,3,129,12,0,0,0.4000000059604645,2,2
XmlNodeListEnumerator,2,3,1,0,1,28,3,0,0,0,1,1
XmlNormalizingReader,2,5,3,0,4,123,13,0,1,0.4000000059604645,1,1
XmlPrefix,0,2,2,0,2,40,2,0,0,-1,0,1
XmlWrappingReader,1,18,24,0,16,280,20,4,0,0,1,4
XmlWrappingWriter,1,35,5,0,33,226,36,4,0,0,1,4
CacheKeyFactory,0,1,0,0,1,35,1,0,0,-1,1,1
SignatureExtractor,0,4,0,0,4,80,6,0,0,-1,2,1
StringSorter,1,2,0,0,2,24,2,0,0,0,0,3
XmlAttributeOverridesThumbprinter,0,19,0,0,1,335,44,0,0,-1,1,2
XmlSerializerCache,2,8,0,0,7,201,10,0,0,0.25,1,1
DynamicContext,1,12,1,0,12,272,18,0,0,0.9200000166893005,1,1
DynamicVariable,3,2,3,0,1,78,3,0,0,0,0,0
EmptyXPathNodeIterator,1,3,3,1,2,40,3,0,0,1,0,2
