Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ServerEntryPoint,0,2,0,0,0,38,2,0,1,-1,3,0
AgentHost,5,6,3,1,4,137,14,0,0,0,8,8
AgentParameters,0,1,1,0,1,25,1,0,0,-1,1,2
AgentProgram,1,2,1,0,2,91,2,0,1,0,6,1
IAgentExternalModule,0,3,0,0,0,20,3,2,0,-1,1,1
INativeRunnerCache,0,2,0,0,0,18,2,1,0,-1,2,1
NativeRunnerCache,1,4,0,0,2,85,8,0,1,0,4,0
TestRunnerMetadata,0,0,1,0,0,5,0,0,0,-1,0,1
AgentTestRunner,6,4,0,0,4,171,6,0,0,0,19,1
Agent,7,10,2,0,8,200,11,0,1,0.300000011920929,16,7
AgentConfiguration,0,1,5,0,1,71,1,0,0,-1,0,6
AnnouncementModule,7,9,0,0,4,146,9,0,1,0,4,0
DiscoveryModule,3,4,0,0,4,68,5,0,1,0.75,3,0
ExceptionEntry,0,1,3,0,1,41,1,0,0,-1,0,0
LogConfiguration,0,0,1,0,0,16,0,0,0,-1,0,1
LogEntry,0,1,5,0,1,51,1,0,0,-1,1,3
RollingLog,2,13,0,0,11,126,13,0,1,0.1500000059604645,2,4
InstanceTracker,4,9,0,0,4,141,14,0,1,0,3,1
IInstanceTracker,0,2,0,0,0,13,2,1,0,-1,0,2
InstanceTrackerState,0,0,2,0,0,16,0,0,0,-1,0,2
NDistribUnitProcessRunner,3,5,2,0,5,132,12,0,1,0.4000000059604645,10,2
DistributedConfigurationSetup,0,1,1,0,1,15,1,0,0,-1,0,3
IDistributedConfigurationOperator,0,2,0,0,0,19,2,1,0,-1,3,2
TestDataProvider,1,3,11,0,3,117,9,0,1,0.6700000166893005,3,0
TestResultExtensions,3,10,0,0,10,163,22,0,0,0.800000011920929,3,0
TestResultFactory,0,8,0,0,6,152,13,0,0,-1,10,3
TestType,10,0,0,10,0,27,0,0,0,-1,0,6
TestResultsProcessor,0,4,0,0,1,86,14,0,0,-1,4,6
ITestReprocessor,0,1,0,0,0,10,1,1,0,-1,3,1
IResultsStorage,0,3,0,0,0,23,3,1,0,-1,2,2
