Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DiffAlgorithm,0,4,0,0,3,154,6,1,0,-1,5,5
SupportedAlgorithm,0,0,0,0,0,5,0,0,0,-1,0,1
Edit,4,18,0,0,18,202,21,0,0,0.1099999994039536,1,15
Type,0,0,0,0,0,7,0,0,0,-1,0,5
EditList,1,4,0,0,4,41,4,0,0,1,2,10
HashedSequence<S>,2,2,0,0,1,17,2,0,1,0,0,0
HashedSequenceComparator<S>,1,3,0,0,2,22,3,0,0,0.6700000166893005,0,0
HashedSequencePair<S>,5,5,0,0,4,61,8,0,0,0,0,0
HistogramDiff,2,3,0,0,3,146,3,0,1,1,3,3
State<S>,5,4,0,0,0,100,7,0,0,0,8,0
HistogramDiffIndex<S>,21,10,0,0,0,359,35,0,0,0.300000011920929,3,0
LowLevelDiffAlgorithm,0,2,0,0,2,54,2,2,1,-1,2,1
MyersDiff<S>,6,4,0,1,1,543,9,0,0,0,11,0
_LowLevelDiffAlgorithm_114,0,2,0,0,2,12,2,0,2,-1,2,0
MiddleEdit,8,3,0,0,1,409,6,0,0,0,2,4
EditPaths,10,17,0,0,0,200,29,2,0,0,6,4
ForwardEditPaths,1,7,0,0,0,71,14,0,1,0.2899999916553497,2,0
BackwardEditPaths,1,7,0,0,0,71,14,0,1,0.2899999916553497,2,0
RawText,4,17,0,1,11,337,29,0,1,0.239999994635582,5,15
RawTextComparator,5,5,0,5,2,354,13,5,0,0.4000000059604645,3,9
_RawTextComparator_56,0,3,0,0,2,38,7,0,1,-1,2,0
_RawTextComparator_87,0,3,0,0,2,54,9,0,1,-1,3,0
_RawTextComparator_138,0,3,0,0,2,41,7,0,1,-1,3,0
_RawTextComparator_173,0,3,0,0,2,41,7,0,1,-1,3,0
_RawTextComparator_208,0,3,0,0,2,64,9,0,1,-1,3,0
Sequence,0,1,0,0,1,5,1,3,0,-1,0,0
SequenceComparator<S>,0,3,0,0,3,89,5,0,0,-1,1,0
Subsequence<S>,3,6,0,0,6,129,7,0,1,0.6700000166893005,2,0
SubsequenceComparator<S>,1,3,0,0,3,23,3,0,0,0,0,0
Resources,2,1,6,0,0,77,1,0,0,0,0,3
AList<T>,0,9,0,0,9,64,19,0,0,-1,0,0
Arrays,0,9,0,0,9,57,13,0,0,-1,0,1
ByteArrayOutputStream,0,6,0,0,6,32,6,0,1,-1,1,1
ByteBuffer,8,33,0,0,30,216,39,0,0,0.119999997317791,2,3
ByteOrder,0,0,0,0,0,5,0,0,0,-1,0,1
CharsetDecoder,2,4,0,0,4,35,7,0,0,0,3,2
CodingErrorAction,0,0,0,0,0,4,0,0,0,-1,0,2
Collections<T>,1,0,1,0,0,8,0,0,0,-1,0,0
Collections,0,16,0,0,16,121,23,0,0,-1,0,1
DataConverter,3,31,3,1,27,1624,50,2,0,0.3499999940395355,1,2
PackContext,7,2,0,6,2,56,8,0,0,0,1,1
CopyConverter,0,16,0,0,16,190,48,0,1,-1,0,0
SwapConverter,0,16,0,0,16,198,48,0,1,-1,0,0
DigestOutputStream,3,7,0,0,7,48,9,0,1,0,2,0
EnumeratorWrapper<T>,5,4,0,0,4,49,7,0,1,0,0,0
VirtualMachineError,0,0,0,0,0,3,0,1,1,-1,0,0
StackOverflowError,0,1,0,0,1,6,1,0,2,-1,0,0
BrokenBarrierException,0,0,0,0,0,3,0,0,0,-1,0,0
BufferUnderflowException,0,0,0,0,0,3,0,0,0,-1,0,0
CharacterCodingException,0,0,0,0,0,3,0,0,0,-1,0,0
DataFormatException,0,0,0,0,0,3,0,0,0,-1,0,0
EOFException,0,2,0,0,2,10,2,0,0,-1,0,0
Error,0,4,0,0,4,18,4,1,0,-1,0,0
ExecutionException,0,1,0,0,1,6,1,0,0,-1,0,0
InstantiationException,0,0,0,0,0,3,0,0,0,-1,0,0
InterruptedIOException,0,1,0,0,1,6,1,0,0,-1,0,0
MissingResourceException,0,0,0,0,0,3,0,0,0,-1,0,0
NoSuchAlgorithmException,0,0,0,0,0,3,0,0,0,-1,0,0
NoSuchElementException,0,0,0,0,0,3,0,0,0,-1,0,0
NoSuchMethodException,0,0,0,0,0,3,0,0,0,-1,0,0
OverlappingFileLockException,0,0,0,0,0,3,0,0,0,-1,0,0
ParseException,0,2,0,0,2,10,2,0,0,-1,0,0
RuntimeException,0,4,0,0,4,18,4,0,0,-1,0,0
StringIndexOutOfBoundsException,0,0,0,0,0,3,0,0,0,-1,0,0
UnknownHostException,0,0,0,0,0,3,0,0,0,-1,0,0
UnsupportedEncodingException,0,0,0,0,0,3,0,0,0,-1,0,0
URISyntaxException,0,1,0,0,1,6,1,0,0,-1,0,0
ZipException,0,0,0,0,0,3,0,0,0,-1,0,0
GitException,0,0,0,0,0,3,0,0,0,-1,0,0
ConnectException,0,1,0,0,1,6,1,0,0,-1,0,0
KeyManagementException,0,0,0,0,0,3,0,0,0,-1,0,0
IllegalCharsetNameException,0,1,0,0,1,6,1,0,0,-1,0,0
UnsupportedCharsetException,0,1,0,0,1,6,1,0,0,-1,0,0
Extensions,1,15,0,0,15,787,22,0,0,0.9300000071525574,2,12
FileInputStream,0,2,0,0,2,19,3,0,1,-1,2,0
FilePath,2,22,4,0,22,322,27,0,0,0.2300000041723251,0,3
InputStream,3,13,1,0,10,151,27,1,0,0.1500000059604645,1,3
Iterator,0,3,0,0,0,6,3,2,0,-1,0,1
Iterator<T>,1,8,2,0,3,43,9,0,1,1,0,0
MessageDigest,0,10,0,0,9,36,11,1,0,-1,0,2
MessageDigest<TAlgorithm>,2,9,0,0,8,60,11,0,1,0.3300000131130219,1,0
MessageFormat,0,2,0,0,1,65,8,0,0,-1,0,1
OutputStream,1,8,0,0,6,78,12,3,0,0.25,1,4
Runtime,0,3,0,0,0,236,3,0,0,-1,0,3
WrappedSystemStream,4,11,7,0,10,130,16,0,0,0.2700000107288361,2,2
Constants,2,1,0,2,0,10,1,0,0,0,1,1
IntList,2,10,0,0,9,127,16,0,0,0.2000000029802322,1,9
IOUtil,0,2,0,0,2,257,2,0,0,-1,1,0
LongList,2,12,0,0,11,154,20,0,0,0.1700000017881393,2,1
MutableInteger,1,0,0,1,0,6,0,0,0,-1,0,0
RawCharUtil,1,5,0,0,4,73,7,0,0,0.4000000059604645,0,4
RawParseUtils,0,10,0,0,9,1215,16,0,0,-1,6,2
NullOutputStream,1,4,0,1,4,28,4,0,1,1,0,0
