Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AbiCompatibility,0,0,0,0,0,17,0,0,0,-1,0,2
AbiEventArgs,0,1,1,0,1,10,1,0,0,-1,0,1
AbiComparer,0,8,1,0,2,179,45,0,0,-1,14,1
TypeGraph,1,3,0,0,3,54,13,0,0,0.6700000166893005,5,2
TypeGraphNode,3,1,3,0,1,26,1,0,0,0,1,2
SymbolCollector,0,5,2,0,1,129,11,0,0,-1,13,2
DocumentationComment,2,4,1,0,4,67,8,1,0,0.5,4,12
GetPotentiallyNestedClassTypeReference,2,2,0,0,2,39,8,0,1,0,5,0
IDocumentationProvider,0,1,0,0,0,7,1,4,0,-1,1,3
IUnresolvedDocumentationProvider,0,2,0,0,0,12,2,1,0,-1,2,0
XmlDocumentationProvider,4,12,0,0,5,329,25,0,1,0,6,0
XmlDocumentationCache,2,3,0,0,1,31,7,0,0,0,0,1
IndexEntry,2,2,0,0,1,24,2,0,0,0,0,1
LinePositionMapper,2,2,0,0,2,24,5,0,0,0,0,1
IdStringProvider,0,10,0,0,5,359,45,0,0,-1,20,8
IdStringMemberReference,3,3,1,0,2,48,6,0,1,0,8,1
IDocument,0,17,3,0,0,177,17,2,1,-1,3,27
IDocumentLine,0,0,6,0,0,34,0,1,1,-1,0,9
ISegment,0,0,3,0,0,19,0,6,0,-1,0,16
ISegmentExtensions,0,2,0,0,2,22,2,0,0,-1,1,0
ITextAnchor,0,0,7,0,0,70,0,2,0,-1,0,0
AnchorMovementType,0,0,0,0,0,19,0,0,0,-1,0,7
ITextSource,0,14,3,0,0,145,14,2,0,-1,1,15
ITextSourceVersion,0,4,0,0,0,34,4,1,0,-1,1,6
ReadOnlyDocument,4,39,5,0,24,420,49,0,2,0.3600000143051147,7,13
ReadOnlyDocumentLine,4,3,9,0,3,75,3,0,2,0,1,1
ReadOnlyDocumentTextAnchor,2,1,7,0,1,37,1,0,1,0,1,1
StringBuilderDocument,7,37,5,0,35,462,64,0,2,0.239999994635582,12,3
InsertionWithMovementBefore,0,2,0,0,2,15,3,0,1,-1,2,0
SimpleAnchor,2,3,7,0,3,60,5,0,1,0.6700000166893005,2,1
StringTextSource,3,16,3,1,16,133,19,0,1,0.119999997317791,2,5
TextChangeEventArgs,3,4,5,0,4,91,8,1,0,0,3,6
TextSourceVersionProvider,1,2,1,0,2,101,3,0,0,0,2,3
Version,4,7,0,0,4,71,12,0,1,0,4,1
ITextPasteHandler,0,2,0,0,0,19,2,1,0,-1,1,1
IAnnotatable,0,5,1,0,0,51,5,1,0,-1,0,1
AbstractAnnotatable,1,6,1,0,5,166,17,1,1,0,1,1
AnnotationList,0,2,0,0,2,22,2,0,0,-1,0,1
Role,4,3,1,1,2,37,4,2,0,0.6700000166893005,0,60
Role<T>,2,4,1,0,4,44,7,0,1,0.5,1,0
TextLocation,5,6,3,3,6,157,9,0,0,0.6700000166893005,0,88
