Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AspTestClient,0,1,0,0,1,5,1,0,1,-1,0,1
AspTestContext,0,1,2,0,0,38,1,0,0,-1,0,1
AspTestExecutionModule,2,6,1,0,3,40,6,0,0,0.6700000166893005,0,0
IAspFixtureHost,0,3,2,0,0,8,3,1,0,-1,0,2
AspFixtureRequest,2,4,1,0,0,46,4,0,1,0.75,3,2
AspFixtureRequestFactory,1,1,0,1,1,8,1,0,0,0,2,2
AspFixtureResponse,1,2,0,0,2,12,2,0,1,0,0,0
CustomizableHttpWebRequest,4,25,15,0,8,320,39,1,0,0.239999994635582,2,0
CustomizableHttpWebResponse,0,2,0,0,1,68,3,1,0,-1,0,0
HttpReflectionUtils,0,2,0,0,1,36,3,0,0,-1,0,0
HttpWebClient,12,6,7,0,4,250,19,1,0,0,1,1
HttpWriteMode,0,0,0,0,0,6,0,0,0,-1,0,1
SR,2,1,0,0,1,10,1,0,0,0,0,2
AspFixtureHost,5,16,5,0,8,294,31,0,1,0.5600000023841858,7,3
AspFixtureSimpleWorkerRequest,1,3,1,0,3,36,5,0,0,1,0,1
AspFixtureRequestWorkerRequest,4,27,0,0,25,311,42,0,0,0.3300000131130219,1,1
ResponseData,7,0,0,7,0,11,0,0,0,-1,0,3
