Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ExpectedExceptionData,7,1,6,0,1,110,2,0,0,0,1,6
IParameterDataSource,0,1,0,0,0,10,1,3,0,-1,0,1
IPropertyBag,0,13,2,0,0,120,13,1,1,-1,1,34
ITest,0,0,12,0,0,72,0,1,1,-1,0,19
ITestAssemblyBuilder,0,2,0,0,0,20,2,1,0,-1,0,1
ITestAssemblyRunner,0,3,1,0,0,49,3,1,0,-1,2,1
ITestCaseData,0,0,7,0,0,37,0,3,0,-1,0,3
ITestCaseSource,0,1,0,0,0,14,1,2,0,-1,0,2
ITestFilter,0,1,1,0,0,16,1,1,0,-1,1,11
ITestListener,0,3,0,0,0,20,3,3,0,-1,3,5
ITestResult,0,0,14,0,0,130,0,1,1,-1,0,24
IXmlNodeBuilder,0,2,0,0,0,18,2,3,0,-1,1,0
PropertyEntry,2,2,2,0,2,39,2,0,0,0,0,5
ResultState,10,3,2,8,3,106,3,0,0,0,1,39
RunState,0,0,0,0,0,30,0,0,0,-1,0,28
TestOutput,2,2,2,0,2,47,2,0,0,0,1,4
TestOutputType,0,0,0,0,0,22,0,0,0,-1,0,1
TestStatus,0,0,0,0,0,22,0,0,0,-1,0,16
XmlNode,4,9,6,0,7,268,18,0,0,0.3300000131130219,4,18
NodeFilter,3,2,0,0,2,39,7,0,0,0,1,1
NodeList,0,0,0,0,0,3,0,0,0,-1,0,9
AttributeDictionary,0,0,0,0,0,3,0,0,0,-1,0,2
TimeoutAttribute,1,2,0,0,1,20,2,0,1,0,1,0
Assert,0,132,0,0,129,1882,140,0,0,-1,7,152
AssertionHelper,0,14,0,0,14,330,14,4,1,-1,4,93
Assume,0,15,0,0,15,323,18,0,0,-1,4,8
CategoryAttribute,1,3,1,0,2,62,5,2,1,0.6700000166893005,4,1
CombinatorialAttribute,0,1,0,0,1,8,1,0,1,-1,0,1
CultureAttribute,2,6,0,0,5,96,13,0,1,0.6700000166893005,5,3
DataAttribute,0,1,0,0,1,7,1,4,1,-1,0,2
DatapointAttribute,0,0,0,0,0,4,0,0,1,-1,0,5
DatapointsAttribute,0,0,0,0,0,4,0,0,1,-1,0,4
DatapointSourceAttribute,0,0,0,0,0,4,0,1,1,-1,0,1
DescriptionAttribute,0,1,0,0,1,9,1,0,1,-1,0,4
ExpectedExceptionAttribute,1,3,7,0,3,103,3,0,1,0.6700000166893005,1,1
ExpectedExceptionDecorator,1,2,2,0,1,32,2,0,1,0,3,0
ExplicitAttribute,1,3,0,0,3,39,4,0,1,0,4,1
IgnoreAttribute,1,3,0,0,3,40,4,0,1,0,4,1
IncludeExcludeAttribute,3,2,3,0,2,51,2,2,1,1,0,0
MaxTimeAttribute,0,2,2,0,1,29,2,0,1,-1,2,1
NUnitAttribute,0,1,0,0,1,7,1,18,0,-1,0,0
PairwiseAttribute,0,1,0,0,1,8,1,0,1,-1,0,2
PlatformAttribute,1,3,0,0,3,34,4,0,2,1,5,3
PropertyAttribute,1,6,1,0,4,80,9,9,1,0.5,3,0
RandomAttribute,6,4,0,0,4,90,6,0,1,0,3,2
SampleType,0,0,0,0,0,7,0,0,0,-1,0,1
RangeAttribute,0,5,0,0,5,71,9,0,1,-1,0,2
SequentialAttribute,0,1,0,0,1,8,1,0,2,-1,0,2
SetCultureAttribute,1,2,0,0,1,23,2,0,2,0,1,1
SetUICultureAttribute,1,2,0,0,1,23,2,0,2,0,1,1
SetUpAttribute,0,0,0,0,0,3,0,0,1,-1,0,1
PreTestAttribute,0,0,0,0,0,3,0,0,1,-1,0,0
PostTestAttribute,0,0,0,0,0,3,0,0,1,-1,0,0
TearDownAttribute,0,0,0,0,0,3,0,0,1,-1,0,1
TestAttribute,1,1,1,0,1,28,2,1,1,0,3,4
TestCaseAttribute,7,6,19,0,5,410,21,0,2,0.3300000131130219,6,2
TestCaseSourceAttribute,3,5,3,0,4,173,14,0,2,0,5,1
TestFixtureAttribute,8,4,7,0,3,166,12,1,1,0.75,3,7
TestFixtureSetUpAttribute,0,0,0,0,0,4,0,0,1,-1,0,2
TestFixtureTearDownAttribute,0,0,0,0,0,4,0,0,1,-1,0,2
TheoryAttribute,0,0,0,0,0,14,0,0,1,-1,0,4
ValuesAttribute,1,5,0,0,5,100,12,2,2,0,0,6
ValueSourceAttribute,2,4,2,0,3,111,10,0,2,0,2,1
Contains,0,2,0,0,2,28,2,0,0,-1,2,14
AssertionException,0,3,0,0,2,25,3,0,0,-1,0,3
IgnoreException,0,3,0,0,2,24,3,0,0,-1,0,2
InconclusiveException,0,3,0,0,2,27,3,0,0,-1,0,1
SuccessException,0,3,0,0,2,26,3,0,0,-1,0,1
GlobalSettings,1,0,0,1,0,7,0,0,0,-1,0,3
Guard,0,2,0,0,2,26,4,0,0,-1,0,4
Has,0,5,8,0,5,175,5,0,0,-1,3,34
IExpectException,0,1,0,0,0,8,1,4,0,-1,0,1
Is,0,26,13,0,26,501,26,1,0,-1,19,153
Iz,0,0,0,0,0,3,0,0,1,-1,0,0
ListMapper,1,2,0,0,2,35,4,0,0,0,1,1
MessageMatch,0,0,0,0,0,11,0,0,0,-1,0,3
SpecialValue,0,0,0,0,0,8,0,0,0,-1,0,1
TestCaseData,7,17,12,0,17,347,18,0,1,0.7599999904632568,4,2
TestContext,3,1,6,0,1,221,1,0,0,0,3,2
TestAdapter,1,1,5,0,1,76,1,0,0,0,1,2
ResultAdapter,1,1,1,0,1,32,1,0,0,0,1,2
Throws,0,4,6,0,4,119,4,0,0,-1,3,4
DelayedConstraint,2,9,0,0,7,199,19,0,1,0,2,1
FailurePoint,10,0,0,10,0,32,0,0,0,-1,0,3
FailurePointList,0,0,0,0,0,1,0,0,0,-1,0,1
AllOperator,0,1,0,0,1,12,1,0,1,-1,2,0
NoneOperator,0,1,0,0,1,12,1,0,1,-1,2,0
SomeOperator,0,1,0,0,1,12,1,0,1,-1,2,0
SubPathConstraint,0,3,0,0,2,29,3,0,1,-1,1,5
AllItemsConstraint,0,3,0,0,3,42,6,0,1,-1,2,1
AndConstraint,1,4,0,0,4,71,5,0,1,0,4,2
AssignableFromConstraint,0,3,0,0,3,29,3,0,1,-1,1,3
AssignableToConstraint,0,3,0,0,3,29,3,0,1,-1,1,3
AttributeConstraint,2,5,0,0,4,73,10,0,1,0,3,0
AttributeExistsConstraint,1,3,0,0,3,44,5,0,1,0,1,0
BasicConstraint,2,3,0,0,2,43,5,3,1,0,1,0
BinaryConstraint,2,1,0,0,0,23,1,2,1,0,1,1
BinarySerializableConstraint,1,4,0,0,3,63,5,0,1,0.75,1,0
