Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AggregateMappingDescription,5,1,5,0,1,77,2,0,0,0,0,6
AssemblerBuilder,2,2,0,0,2,19,4,0,0,0,3,1
AssemblerGenerationOptions,5,0,5,0,0,68,0,0,0,-1,1,5
CodeGeneratorContext,3,1,3,0,1,24,1,0,0,0,2,5
ErrorBuilder,0,11,0,0,10,83,12,0,0,-1,3,7
FunctionMap,1,2,0,0,2,44,5,0,0,0,2,4
IAggregateFunction,0,2,2,0,0,21,2,1,1,-1,0,3
IExpressionFormatProvider,0,0,1,0,0,8,0,1,0,-1,0,1
MappingHelperAttribute,0,1,0,0,1,7,1,0,0,-1,0,1
MappingPreparerAttribute,0,0,0,0,0,4,0,0,0,-1,0,1
OutputType,0,0,0,0,0,6,0,0,0,-1,0,5
ProjectionInfo,0,0,1,0,0,14,0,0,0,-1,0,7
ProjectionItem,2,2,2,0,2,22,2,0,0,1,0,4
ClassMappingDescriptor,7,0,9,0,0,78,0,0,0,-1,0,12
Configuration,8,16,2,0,15,222,21,1,0,0,8,16
IAssembler,0,5,0,0,0,34,5,0,0,-1,0,15
IMappingDescriptorProvider,0,0,1,0,0,8,0,2,0,-1,0,6
MapAttribute,4,2,5,0,2,124,2,0,0,1,0,29
MapClassAttribute,3,1,3,0,1,62,1,0,0,0,0,1
MemberMappingDescriptor,11,3,15,0,2,174,5,0,0,0.6700000166893005,2,17
ProviderFactory,0,5,0,0,5,29,6,0,0,-1,5,4
OtisException,0,4,0,0,3,16,6,0,0,-1,0,3
TypeHelper,0,1,0,0,1,40,5,0,0,-1,0,7
AggregateExpressionBuilder,2,7,0,0,2,128,24,0,0,0.2899999916553497,12,1
AggregateExpressionPathItem,5,2,5,0,2,38,2,0,0,1,0,5
AggregateFunctionContext,7,1,8,0,1,56,1,0,0,0,5,16
AssemblerGenerator,6,9,0,0,4,143,17,0,0,0,7,1
ClassMappingGenerator,1,13,0,0,6,135,16,0,0,0,5,1
DefaultAggregateFunctionCodeGenerator,0,5,0,0,3,58,11,0,1,-1,5,1
FunctionMappingGenerator,0,11,0,0,1,183,29,0,0,-1,8,1
IAggregateFunctionCodeGenerator,0,3,0,0,0,24,3,3,0,-1,1,3
Util,0,7,0,0,0,98,10,0,0,-1,0,2
AvgFunction,0,5,0,0,1,29,5,0,1,-1,2,0
CollectFunction,2,4,0,0,2,66,7,0,1,0,5,1
ConcatFunction,1,5,2,0,0,35,5,0,1,1,1,0
CountFunction,0,2,0,0,0,11,2,0,1,-1,1,0
MaxFunction,0,2,0,0,0,12,2,0,1,-1,1,0
MinFunction,0,2,0,0,0,12,2,0,1,-1,1,0
MinMaxFunctionBase,0,5,2,0,0,49,8,2,1,-1,3,0
SimpleFunctionBase,1,13,3,0,3,161,31,7,1,0,5,2
SumFunction,0,1,0,0,0,7,1,0,2,-1,1,0
ExpressionParser,3,10,0,0,5,103,21,0,0,0.4000000059604645,4,6
AssemblyMappingDescriptionProvider,0,1,0,0,1,10,2,0,1,-1,0,1
AssemblyResourceMappingDescriptorProvider,0,1,0,0,1,33,2,0,1,-1,0,1
Errors,2,0,0,2,0,5,0,0,0,-1,0,2
ProjectionBuilder,0,5,0,0,1,64,16,0,0,-1,4,3
SingleTypeMappingDescriptorProvider,5,11,1,0,1,173,34,1,1,0.1800000071525574,13,2
XmlMappingDescriptionProvider,4,15,1,0,1,204,37,1,1,0.2700000107288361,8,2
