Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AlgorithmManager,9,9,5,1,3,974,106,0,0,0,50,2
LeanEngineAlgorithmHandlers,9,3,9,0,3,195,12,0,0,1,11,3
LeanEngineSystemHandlers,3,4,3,0,4,90,7,0,0,1,5,3
StateCheck,0,0,0,0,0,70,0,0,0,-1,0,0
Ping,6,3,0,0,3,66,5,0,0,0,7,1
Engine,3,5,2,0,2,434,25,0,0,0,36,2
ApiDataProvider,4,2,0,0,2,62,5,0,1,0,5,0
SingleEntryDataCacheProvider,2,4,0,0,4,61,6,0,1,0.5,3,7
DefaultDataProvider,0,2,0,0,2,26,3,0,1,-1,1,6
ISubscriptionDataSourceReader,0,1,0,0,0,15,1,3,0,-1,1,3
ITimeProvider,0,1,0,0,0,8,1,2,0,-1,0,12
CollectionSubscriptionDataSourceReader,5,4,0,0,2,112,9,0,1,0,9,1
ManualTimeProvider,2,7,0,0,7,75,7,0,1,0,1,7
RealTimeProvider,0,1,0,0,1,11,1,0,1,-1,0,2
DataFeedPacket,1,3,4,0,3,71,3,0,0,0,3,4
SubscriptionCollection,1,10,0,0,9,160,18,0,0,0,3,2
TextSubscriptionDataSourceReader,5,8,0,0,2,176,15,0,1,0,10,2
CreateStreamReaderErrorEventArgs,0,1,2,0,1,29,1,0,0,-1,1,1
BaseDataExchange,7,12,2,0,11,374,23,0,0,0,5,2
DataHandler,1,2,0,1,2,31,3,0,0,1,2,1
EnumeratorHandler,6,9,0,3,8,111,10,0,0,0.3300000131130219,2,2
LiveTradingDataFeed,18,16,2,0,6,738,43,2,1,0,63,0
SubscriptionLimiter,8,8,0,0,4,147,11,0,0,0,3,1
SubscriptionSynchronizer,1,3,0,0,2,152,4,0,0,0,15,1
Subscription,4,5,9,3,5,165,6,0,0,0,5,11
InvalidSourceEventArgs,0,1,2,0,1,29,1,0,0,-1,1,1
SubscriptionDataSourceReader,0,1,0,0,1,29,2,0,0,-1,7,5
ReaderErrorEventArgs,0,1,2,0,1,29,1,0,0,-1,0,1
SubscriptionDataReader,25,14,2,0,4,678,50,0,0,0.1400000005960464,32,1
TimeSlice,0,9,9,0,2,515,48,0,0,-1,40,6
UniverseSelection,6,3,0,0,2,217,26,0,0,0,24,3
UpdateData<T>,3,1,0,3,1,30,1,0,0,0,0,0
ZipDataCacheProvider,5,6,0,0,4,182,15,0,1,0.3300000131130219,3,1
