Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BehaviorObscurable,0,2,3,0,1,78,9,0,1,-1,0,1
BehaviorUnveiler,0,4,3,0,3,86,10,0,1,-1,0,0
BehaviorFingerScroll,0,3,0,0,2,15,3,0,1,-1,0,0
Behavior,0,5,0,0,2,42,10,6,1,-1,2,3
BehaviorDraggable,0,4,4,0,1,136,14,0,2,-1,5,3
BehaviorDroppable,0,2,1,0,1,58,4,0,2,-1,1,1
DroppedEventArgs,1,1,1,0,0,18,1,0,0,0,1,0
BehaviorUpdater,0,6,5,0,5,134,15,0,2,-1,0,0
EffectCssClass,1,6,0,0,2,33,8,0,1,0.6700000166893005,1,0
EffectFocusAndSelect,1,4,0,0,1,42,5,0,1,0.75,1,1
EffectHighlightText,0,5,0,0,2,65,5,0,1,-1,0,0
EffectTimeout,0,5,0,0,1,24,5,0,1,-1,0,0
EffectMove,2,8,2,0,4,100,17,0,1,0.3799999952316284,2,0
EffectSize,2,8,2,0,4,107,15,0,1,0.3799999952316284,2,0
EffectRollUp,0,6,0,0,2,49,7,0,1,-1,2,3
EffectRollDown,0,6,0,0,2,52,7,0,1,-1,2,2
EffectFadeOut,0,6,0,0,2,46,7,0,1,-1,2,1
Effect,5,13,5,0,3,204,23,13,0,0.2300000041723251,2,6
Transition,0,0,0,0,0,16,0,0,0,-1,0,1
EffectFadeIn,0,7,0,0,3,52,9,0,1,-1,3,2
EffectHighlight,0,5,0,0,2,65,5,0,1,-1,0,1
EffectBorder,1,8,1,0,4,76,9,0,1,0.75,2,0
IDisableableBehavior,0,0,1,0,0,7,0,1,0,-1,0,0
ListItem,5,4,5,0,4,91,5,0,0,1,1,3
ListItemCollection,3,18,5,0,17,165,23,0,0,0.1700000017881393,2,2
StyleCollection,3,13,1,0,3,440,37,0,0,0.1500000059604645,3,9
StyleValue,4,1,4,0,1,36,1,0,0,0,0,1
Styles,0,0,0,0,0,147,0,0,0,-1,0,7
Button,0,4,3,0,1,115,11,0,1,-1,3,1
CheckBox,0,8,4,0,1,217,22,0,1,-1,3,0
LinkButton,0,4,2,0,1,103,10,0,1,-1,3,8
Panel,0,2,2,0,0,45,4,17,1,-1,3,19
HiddenField,0,4,1,0,0,63,8,0,1,-1,3,0
Image,0,2,2,0,0,52,3,0,1,-1,3,0
RadioButton,0,8,5,0,1,239,22,0,1,-1,3,0
SelectList,2,10,6,0,2,256,23,0,1,0.6000000238418579,5,3
ImageButton,0,4,4,0,1,132,11,0,1,-1,3,0
Dynamic,2,9,0,0,5,106,15,0,2,0,2,0
ReloadEventArgs,3,1,3,0,0,25,1,0,0,0,0,1
TextArea,1,8,5,0,2,237,26,0,1,0.75,4,1
Label,0,2,2,0,0,46,2,3,1,-1,3,11
RaControl,5,35,4,0,4,590,74,6,0,0.2000000029802322,4,7
RaWebControl,1,12,7,0,4,352,44,14,1,0.8299999833106995,4,27
TextBox,1,8,5,0,2,264,29,0,2,0.75,5,4
TextBoxMode,0,0,0,0,0,11,0,0,0,-1,0,1
CallbackFilter,2,7,5,0,7,53,7,0,0,0.7099999785423279,1,0
PostbackFilter,2,7,5,0,7,53,7,0,0,0.7099999785423279,1,0
WebMethod,0,0,0,0,0,4,0,0,0,-1,0,1
IRaControl,0,1,0,0,0,7,1,7,0,-1,0,1
AjaxManager,10,26,6,0,5,536,68,0,0,0.1899999976158142,3,16
