Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IAlarmProvider,0,0,0,0,0,3,0,1,1,-1,0,4
IAPMCheckOutRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IAPMProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IAPMRefundRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,3
ICardDeleteRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
ICardPaymentRecordProvider,0,1,0,0,0,9,1,1,1,-1,1,4
ICardChargeRecordProvider,0,0,0,0,0,4,0,1,1,-1,0,4
ICardDeferRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,3
ICardDisableEnableRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,2
ICardEventProvider,0,1,0,0,0,4,1,1,1,-1,0,5
ICardLostRestoreRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,3
ICardProvider,0,1,0,0,0,4,1,1,1,-1,0,7
ICardRecycleRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,3
ICardReleaseRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,3
IDeptProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IEntranceProvider,0,2,0,0,0,14,2,1,1,-1,1,2
IETCPaymentRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IFreeAuthorizationLogProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IOperatorLogProvider,0,0,0,0,0,3,0,1,1,-1,0,2
IOperatorProvider,0,1,0,0,0,4,1,1,1,-1,0,2
IParkCarPortProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IParkProvider,0,2,0,0,0,14,2,1,1,-1,1,2
IAPMLogProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IPREBusinessesProvider,0,1,0,0,0,4,1,1,1,-1,0,1
IPREOperatorProvider,0,1,0,0,0,4,1,1,1,-1,0,1
IPREPreferentialLogProvider,0,0,0,0,0,3,0,1,1,-1,0,3
IPREPreferentialProvider,0,0,0,0,0,3,0,1,1,-1,0,3
IPRERoleProvider,0,1,0,0,0,4,1,1,1,-1,0,1
IRoadWayProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IRoleProvider,0,1,0,0,0,4,1,1,1,-1,0,2
IServerDatetimeProvider,0,1,0,0,0,4,1,1,0,-1,0,1
IServerSwitchRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
ISnapShotProvider,0,1,0,0,0,4,1,1,1,-1,0,2
ISpeedingLogProvider,0,0,0,0,0,3,0,1,1,-1,0,2
ISpeedingRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
ISysParameterProvider,0,0,0,0,0,3,0,1,1,-1,0,2
ITransactionsWork,0,0,0,0,0,3,0,1,0,-1,0,0
IUnitWork,0,1,0,0,0,7,1,2,0,-1,0,12
IVideoSourceProvider,0,2,0,0,0,14,2,1,1,-1,1,2
IWaitingCommandProvider,0,0,0,0,0,3,0,1,1,-1,0,2
IWorkstationProvider,0,1,0,0,0,4,1,1,1,-1,0,2
IProvider,0,9,0,0,0,60,9,45,0,-1,2,0
IYangChenTongLogProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IYCTBlacklistProvider,0,0,0,0,0,3,0,1,1,-1,0,1
IYCTPaymentRecordProvider,0,0,0,0,0,3,0,1,1,-1,0,1
ProviderFactory,0,1,0,0,1,34,6,0,0,-1,0,41
APMCheckOutRecordProvider,0,4,0,0,2,41,7,0,2,-1,5,0
APMProvider,0,4,0,0,2,26,4,0,2,-1,3,0
APMRefundRecordProvider,0,3,0,0,2,48,17,0,2,-1,7,0
CardDeleteRecordProvider,0,2,0,0,1,35,11,0,2,-1,6,0
DeptProvider,0,4,0,0,2,24,4,0,2,-1,2,0
ETCPaymentRecordProvider,0,4,0,0,2,40,9,0,2,-1,5,0
FreeAuthorizationLogProvider,0,4,0,0,2,44,8,0,2,-1,6,0
ParkCarPortProvider,0,3,0,0,1,27,5,0,2,-1,4,0
ParkDataContextFactory,1,1,0,0,1,15,2,0,0,0,1,8
ParkDataContext,0,2,31,0,2,261,2,0,0,-1,0,45
AlarmProvider,0,3,0,0,2,50,12,0,2,-1,7,0
CardChargeRecordProvider,0,3,0,0,2,42,14,0,2,-1,6,0
CardDeferRecordProvider,0,3,0,0,2,42,15,0,2,-1,7,0
CardDisableEnableRecordProvider,0,4,0,0,2,56,14,0,2,-1,6,0
CardEventProvider,0,5,0,0,3,88,27,0,2,-1,10,0
CardLostRestoreRecordProvider,0,4,0,0,2,74,17,0,2,-1,6,0
CardPaymentRecordProvider,0,5,0,0,3,101,33,0,2,-1,10,0
CardProvider,0,5,0,0,3,157,27,0,2,-1,11,0
CardRecycleRecordProvider,0,3,0,0,2,43,15,0,2,-1,6,0
CardReleaseRecordProvider,0,3,0,0,2,44,15,0,2,-1,6,0
EntranceProvider,0,7,0,0,4,106,12,0,2,-1,9,0
OperatorLogProvider,0,6,0,0,2,66,12,0,2,-1,7,0
OperatorProvider,0,7,0,0,3,103,15,0,2,-1,7,0
ParkProvider,0,7,0,0,4,112,10,0,2,-1,8,0
APMLogProvider,0,4,0,0,2,53,10,0,2,-1,5,0
PREBusinessesProvider,0,6,0,0,3,70,8,0,2,-1,7,0
PREOperatorProvider,0,7,0,0,3,95,13,0,2,-1,7,0
PREPreferentialLogProvider,0,7,0,0,3,109,17,0,2,-1,9,0
PREPreferentialProvider,0,7,0,0,3,86,11,0,2,-1,8,0
PRERoleProvider,0,5,0,0,3,50,5,0,2,-1,5,0
"ProviderBase<TInfo,TID>",1,17,1,0,11,349,32,0,1,0.7099999785423279,9,0
ResultCodeResolver,0,1,0,0,1,23,2,0,0,-1,1,14
RoadWayProvider,0,3,0,0,2,21,3,0,2,-1,2,0
RoleProvider,0,5,0,0,3,49,5,0,2,-1,5,0
ServerDateTimeProvider,1,2,0,0,2,58,3,0,1,0,3,0
ServerSwitchRecordProvider,0,4,0,0,2,44,8,0,2,-1,5,0
SnapShotProvider,0,4,0,0,3,60,8,0,2,-1,5,0
SpeedingLogProvider,0,6,0,0,2,60,10,0,2,-1,5,0
SpeedingRecordProvider,0,4,0,0,2,40,7,0,2,-1,5,0
SysparameterProvider,0,4,0,0,2,25,4,0,2,-1,2,0
TransactionsWork,2,2,2,0,2,83,3,0,1,1,4,0
VideoSourceProvider,0,5,0,0,4,71,6,0,2,-1,6,0
WaitingCommandProvider,0,6,0,0,2,58,11,0,2,-1,5,0
WorkstationProvider,0,7,0,0,3,74,10,0,2,-1,7,0
UnitWork,1,2,1,0,2,40,3,0,1,1,5,2
YangChenTongLogProvider,0,4,0,0,2,37,6,0,2,-1,5,0
YCTBlacklistProvider,0,4,0,0,2,33,8,0,2,-1,4,0
YCTPaymentRecordProvider,0,4,0,0,2,40,14,0,2,-1,5,0
AlarmBll,1,3,0,0,3,30,3,0,0,0,5,11
APMBll,1,7,0,0,7,102,11,0,0,0,6,12
APMChectOutRecordBll,1,4,0,0,4,31,4,0,0,0,5,1
APMRefundRecordBll,1,4,0,0,4,34,4,0,0,0,5,2
CardBll,2,59,0,0,57,1791,149,0,0,0.05000000074505806,45,58
