Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
JSConstructor,0,0,0,0,0,3,0,0,0,-1,0,1
JSFunction,0,0,1,0,0,4,0,0,0,-1,0,1
JSGetter,0,0,1,0,0,4,0,0,0,-1,0,1
JSSetter,0,0,1,0,0,4,0,0,0,-1,0,1
JSStaticFunction,0,0,1,0,0,4,0,0,0,-1,0,1
CanBeNullAttribute,0,0,0,0,0,5,0,0,0,-1,0,0
NotNullAttribute,0,0,0,0,0,5,0,0,0,-1,0,8
StringFormatMethodAttribute,0,1,1,0,1,14,1,0,0,-1,0,0
InvokerParameterNameAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
NotifyPropertyChangedInvocatorAttribute,0,2,1,0,2,10,2,0,0,-1,0,0
ContractAnnotationAttribute,0,2,2,0,2,13,2,0,0,-1,1,0
LocalizationRequiredAttribute,0,2,1,0,2,10,2,0,0,-1,0,0
CannotApplyEqualityOperatorAttribute,0,0,0,0,0,4,0,0,0,-1,0,0
BaseTypeRequiredAttribute,0,1,1,0,1,10,1,0,0,-1,1,0
UsedImplicitlyAttribute,0,4,2,0,4,18,4,0,0,-1,2,0
MeansImplicitUseAttribute,0,4,2,0,4,18,4,0,0,-1,2,0
ImplicitUseKindFlags,0,0,0,0,0,16,0,0,0,-1,0,2
ImplicitUseTargetFlags,0,0,0,0,0,10,0,0,0,-1,0,2
PublicAPIAttribute,0,2,1,0,2,10,2,0,0,-1,1,0
InstantHandleAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
PureAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
PathReferenceAttribute,0,2,1,0,2,10,2,3,0,-1,0,0
AspMvcAreaMasterLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcAreaPartialViewLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcAreaViewLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcMasterLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcPartialViewLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcViewLocationFormatAttribute,0,1,0,0,1,5,1,0,0,-1,0,0
AspMvcActionAttribute,0,2,1,0,2,10,2,0,0,-1,1,0
AspMvcAreaAttribute,0,2,1,0,2,10,2,0,1,-1,1,0
AspMvcControllerAttribute,0,2,1,0,2,10,2,0,0,-1,1,0
AspMvcMasterAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcModelTypeAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcPartialViewAttribute,0,0,0,0,0,2,0,0,1,-1,0,0
AspMvcSupressViewErrorAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcDisplayTemplateAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcEditorTemplateAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcTemplateAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
AspMvcViewAttribute,0,0,0,0,0,2,0,0,1,-1,0,0
AspMvcActionSelectorAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
HtmlElementAttributesAttribute,0,2,1,0,2,12,2,0,0,-1,1,0
HtmlAttributeValueAttribute,0,1,1,0,1,11,1,0,0,-1,1,0
RazorSectionAttribute,0,0,0,0,0,2,0,0,0,-1,0,0
Arguments,12,20,0,0,6,454,60,0,1,0.1500000059604645,13,1
BaseFunction,16,29,3,0,10,742,61,11,1,0.3100000023841858,24,10
BoundFunction,4,5,1,0,4,67,8,0,2,0,7,1
Callable,0,1,0,0,0,11,1,4,0,-1,2,21
