Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
InvokeTmxIfConditionCommand,0,1,3,0,0,19,1,0,1,-1,0,0
ExportTmxTestSettingsCommand,0,1,0,0,0,9,1,0,1,-1,1,0
ImportTmxTestSettingsCommand,0,1,0,0,0,26,1,0,1,-1,1,0
CloseTmxTestDBCommand,0,1,1,0,0,21,1,0,1,-1,1,0
NewTmxTestDBCommand,0,1,0,0,0,19,2,0,1,-1,0,0
OpenTmxTestDBCommand,0,1,0,0,0,19,2,0,1,-1,0,0
GetTestResultsFromCollectionsCommand,0,1,0,0,0,37,5,0,1,-1,4,0
GetTestResultsFromSearchCommand,0,1,0,0,0,68,1,0,1,-1,4,0
GetTestResultsViaDataSetCommand,0,1,0,0,0,71,1,0,1,-1,3,0
StartTmxLoggingCommand,0,0,0,0,0,3,0,0,0,-1,0,0
AddTmxTestBucketCommand,0,1,0,0,0,12,1,0,1,-1,0,0
AddTmxTestConstantCommand,0,0,0,0,0,5,0,0,1,-1,0,0
GetTmxTestBucketCommand,0,1,0,0,1,11,1,0,1,-1,1,0
GetTmxTestConstantValueCommand,0,0,0,0,0,5,0,0,1,-1,0,0
RemoveTmxTestBucketCommand,0,0,0,0,0,5,0,0,1,-1,0,0
RemoveTmxTestConstantCommand,0,0,0,0,0,5,0,0,1,-1,0,0
SetTmxTestBucketCommand,0,1,0,0,1,11,1,0,1,-1,1,0
SetTmxTestConstantValueCommand,0,0,0,0,0,5,0,0,1,-1,0,0
GetTmxTestResultDetailsCommand,0,1,0,0,0,9,1,0,1,-1,1,1
GetTmxTestResultStatusCommand,0,1,0,0,0,9,1,0,1,-1,1,1
GetTmxTestScenarioStatusCommand,0,1,1,0,0,14,1,0,1,-1,1,1
GetTmxTestStatisticsCommand,0,1,0,0,0,30,1,0,1,-1,3,0
GetTmxTestSuiteStatusCommand,0,1,1,0,0,14,1,0,1,-1,1,1
UpdateTmxTestStatisticsCommand,0,1,0,0,0,22,3,0,1,-1,2,0
AddTmxTestTaskResultCommand,0,1,2,0,0,26,1,0,1,-1,1,1
ReceiveTmxTestReportCommand,0,1,0,0,0,9,1,0,1,-1,1,1
SetTmxServerSettingsCommand,0,1,1,0,0,12,1,0,1,-1,1,1
GetTmxCommonDataItemCommand,0,1,1,0,0,14,1,0,1,-1,1,1
InvokeTmxTestTaskCommand,0,1,1,0,0,14,1,0,1,-1,1,1
NewTmxTestRunCommand,0,1,3,0,0,25,1,0,1,-1,1,1
ReceiveTmxTestResultsCommand,0,1,0,0,0,9,1,0,1,-1,1,1
ReceiveTmxTestTaskCommand,0,3,2,0,1,27,3,0,1,-1,3,1
RegisterTmxSystemUnderTestCommand,0,3,4,0,1,33,3,0,1,-1,3,1
SendTmxCommonDataItemCommand,0,1,2,0,0,19,1,0,1,-1,1,1
SendTmxDetailedStatusCommand,0,1,1,0,0,13,1,0,1,-1,1,1
SendTmxFileSystemItemCommand,0,1,4,0,0,23,1,0,1,-1,1,1
SendTmxTestTaskResultCommand,0,1,1,0,0,15,1,0,1,-1,1,1
UnregisterTmxSystemUnderTestCommand,0,1,0,0,0,9,1,0,1,-1,1,1
InvokeTmxTestCaseCommand,0,1,0,0,0,12,1,1,1,-1,1,0
InvokeTmxTestScenarioCommand,0,1,0,0,0,12,1,1,1,-1,1,0
InvokeTmxTestSuiteCommand,0,1,0,0,0,15,1,1,1,-1,1,0
SetTmxTestCaseParametersCommand,0,1,0,0,1,8,1,0,2,-1,0,0
SetTmxTestScenarioParametersCommand,0,1,0,0,1,8,1,0,2,-1,0,0
SetTmxTestSuiteParametersCommand,0,1,0,0,1,8,1,0,2,-1,0,0
BackupTmxTestResultsCommand,0,1,0,0,0,20,1,0,1,-1,0,0
ExportTmxTestLogCommand,0,1,0,0,0,34,2,0,1,-1,0,0
ExportTmxTestResultsCommand,0,1,0,0,0,64,2,0,1,-1,4,0
ExportTmxTestSummaryCommand,0,1,0,0,0,36,2,0,1,-1,0,0
ImportTmxTestResultsCommand,0,5,0,0,0,95,6,0,1,-1,4,0
InitializeTmxResultsStorageCommand,0,1,5,0,0,47,2,0,1,-1,2,0
RestoreTmxTestResultsCommand,0,0,0,0,0,5,0,0,1,-1,0,0
SaveTmxTestScreenshotCommand,0,0,0,0,0,5,0,0,1,-1,0,0
SearchTmxTestResultCommand,0,1,2,0,0,41,1,0,1,-1,2,0
SearchTmxTestScenarioCommand,0,1,1,0,0,38,1,0,1,-1,2,0
SearchTmxTestSuiteCommand,0,1,1,0,0,38,1,0,1,-1,2,0
AddTmxSimpleTestResultCommand,0,2,4,0,1,28,2,0,1,-1,2,1
AddTmxTestCaseCommand,0,1,0,0,0,10,1,0,1,-1,1,0
GetTmxTestCaseCommand,0,0,0,0,0,5,0,0,1,-1,0,0
NewTmxTestPlatformCommand,0,1,0,0,0,11,1,0,1,-1,1,0
OpenTmxTestPlatformCommand,0,1,0,0,0,13,1,0,1,-1,3,0
RemoveTmxTestCaseCommand,0,0,0,0,0,5,0,0,1,-1,0,0
SetTmxCurrentTestResultCommand,0,2,3,0,1,23,2,0,1,-1,2,2
SetTmxTestCaseCommand,0,0,0,0,0,5,0,0,1,-1,0,0
AddTmxTestResultDetailCommand,0,1,0,0,0,22,2,0,1,-1,2,0
AddTmxTestScenarioCommand,0,1,0,0,0,9,1,0,1,-1,1,1
CloseTmxTestResultCommand,0,2,2,0,1,37,2,0,1,-1,4,2
NewTmxTestSuiteCommand,0,1,0,0,0,11,1,0,1,-1,1,0
OpenTmxTestScenarioCommand,0,1,0,0,0,34,2,0,1,-1,5,0
OpenTmxTestSuiteCommand,0,1,0,0,0,11,1,0,1,-1,1,0
ReceiveTmxCommonDataItemsCollection,0,1,0,0,0,9,1,0,1,-1,1,1
GetTmxCurrentTestTaskCommand,0,1,0,0,0,9,1,0,1,-1,1,1
ImportExportHelper,0,2,0,0,2,179,6,0,0,-1,2,2
AssertionsCmdletBase,0,0,0,0,0,3,0,0,1,-1,0,0
ClientCmdletBase,0,0,3,0,0,13,0,14,1,-1,0,0
CommonCmdletBase,0,31,8,0,1,248,35,25,1,-1,4,39
ConditionsCmdletBase,0,0,0,0,0,3,0,1,2,-1,0,0
DatabaseCmdletBase,0,0,0,0,0,3,0,5,2,-1,0,0
DatabaseFileCmdletBase,0,0,1,0,0,8,0,2,3,-1,0,0
DatabaseFileOpenCmdletBase,0,0,3,0,0,13,0,2,4,-1,0,0
TestBucketCmdletBase,0,1,2,0,0,21,1,4,1,-1,1,0
TestCaseCmdletBase,0,1,1,0,1,13,1,4,3,-1,0,0
TestConstantCmdletBase,0,0,1,0,0,7,0,4,3,-1,0,0
TestResultsCmdletBase,0,0,1,0,0,7,0,0,2,-1,0,0
TestStructureCmdletBase,0,0,2,0,0,10,0,1,3,-1,0,0
ImportExportCmdletBase,85,19,4,0,1,990,46,4,1,0.6299999952316284,10,0
SearchCmdletBase,0,1,20,0,1,115,1,4,2,-1,0,2
ServerCmdletBase,0,0,3,0,0,31,0,1,2,-1,0,0
SettingsCmdletBase,0,1,2,0,0,25,2,2,2,-1,0,1
TestCaseExecCmdletBase,0,0,4,0,0,17,0,1,1,-1,0,2
TestExecCmdletBase,0,3,0,0,3,203,12,3,2,-1,8,0
TestScenarioExecCmdletBase,0,0,4,0,0,15,0,1,3,-1,0,2
TestSuiteExecCmdletBase,0,0,4,0,0,15,0,1,3,-1,0,2
TestResultStatusCmdletBase,0,0,5,0,0,19,0,2,1,-1,0,0
AddScenarioCmdletBase,0,1,4,0,1,27,1,1,1,-1,0,3
AddTestCaseCmdletBase,0,0,1,0,0,9,0,1,4,-1,0,1
NewPlatformCmdletBase,0,0,6,0,0,26,0,1,1,-1,0,1
NewSuiteCmdletBase,0,1,4,0,1,35,1,1,2,-1,0,2
OpenScenarioCmdletBase,0,0,1,0,0,7,0,2,1,-1,0,0
OpenSuiteCmdletBase,0,0,1,0,0,7,0,2,2,-1,0,2
OpenTestCaseCmdletBase,0,0,0,0,0,3,0,0,1,-1,0,0
PlatformCmdletBase,0,0,0,0,0,3,0,2,2,-1,0,0
ScenarioCmdletBase,0,1,3,0,1,20,1,2,2,-1,0,0
SuiteCmdletBase,0,0,0,0,0,3,0,0,2,-1,0,0
TestResultCmdletBase,0,2,7,0,2,59,4,7,2,-1,1,0
TestResultDetailCmdletBase,0,1,6,0,1,30,2,1,2,-1,1,0
TmxNewLoggerCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxStartLoggingCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxGetTestResultDetailsCommand,0,2,0,0,0,21,2,0,1,-1,4,1
TmxGetTestResultStatusCommand,0,2,0,0,0,25,2,0,1,-1,4,1
TmxGetTestScenarioStatusCommand,0,2,0,0,0,45,3,0,1,-1,4,1
TmxGetTestSuiteStatusCommand,0,2,0,0,0,80,4,0,1,-1,5,1
AddTestTaskResultCommand,0,2,0,0,0,22,2,0,1,-1,4,1
ReceiveCommonDataItemsCollectionCommand,0,2,0,0,0,21,2,0,1,-1,4,1
ReceiveTestResportCommand,0,2,0,0,0,16,2,0,1,-1,4,1
SetServerSettingsCommand,0,2,0,0,0,13,2,0,1,-1,3,1
GetCurrentTestTaskCommand,0,2,0,0,0,17,2,0,1,-1,3,1
GetCommonDataItemCommand,0,2,0,0,0,25,2,0,1,-1,4,1
InvokeTestTaskCommand,0,6,0,0,0,75,8,0,1,-1,12,1
NewTestRunCommand,0,2,0,0,0,18,2,0,1,-1,4,1
ReceiveTestResultsCommand,0,2,0,0,0,16,2,0,1,-1,4,1
ReceiveTestTaskCommand,0,2,0,0,0,71,6,0,1,-1,9,1
RegisterSystemUnderTestCommand,0,2,0,0,0,43,6,0,1,-1,6,2
SendCommonDataItemCommand,0,2,0,0,0,21,2,0,1,-1,5,1
SendDetailedStatusCommand,0,2,0,0,0,27,2,0,1,-1,4,1
SendFileSystemItemCommand,0,2,0,0,0,16,2,0,1,-1,4,1
SendTestTaskResultCommand,0,2,0,0,0,24,3,0,1,-1,6,1
UnregisterSystemUnderTestCommand,0,2,0,0,0,16,2,0,1,-1,4,1
TmxInvokeTestCaseCommand,0,2,0,0,0,44,4,0,1,-1,7,1
TmxInvokeTestScenarioCommand,0,2,0,0,0,43,4,0,1,-1,6,1
TmxInvokeTestSuiteCommand,0,2,0,0,0,39,4,0,1,-1,5,1
TmxAddSimpleTestResultCommand,0,2,0,0,0,145,10,0,1,-1,7,1
TmxAddTestCaseCommand,0,2,0,0,0,36,3,0,1,-1,5,1
TmxAddTestResultDetailCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxAddTestScenarioCommand,0,2,0,0,0,79,5,0,1,-1,7,2
TmxCloseTestResultCommand,0,2,0,0,0,47,6,0,1,-1,3,2
TmxGetTestCaseCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxNewTestPlatformCommand,0,2,0,0,0,31,3,0,1,-1,4,1
TmxNewTestSuiteCommand,0,2,0,0,0,46,7,0,1,-1,5,2
TmxOpenTestScenarioCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxOpenTestSuiteCommand,0,2,0,0,0,27,3,0,1,-1,5,2
TmxRemoveTestCaseCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxSetCurrentTestResultCommand,0,2,0,0,0,121,6,0,1,-1,8,2
TmxSetTestCaseCommand,0,2,0,0,0,10,2,0,1,-1,1,0
TmxCommand,0,2,1,0,0,10,2,38,0,-1,1,0
TmxFactory,2,3,2,0,2,57,4,0,0,0,0,0
TmxModule,0,1,0,0,1,6,1,0,0,-1,0,0
TestExecHelper,0,1,0,0,0,28,1,0,0,-1,0,0
Database,0,0,7,0,0,23,0,0,1,-1,0,0
TestBucket,0,3,4,0,3,31,3,0,1,-1,0,0
TestConstant,0,2,7,0,2,34,2,0,1,-1,0,0
SQLiteHelper,0,17,0,0,14,1287,34,0,0,-1,4,3
TmxProvider,2,10,0,0,0,373,18,0,0,0.5,1,0
TmxDriveInfo,1,2,1,0,2,51,2,0,0,1,0,1
SQLiteData,0,1,1,0,0,9,1,0,0,-1,0,1
AddTLBuildCommand,0,1,3,0,0,23,1,0,1,-1,2,1
AddTLTestCaseCommand,0,1,11,0,0,60,1,0,1,-1,1,1
AddTLTestSubSuiteCommand,0,0,0,0,0,11,0,0,1,-1,0,0
AddTLTestSuiteCommand,0,1,0,0,0,9,1,0,1,-1,1,1
ConnectTLServerCommand,0,1,0,0,0,10,1,0,1,-1,1,0
GetTLBuildCommand,0,1,0,0,0,11,1,0,1,-1,2,1
GetTLProjectCommand,0,1,0,0,0,11,1,0,1,-1,1,1
GetTLTestCaseCommand,0,1,0,0,0,9,1,0,1,-1,1,1
GetTLTestPlanCommand,0,1,0,0,0,9,1,0,1,-1,1,2
GetTLTestSuiteCommand,0,1,0,0,0,9,1,0,1,-1,1,0
NewTLTestPlanCommand,0,2,0,0,1,14,2,0,1,-1,1,1
NewTLUserCommand,0,1,0,0,0,9,1,0,1,-1,1,1
TLAddTestPlanCmdletBase,0,1,3,0,1,36,1,1,1,-1,0,0
TLBuildCmdletBase,0,1,3,0,1,25,1,2,1,-1,0,1
TLCollectionCmdletBase,0,1,0,0,1,6,1,0,1,-1,0,0
TLGetTestPlanCmdletBase,0,1,2,0,1,22,1,1,1,-1,0,2
TLProjectCmdletBase,0,1,2,0,1,17,1,1,1,-1,0,3
TLSCmdletBase,0,1,0,0,1,9,1,9,2,-1,0,13
TLSConnectCmdletBase,0,1,5,0,1,29,1,1,3,-1,0,2
TLTestCaseCmdletBase,0,1,7,0,1,44,1,2,3,-1,0,0
TLTestPlanCmdletBase,0,1,6,0,1,28,1,2,3,-1,0,0
TLTestSubSuiteCmdletBase,0,1,0,0,1,6,1,1,3,-1,0,0
TLTestSuiteCmdletBase,0,1,5,0,1,32,1,2,3,-1,0,2
TLUserCmdletBase,0,1,9,0,0,37,1,1,3,-1,0,0
TLSrvAddBuildCommand,0,2,0,0,1,15,2,0,1,-1,3,1
TLSrvGetBuildCommand,0,2,0,0,0,29,3,0,1,-1,4,1
TLSrvConnectCommand,0,2,0,0,0,12,2,0,1,-1,2,1
TLSrvAddTestCaseCommand,0,2,0,0,0,27,3,0,1,-1,6,1
TLSrvGetTestCaseCommand,0,2,0,0,0,55,9,0,1,-1,7,1
TLSrvGetTestPlanCommand,0,2,0,0,0,64,6,0,1,-1,6,3
TLSrvNewTestPlanCommand,0,2,0,0,0,15,2,0,1,-1,3,1
TLSrvGetProjectCommand,0,2,0,0,0,33,4,0,1,-1,3,4
TLSrvAddTestSuiteCommand,0,2,0,0,0,13,2,0,1,-1,3,1
TLSrvGetTestSuiteCommand,0,2,0,0,0,60,9,0,1,-1,7,1
TLSrvCommand,0,2,1,0,0,10,2,11,0,-1,1,0
TLSrvNewUserCommand,0,2,0,0,0,23,2,0,1,-1,3,1
TestLinkFactory,0,0,0,0,0,4,0,0,0,-1,0,0
TLHelper,0,24,0,0,19,897,77,0,0,-1,12,14
WrappedTestLink,0,1,0,0,1,6,1,0,1,-1,0,0
TLAddinData,0,0,4,0,0,11,0,0,0,-1,0,12
ConnectRMServerCommand,0,1,0,0,0,10,1,0,1,-1,1,0
RMCmdletBase,0,0,0,0,0,3,0,1,2,-1,0,2
RMConnectCmdletBase,0,1,5,0,1,29,1,1,3,-1,0,1
RMConnectServerCommand,0,2,0,0,0,12,2,0,1,-1,2,1
RMSrvCommand,0,2,1,0,1,10,2,1,0,-1,1,0
RMHelper,0,2,0,0,1,28,2,0,0,-1,1,1
InvokeSeWebElementClickCommand,0,1,6,0,0,47,1,0,1,-1,1,0
InvokeSeWebElementDragAndDropCommand,0,2,1,0,1,23,2,0,1,-1,1,0
MoveSeCursorToWebElementCommand,0,2,2,0,1,23,2,0,1,-1,1,0
InvokeSeAlertAcceptCommand,0,2,0,0,1,15,2,0,1,-1,1,0
InvokeSeAlertDismissCommand,0,2,0,0,1,15,2,0,1,-1,1,0
ReadSeAlertTextCommand,0,2,0,0,1,15,2,0,1,-1,1,0
SetSeAlertKeysCommand,0,2,1,0,1,21,2,0,1,-1,1,0
ScreenshotCmdletBase,0,2,8,0,1,77,2,2,1,-1,1,0
SaveSeScreenshotCommand,0,1,0,0,1,10,1,0,2,-1,0,1
GetSeScreenshotCommand,0,1,2,0,1,18,1,0,2,-1,0,0
ConvertToSeAutomationElementCommand,0,2,0,0,1,18,2,0,1,-1,1,0
AddSeChromeExtensionCommand,0,2,1,0,1,24,2,0,1,-1,1,2
CloseSeWebDriverCurrentBrowserWindowCommand,0,2,0,0,1,18,2,0,1,-1,1,1
AddSeFirefoxExtensionCommand,0,2,1,0,1,24,2,0,1,-1,1,2
NewSeFirefoxProfileCommand,0,2,2,0,1,25,2,0,1,-1,1,2
GetSeWebDriverCookiesCommand,0,2,0,0,1,18,2,0,1,-1,1,0
GetSeWebDriverWindowCommand,0,2,0,0,1,18,2,0,1,-1,1,1
AddSeChromeArgumentCommand,0,2,1,0,1,24,2,0,1,-1,1,2
NewSeChromeOptionsCommand,0,2,0,0,1,17,2,0,1,-1,1,1
SetSeChromeBinaryCommand,0,2,1,0,1,24,2,0,1,-1,1,2
NewSeInternetExplorerOptionsCommand,0,2,0,0,1,17,2,0,1,-1,1,2
SetSeInternetExplorerOptionCommand,0,2,0,0,1,18,2,0,1,-1,1,0
ReadSeWebDriverNativeWindowHandleCommand,0,2,1,0,1,23,2,0,1,-1,1,1
ReadSeWebDriverPageSourceCommand,0,2,0,0,1,18,2,0,1,-1,1,1
ReadSeWebDriverTitleCommand,0,2,0,0,1,18,2,0,1,-1,1,1
ReadSeWebDriverUrlCommand,0,2,0,0,1,18,2,0,1,-1,1,2
SelectSeWebDriverCommand,0,2,0,0,1,25,3,0,1,-1,1,1
SetSeWebDriverTimeoutCommand,0,2,3,0,1,45,2,0,1,-1,1,1
StartSeWebDriverCommand,0,2,11,0,1,105,3,6,1,-1,3,2
StartSeFirefoxCommand,0,1,0,0,1,10,1,0,2,-1,2,0
StartSeDriverServerCommand,0,1,0,0,1,6,1,3,2,-1,0,1
StartSeChromeCommand,0,1,0,0,1,10,1,0,3,-1,2,6
StartSeInternetExplorer32Command,0,1,0,0,1,11,1,0,3,-1,3,1
StartSeInternetExplorer64Command,0,1,0,0,1,11,1,0,3,-1,3,0
StartSeSafariCommand,0,1,0,0,1,9,1,0,2,-1,2,0
StartSeOperaCommand,0,1,0,0,1,9,1,0,2,-1,1,0
StartSeAndroidCommand,0,1,0,0,1,9,1,0,2,-1,1,0
StartSeHtmlUnitCommand,0,1,0,0,1,9,1,0,2,-1,1,0
StopSeWebDriverCommand,0,3,2,0,1,94,11,3,1,-1,1,0
StopSeFirefoxCommand,0,1,0,0,1,5,1,0,2,-1,0,0
StopSeChromeCommand,0,1,0,0,1,5,1,0,2,-1,0,0
StopSeInternetExplorerCommand,0,1,0,0,1,5,1,0,2,-1,0,0
ClearSeWebElementCommand,0,2,0,0,1,18,2,0,1,-1,1,0
ConvertFromSeTableCommand,0,2,0,0,1,17,2,0,1,-1,1,0
GetSeElementByTypeCommand,0,2,4,0,1,33,2,123,1,-1,1,1
GetSeAnyCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeCommentCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeDocTypeCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeACommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeAbbrCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeAcronymCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeAddressCommand,0,1,0,0,1,7,1,0,2,-1,0,0
GetSeAppletCommand,0,1,0,0,1,7,1,0,2,-1,0,0
