Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Equalize,0,4,0,0,3,51,10,0,0,-1,0,3
MathTests,0,2,0,0,2,19,2,0,0,-1,2,0
SecondTests,0,2,0,0,2,19,2,0,0,-1,2,0
Divise,0,4,0,0,4,33,4,0,0,-1,2,0
Assert,0,21,0,0,21,276,31,0,0,-1,0,8
DescriptionAttribute,0,2,1,0,2,22,2,0,0,-1,0,0
TestClassAttribute,0,0,0,0,0,5,0,0,0,-1,0,0
TestAttribute,0,0,1,0,0,7,0,0,0,-1,0,0
AreNotSameException,0,2,0,0,2,23,2,0,0,-1,0,0
AreSameException,0,2,0,0,2,23,2,0,0,-1,0,0
EqualException,2,3,2,2,3,44,3,0,0,0.6700000166893005,0,0
FalseException,1,1,1,1,1,15,1,0,0,0,0,0
IsInstanceOfException,0,2,0,0,2,25,2,0,0,-1,0,0
IsNotInstanceOfException,0,2,0,0,2,26,2,0,0,-1,0,0
IsNotNullException,0,2,0,0,2,23,2,0,0,-1,0,0
IsNullException,0,2,0,0,2,23,2,0,0,-1,0,0
NotEqualException,2,3,2,2,3,43,3,0,0,0.6700000166893005,0,0
PrincipalException,0,4,1,0,3,36,4,0,0,-1,0,0
TrueException,1,1,1,1,1,15,1,0,0,0,0,0
ITest,0,6,0,0,0,15,6,1,0,-1,0,0
ISummary,0,4,0,0,0,9,4,1,0,-1,0,0
RunnerMain,0,1,0,0,0,11,1,0,0,-1,1,0
Test,0,11,7,0,11,242,16,0,1,-1,0,1
