Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BundleConfig,0,1,0,0,1,22,1,0,0,-1,0,1
FilterConfig,0,1,0,0,1,7,1,0,0,-1,0,1
ApplicationUserManager,0,2,0,0,2,33,3,0,0,-1,0,2
RouteConfig,0,1,0,0,1,13,1,0,0,-1,0,1
Startup,0,2,2,0,2,59,2,0,0,-1,2,1
WebApiConfig,0,1,0,0,1,19,1,0,0,-1,0,1
WebApiApplication,0,1,0,0,0,11,1,0,0,-1,4,0
ApiDescriptionExtensions,0,1,0,0,1,31,3,0,0,-1,0,0
HelpPageConfig,0,1,0,0,1,87,1,0,0,-1,0,1
HelpPageAreaRegistration,0,1,1,0,1,20,1,0,0,-1,1,0
HelpPageConfigurationExtensions,1,26,0,0,16,448,45,0,0,0.1500000059604645,8,0
HelpPageSampleGenerator,0,16,4,0,9,423,42,0,0,-1,4,1
HelpPageSampleKey,0,6,6,0,6,161,18,0,0,-1,1,1
ImageSample,0,4,1,0,4,33,5,0,0,-1,0,0
InvalidSample,0,4,1,0,4,29,5,0,0,-1,0,1
ObjectGenerator,2,15,0,0,1,442,56,0,0,0,1,1
SimpleTypeObjectGenerator,2,3,0,0,2,59,3,0,0,0.6700000166893005,0,1
SampleDirection,0,0,0,0,0,5,0,0,0,-1,0,3
TextSample,0,4,1,0,4,29,5,0,0,-1,0,1
XmlDocumentationProvider,6,12,0,0,7,146,22,0,1,0.25,0,0
HelpController,1,5,1,0,5,51,9,0,0,0.800000011920929,3,0
CollectionModelDescription,0,0,1,0,0,4,0,0,1,-1,0,2
ComplexTypeModelDescription,0,1,1,0,1,9,1,0,1,-1,0,3
DictionaryModelDescription,0,0,0,0,0,3,0,0,1,-1,0,1
EnumTypeModelDescription,0,1,1,0,1,9,1,0,1,-1,0,1
EnumValueDescription,0,0,3,0,0,8,0,0,0,-1,0,1
IModelDocumentationProvider,0,2,0,0,0,6,2,1,0,-1,0,1
KeyValuePairModelDescription,0,0,2,0,0,6,0,1,1,-1,0,1
ModelDescription,0,0,3,0,0,8,0,5,0,-1,0,4
ModelDescriptionGenerator,3,12,2,0,2,432,47,0,0,0.4199999868869781,11,2
ModelNameAttribute,0,1,1,0,1,10,1,0,0,-1,0,1
ModelNameHelper,0,1,0,0,1,28,3,0,0,-1,1,1
ParameterAnnotation,0,0,2,0,0,6,0,0,0,-1,0,0
ParameterDescription,0,1,4,0,1,15,1,0,0,-1,0,2
SimpleTypeModelDescription,0,0,0,0,0,3,0,0,1,-1,0,1
HelpPageApiModel,0,2,10,0,1,96,5,0,0,-1,3,2
AccountController,2,15,3,0,13,472,48,0,0,0.4699999988079071,16,0
ExternalLoginData,0,2,3,0,2,47,6,0,0,-1,0,1
RandomOAuthStateGenerator,1,1,0,0,1,20,2,0,0,0,0,1
FasController,0,8,0,0,6,135,11,0,0,-1,2,0
HomeController,0,1,0,0,1,9,1,0,0,-1,0,1
SecsController,0,7,0,0,5,131,10,0,0,-1,2,0
ValuesController,0,5,0,0,5,31,5,0,0,-1,0,1
Fa,0,0,7,0,0,18,0,0,0,-1,0,1
Sec,0,0,6,0,0,17,0,0,0,-1,0,1
UserViewModel,0,0,4,0,0,17,0,0,0,-1,0,0
addUserViewModel,1,2,3,0,2,41,2,0,0,1,0,0
corexttable,1,2,3,0,2,29,2,0,0,1,0,0
Configuration,0,2,0,0,1,51,3,0,0,-1,2,0
AddExternalLoginBindingModel,0,0,1,0,0,6,0,0,0,-1,0,1
ChangePasswordBindingModel,0,0,3,0,0,18,0,0,0,-1,0,1
RegisterBindingModel,0,0,3,0,0,17,0,0,0,-1,0,1
RegisterExternalBindingModel,0,0,1,0,0,6,0,0,0,-1,0,1
RemoveLoginBindingModel,0,0,2,0,0,10,0,0,0,-1,0,1
SetPasswordBindingModel,0,0,2,0,0,13,0,0,0,-1,0,1
ExternalLoginViewModel,0,0,3,0,0,8,0,0,0,-1,0,1
ManageInfoViewModel,0,0,4,0,0,10,0,0,0,-1,0,1
UserInfoViewModel,0,0,3,0,0,8,0,0,0,-1,0,1
UserLoginInfoViewModel,0,0,2,0,0,6,0,0,0,-1,0,0
ApplicationUser,0,1,0,0,1,10,1,0,0,-1,0,3
ApplicationDbContext,0,2,3,0,2,15,2,0,0,-1,0,4
ApplicationOAuthProvider,1,6,0,0,6,82,12,0,0,0.8299999833106995,1,1
ChallengeResult,0,2,2,0,2,20,2,0,0,-1,0,1
