Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
WeatherInput,0,1,12,0,1,20,1,0,0,-1,0,8
Command,5,4,0,0,4,46,4,0,0,0.5,4,3
RefreshType,0,0,0,0,0,6,0,0,0,-1,0,6
CommandExecutor,5,6,0,0,3,59,10,0,0,0.5,2,2
CommandQueue,4,5,0,0,4,56,6,0,0,0.6000000238418579,2,2
DataStore,3,11,5,0,6,278,13,0,0,0.1800000071525574,14,6
Node,1,1,5,0,1,20,1,0,0,0,1,4
IGetWetherInfo,0,2,0,0,0,5,2,3,0,-1,0,7
WeatherNullPtr,1,2,0,0,2,14,2,0,1,1,1,0
WeatherController,4,3,0,0,2,31,3,0,0,0,4,1
WeatherData,1,1,15,1,1,39,1,0,0,0,0,14
WeatherRequestWWO,5,4,0,0,3,69,7,0,1,0,10,0
WeatherRequestZOWA,5,4,0,0,3,56,6,0,1,0,9,0
Coord,0,0,2,0,0,5,0,0,0,-1,0,0
Weather,0,0,4,0,0,7,0,0,0,-1,0,1
Main,0,0,5,0,0,8,0,0,0,-1,0,1
Wind,0,0,2,0,0,5,0,0,0,-1,0,0
Clouds,0,0,1,0,0,4,0,0,0,-1,0,0
Sys,0,0,6,0,0,9,0,0,0,-1,0,0
RootObject,0,0,11,0,0,14,0,0,0,-1,0,2
Program,0,2,0,0,0,27,2,0,0,-1,1,0
OpenWeatherAPI,1,2,0,1,2,82,5,0,0,0,11,1
LocalWeatherInput,0,0,11,0,0,14,0,0,0,-1,0,4
LocalWeather,1,0,0,1,0,4,0,0,0,-1,1,5
Data,4,0,0,4,0,7,0,0,0,-1,0,3
ClimateAverages,1,0,0,1,0,4,0,0,0,-1,0,0
Month,0,0,14,0,0,18,0,0,0,-1,0,0
Current_Condition,0,0,26,0,0,29,0,0,0,-1,0,0
Request,0,0,2,0,0,5,0,0,0,-1,0,2
Weather,0,0,14,0,0,17,0,0,0,-1,0,2
Astronomy,0,0,4,0,0,7,0,0,0,-1,0,0
Hourly,0,0,28,0,0,31,0,0,0,-1,0,2
WeatherDesc,0,0,1,0,0,4,0,0,0,-1,0,2
WeatherIconUrl,0,0,1,0,0,4,0,0,0,-1,0,0
Resource1,2,1,6,0,0,77,1,0,0,0,0,2
WorldWeatherOnlineAPI,2,3,0,2,3,66,7,0,0,0,5,1
PastWeatherInput,0,0,7,0,0,10,0,0,0,-1,0,2
PastWeather,1,0,0,1,0,4,0,0,0,-1,1,4
Data,3,0,0,3,0,6,0,0,0,-1,0,2
Current_Condition,0,0,15,0,0,18,0,0,0,-1,0,0
Request,0,0,2,0,0,5,0,0,0,-1,0,1
Weather,0,0,6,0,0,9,0,0,0,-1,0,1
Hourly,0,0,20,0,0,23,0,0,0,-1,0,1
WeatherDesc,0,0,1,0,0,4,0,0,0,-1,0,1
WeatherIconUrl,0,0,1,0,0,4,0,0,0,-1,0,0
