Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IListExplorationManager,0,2,0,0,0,7,2,1,0,-1,0,0
ListExplorationManager,0,2,0,0,2,13,2,0,1,-1,0,1
LazyManagerLoader,0,1,0,0,1,8,1,0,0,-1,0,0
ITodoCRUDManager,0,4,0,0,0,10,4,1,0,-1,2,0
TodoCRUDManager,2,5,0,0,5,36,5,0,1,0,4,2
DataConstants,1,0,0,1,0,4,0,0,0,-1,0,2
SaveResult<T>,0,2,3,0,2,21,2,0,0,-1,0,0
DeleteResult,0,1,2,0,1,15,1,0,0,-1,0,4
TodoItem,0,0,4,0,0,11,0,0,0,-1,0,7
TodoList,0,0,3,0,0,8,0,0,0,-1,0,10
User,0,0,2,0,0,7,0,0,0,-1,0,4
UserAccountStats,0,0,2,0,0,6,0,0,0,-1,0,0
DatabaseObjectBase,0,0,2,0,0,6,0,3,0,-1,0,0
"MapperBase<ContractType,ModelType>",2,4,0,0,4,30,4,0,0,0.5,0,0
TodoItemDTO,0,0,6,0,0,18,0,0,1,-1,0,3
TodoItem_Mapper,0,1,0,0,1,6,1,0,0,-1,0,2
TodoListDTO,0,0,5,0,0,14,0,0,1,-1,0,3
TodoList_Mapper,0,0,0,0,0,4,0,0,0,-1,0,2
UserDTO,0,0,3,0,0,11,0,0,1,-1,0,2
User_Mapper,0,0,0,0,0,4,0,0,0,-1,0,1
Init,1,2,3,0,2,71,2,0,0,1,0,0
AddActiveFlags,1,2,3,0,2,33,2,0,0,1,0,0
Configuration,0,2,0,0,1,15,2,0,0,-1,1,0
TodoContext,0,2,3,0,2,33,2,0,0,-1,0,7
DatabaseAccessorLoader,0,1,0,0,1,8,1,0,0,-1,0,0
ITodoItemAccessor,0,3,0,0,0,8,3,1,0,-1,1,1
TodoItemAccessor,1,3,0,0,3,54,3,0,1,0.6700000166893005,6,1
ITodoListAccessor,0,4,0,0,0,10,4,1,0,-1,1,1
TodoListAccessor,1,4,0,0,4,68,4,0,1,0.5,6,1
