Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Color,28,22,4,28,22,183,24,0,0,"0,680000007152557",1,27
Coordinate,1,5,2,1,5,60,7,0,0,"0,800000011920929",0,34
Size,3,5,2,1,5,82,7,0,0,"0,800000011920929",0,21
SetTileCharacterCommand,2,2,1,0,1,27,2,0,1,0,4,1
ActorInstanceMoveCommandBase,2,5,2,0,0,85,11,2,1,0,10,0
ActorInstanceRandomMoveCommand,3,3,1,0,1,100,7,0,2,"0,670000016689301",6,1
ChainedCommand,4,6,2,0,2,68,9,0,1,0,3,2
BoardChangeCommand,2,2,1,0,1,31,3,0,1,0,6,1
CommandContext,0,1,0,0,1,7,1,0,1,-1,2,29
Commands,0,33,0,0,33,137,33,0,0,-1,42,0
CommandStatus,0,0,0,0,0,6,0,0,0,-1,0,1
ActorInstanceTransportCommand,2,2,1,0,1,24,2,0,1,0,4,1
ActorInstanceCreateCommand,2,2,1,0,1,39,4,0,1,0,9,1
ContextCommand,2,2,3,0,1,36,2,0,1,0,3,1
MoveDirection,0,0,0,0,0,7,0,0,0,-1,0,3
RemoveSpriteCommand,2,2,0,0,1,17,2,0,1,0,4,1
SetSpriteCommand,2,2,0,0,1,18,2,0,1,0,4,1
StopSongCommand,0,1,0,0,0,9,1,0,1,-1,3,1
PlaySongCommand,2,3,1,0,2,28,3,0,1,"0,670000016689301",5,1
PlaySoundEffectCommand,2,3,1,0,2,28,3,0,1,"0,670000016689301",5,1
DelayCommand,2,3,1,0,1,34,5,0,1,0,4,1
ActorInstanceDestroyCommand,1,2,1,0,1,28,3,0,1,0,6,1
LogCommand,1,2,1,0,1,21,2,0,1,1,2,1
MessageCommand,1,2,1,0,1,22,2,0,1,0,4,1
MoveCommand,0,1,0,0,0,23,5,2,1,-1,2,0
PlayerResumeInputCommand,0,1,0,0,0,9,1,0,1,-1,3,1
PlayerSuspendInputCommand,0,1,0,0,0,9,1,0,1,-1,3,1
MaximumAttempts,1,0,0,1,0,4,0,0,0,-1,0,1
PlayerTransportCommand,1,2,1,0,1,20,2,0,1,0,4,1
RandomDelayCommand,5,3,1,0,1,44,6,0,1,0,4,1
RandomMoveDirection,0,0,0,0,0,9,0,0,0,-1,0,2
RepeatCommand,6,10,2,0,7,106,15,0,1,"0,300000011920929",4,2
RetryCommand,6,10,2,0,7,110,15,0,1,"0,300000011920929",4,2
TimerAction,0,0,0,0,0,7,0,0,0,-1,0,2
TotalRepeats,1,0,0,1,0,4,0,0,0,-1,0,1
