Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Constants,9,10,0,9,9,74,10,0,0,0.300000011920929,0,3
Attribute,7,4,2,4,4,31,4,0,0,0,0,3
ContentModel,0,0,0,0,0,7,0,0,0,-1,0,3
HtmlEntities,7,8,2,4,6,477,9,0,0,0,0,1
HtmlReader,19,64,17,0,18,3199,150,0,0,0.05999999865889549,10,2
Token,6,7,0,6,6,65,8,0,0,0,1,2
InsertionMode,0,0,0,0,0,23,0,0,0,-1,0,1
CurrentTokenizerTokenState,0,0,0,0,0,6,0,0,0,-1,0,1
Tokenizer,2,10,10,0,7,234,27,0,1,0.2000000029802322,4,1
HtmlTextReader,10,15,3,0,11,269,49,0,0,0.2000000029802322,1,1
HtmlTextTokenizer,20,53,14,0,10,1942,145,0,1,0.03999999910593033,9,1
ParsingFunction,0,0,0,0,0,40,0,0,0,-1,0,1
TokenState,0,0,0,0,0,6,0,0,0,-1,0,1
EntityNameCharacter,4,2,4,0,1,45,2,0,0,1,0,1
HtmlTokenizer,1,13,14,0,9,91,19,2,0,0.6200000047683716,2,5
HtmlWrappingTokenizer,1,8,14,0,7,95,9,2,1,0.25,1,2
ParseErrorEventArgs,4,2,3,0,1,34,3,0,0,0,0,7
CompatibilityMode,0,0,0,0,0,6,0,0,0,-1,0,1
MetaDetector,0,9,0,0,1,193,27,0,0,-1,0,0
PreambleDetector,1,2,0,1,2,39,9,0,0,0,0,1
SeekableReadOnlyStream,7,12,5,0,9,135,24,0,0,0.4199999868869781,0,1
StreamChain,4,10,6,0,7,113,22,0,0,0.4000000059604645,0,0
Resources,2,1,3,0,0,50,1,0,0,0,0,0
