Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
VoatEntityContext,0,1,44,0,0,91,1,1,0,-1,0,1
UnintentionalCodeFirstException,0,0,0,0,0,1,0,0,0,-1,0,0
Ad,0,0,10,0,0,13,0,0,0,-1,0,0
ApiClient,0,0,15,0,0,19,0,0,0,-1,0,5
ApiCorsPolicy,0,0,11,0,0,14,0,0,0,-1,0,0
ApiLog,0,0,7,0,0,10,0,0,0,-1,0,1
ApiPermissionPolicy,0,1,4,0,1,15,1,0,0,-1,0,1
ApiThrottlePolicy,0,1,4,0,1,15,1,0,0,-1,0,2
Badge,0,1,5,0,1,16,1,0,0,-1,0,0
BannedDomain,0,0,5,0,0,8,0,0,0,-1,0,0
BannedUser,0,0,5,0,0,8,0,0,0,-1,0,0
Comment,0,1,17,0,1,30,1,0,0,-1,0,5
CommentRemovalLog,0,0,5,0,0,9,0,0,0,-1,0,1
CommentSaveTracker,0,0,4,0,0,8,0,0,0,-1,0,0
CommentVoteTracker,0,0,7,0,0,13,0,0,0,-1,0,1
DefaultSubverse,0,0,2,0,0,9,0,0,0,-1,0,0
EventLog,0,0,11,0,0,14,0,0,0,-1,0,2
Featured,0,0,8,0,0,11,0,0,0,-1,0,0
Filter,0,0,9,0,0,12,0,0,0,-1,0,0
Message,0,0,18,0,0,21,0,0,0,-1,0,1
ModeratorInvitation,0,0,6,0,0,9,0,0,0,-1,0,0
RuleReport,0,0,11,0,0,15,0,0,0,-1,0,0
RuleSet,0,1,10,0,1,21,1,0,0,-1,0,0
SessionTracker,0,0,3,0,0,6,0,0,0,-1,0,0
StickiedSubmission,0,0,5,0,0,11,0,0,0,-1,0,1
Submission,0,1,25,0,1,51,1,0,0,-1,0,14
SubmissionRemovalLog,0,0,5,0,0,10,0,0,0,-1,0,1
SubmissionSaveTracker,0,0,5,0,0,9,0,0,0,-1,0,0
SubmissionVoteTracker,0,0,8,0,0,12,0,0,0,-1,0,1
Subverse,0,1,20,0,1,47,1,0,0,-1,0,21
SubverseBan,0,0,6,0,0,12,0,0,0,-1,0,1
SubverseFlair,0,0,4,0,0,8,0,0,0,-1,0,0
SubverseModerator,0,0,6,0,0,12,0,0,0,-1,0,5
SubverseSet,0,1,11,0,1,24,1,0,0,-1,0,4
SubverseSetList,0,0,5,0,0,9,0,0,0,-1,0,0
SubverseSetSubscription,0,0,5,0,0,9,0,0,0,-1,0,1
UserBadge,0,0,5,0,0,9,0,0,0,-1,0,0
UserBlockedUser,0,0,4,0,0,7,0,0,0,-1,0,0
UserContribution,0,0,9,0,0,12,0,0,0,-1,0,0
UserPreference,0,0,19,0,0,22,0,0,0,-1,0,3
usp_CommentTree_Result,0,0,17,0,0,20,0,0,0,-1,0,3
ViewStatistic,0,0,3,0,0,7,0,0,0,-1,0,0
Vote,0,0,15,0,0,20,0,0,0,-1,0,2
VoteOption,0,0,7,0,0,11,0,0,0,-1,0,2
VoteOutcome,0,0,4,0,0,8,0,0,0,-1,0,2
VoteRestriction,0,0,4,0,0,8,0,0,0,-1,0,3
VoteTracker,0,0,6,0,0,9,0,0,0,-1,0,0
BaseLogger,0,14,1,0,9,122,16,5,1,-1,4,0
DummyScope,0,1,0,0,1,7,1,0,0,-1,0,1
DurationLogger,5,2,0,0,2,31,4,0,0,0,2,0
ILogger,0,7,1,0,0,15,7,1,0,-1,2,15
ILogInformation,0,0,10,0,0,14,0,1,0,-1,0,13
Log4NetLogger,3,5,0,0,2,112,12,0,2,0.4000000059604645,3,0
LoggingConfigurationSettings,1,1,2,0,1,28,1,0,0,0,2,3
LogInformation,1,2,10,0,2,74,2,0,1,1,1,4
LogType,0,0,0,0,0,13,0,0,0,-1,0,20
NullLogger,0,2,0,0,1,10,2,0,2,-1,1,1
QueuedLogger,1,5,0,0,3,26,5,1,2,0.6000000238418579,2,0
IRuleContextHandler,0,0,1,0,0,5,0,0,0,-1,0,0
IRequestContext,0,1,1,0,0,8,1,1,0,-1,0,0
RequestContext,1,4,1,0,3,115,6,1,1,0.5,1,5
NullFriendlyExpandoObject,3,7,0,0,5,80,12,0,0,0,0,2
Rule,4,5,5,0,3,106,10,3,0,1,3,4
Rule<T>,1,5,1,0,3,61,8,0,1,1,3,0
RuleConfigurationSettings,0,0,3,0,0,9,0,0,0,-1,0,4
RuleEntry,0,0,2,0,0,6,0,0,0,-1,0,0
RuleContext,1,1,1,0,1,43,3,0,0,0,1,0
RuleDiscoveryAttribute,0,3,3,0,3,41,3,0,0,-1,0,1
RuleDiscoveryProvider,1,4,1,0,4,100,8,0,0,0.75,4,3
RuleInformation,0,0,4,0,0,10,0,0,0,-1,0,3
RuleException,0,3,0,0,3,14,3,1,0,-1,0,0
RuleLoadableAttribute,0,3,3,0,3,26,3,0,0,-1,0,0
RuleOutcome,0,2,7,0,2,63,2,0,0,-1,1,48
