Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ActivationType,0,0,0,0,0,13,0,0,0,-1,0,29
CallInterceptorBuilder<T>,0,15,1,0,13,189,15,0,0,-1,2,0
CallInterceptorCollection,0,7,0,0,4,76,9,0,0,-1,1,5
CallInterceptorHelper<T>,0,15,1,0,10,215,20,0,0,-1,3,0
ClientHeartbeatEventArgs,0,2,2,0,2,28,2,0,0,-1,0,1
ComponentCatalog,2,17,1,0,15,322,39,0,1,0.4699999988079071,8,5
ComponentInfo,0,0,3,0,0,28,0,0,0,-1,0,1
ComponentRegistry,1,6,0,0,6,70,7,0,1,0,1,0
CallInterceptionData,2,2,3,0,2,60,4,0,0,0,0,5
CallInterceptor,1,6,8,0,6,111,7,0,0,1,1,8
DisconnectedEventArgs,0,2,3,0,2,29,2,0,0,-1,0,1
IComponentCatalog,0,10,0,0,0,68,10,2,0,-1,2,4
IComponentCatalogExtensions,0,19,0,0,19,218,20,0,0,-1,3,0
IComponentRegistry,0,6,0,0,0,39,6,1,0,-1,1,1
InvalidSessionException,0,5,0,0,4,45,5,0,0,-1,0,0
InvocationDetails,0,1,19,0,1,104,4,0,0,-1,0,2
InvokeCanceledEventArgs,0,1,6,0,1,47,4,0,0,-1,0,2
InvokeCanceledException,0,5,0,0,4,45,5,0,0,-1,0,1
BeforeInvokeEventArgs,0,1,7,0,1,51,4,0,0,-1,0,3
AfterInvokeEventArgs,0,1,6,0,1,50,5,0,0,-1,0,3
ISerializationHandler,0,2,0,0,0,16,2,1,0,-1,0,2
LanguageResource,2,1,60,0,0,563,1,0,0,0,0,31
LoginEventArgs,0,2,5,0,2,51,2,0,0,-1,1,2
LoginEventType,0,0,0,0,0,11,0,0,0,-1,0,2
NewLogonNeededEventArgs,0,3,2,0,3,38,3,0,0,-1,1,1
LogicalCallContextData,1,1,1,0,1,20,1,0,0,0,0,1
CustomSerializationContainer,0,2,3,0,2,46,2,0,0,-1,0,1
SerializationHandlerRepository,2,6,0,0,5,102,10,0,0,0,2,3
SubscriptionEventArgs,0,0,4,0,0,19,0,0,0,-1,0,3
ZyanComponentHost,12,43,11,1,18,646,64,0,1,0.5099999904632568,17,37
ZyanConnection,22,37,14,0,17,933,81,0,0,0.3199999928474426,25,47
ComponentRegistration,2,22,11,0,22,432,22,0,0,1,1,11
IZyanDispatcher,0,9,1,0,0,73,9,0,0,-1,0,6
ZyanConnectionSetup,0,2,5,0,2,44,3,0,0,-1,1,1
ZyanErrorAction,0,0,0,0,0,15,0,0,0,-1,0,2
ZyanErrorEventArgs,0,1,5,0,1,52,1,0,0,-1,1,2
ZyanProxy,11,17,2,0,2,573,51,0,0,0,24,1
ServerSession,7,3,7,0,0,96,3,0,0,0.6700000166893005,1,11
ZyanSettings,0,0,5,0,0,38,0,0,0,-1,0,19
ClientAddressServerChannelSink,2,4,1,1,4,42,5,0,0,0.5,0,2
ClientAddressServerChannelSinkProvider,1,4,1,0,4,27,5,0,0,1,1,0
CompressionMethod,0,0,0,0,0,19,0,0,0,-1,0,10
DefinitionExtensions,0,3,0,0,3,67,7,0,0,-1,1,0
IComponentCatalogMefExtensions,1,5,0,0,2,144,12,0,0,0.6000000238418579,4,0
NonSharedPartsCatalog,0,1,4,0,1,42,1,0,0,-1,0,1
ZyanComponentAttribute,2,3,2,2,2,48,4,0,0,0,1,2
ZyanComposablePart,3,4,8,0,4,108,5,0,0,1,1,1
ZyanCatalog,2,3,5,0,3,80,4,0,0,1,1,0
ZyanComposablePartDefinition,2,4,8,0,3,128,6,0,0,0.75,3,1
ZyanInterfaceAttribute,0,3,2,0,2,43,4,0,0,-1,1,0
