Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
"ReadOnlyDictionary<K,V>",2,12,4,0,11,74,12,0,0,0.25,0,0
"RedBlackTree<K,V>",3,11,1,0,7,229,34,0,0,0.550000011920929,0,0
RedBlackTreeNode<T>,5,1,1,5,1,20,1,0,0,0,0,0
RegionMap<T>,3,7,0,0,5,85,12,0,0,0.2899999916553497,0,0
InternalErrorException,0,1,0,0,1,6,1,0,0,-1,0,0
Program,0,1,0,0,0,12,1,0,0,-1,0,0
Util,1,28,0,0,28,283,51,0,0,0.7099999785423279,1,6
SubStream,7,8,6,0,8,141,12,0,0,0.25,1,4
BlockReference,0,3,2,0,0,20,3,0,0,-1,0,4
ClrHeader,0,2,12,0,0,41,2,0,0,-1,1,1
ClrHeaderFlags,0,0,0,0,0,17,0,0,0,-1,0,0
ClrMetadataRoot,1,1,6,0,0,55,1,0,0,0,3,1
DataDirectoryName,0,0,0,0,0,19,0,0,0,-1,0,1
DllCharacteristics,0,0,0,0,0,31,0,0,0,-1,0,0
ImageType,0,0,0,0,0,5,0,0,0,-1,0,1
MachineType,0,0,0,0,0,67,0,0,0,-1,0,1
FileCharacteristics,0,0,0,0,0,68,0,0,0,-1,0,0
ManagedPEFile,12,50,0,0,2,531,56,0,0,0,12,1
Module,0,1,0,0,0,8,1,0,0,-1,0,1
PEHeader,0,1,37,0,0,124,6,0,0,-1,5,1
SectionFlags,0,0,0,0,0,118,0,0,0,-1,0,0
SectionHeader,0,3,10,0,2,45,3,0,0,-1,1,1
StreamHeader,1,1,3,0,1,33,1,0,0,0,2,2
TableID,0,0,0,0,0,41,0,0,0,-1,0,2
WindowsSubsystem,0,0,0,0,0,35,0,0,0,-1,0,1
SafeUtf8Str,2,2,0,0,2,21,3,0,0,0,0,0
TablesHeader,2,2,10,0,0,60,4,0,0,0,2,1
