Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AbstractReference,1,2,1,0,1,44,7,3,0,0,2,4
ArrayTypeReference,1,1,10,0,1,62,1,0,1,0,1,7
ClassName,0,3,0,0,3,30,4,0,0,-1,0,1
ClassSignature,4,1,4,0,1,37,1,0,0,0,1,6
ClassSource,3,1,1,3,1,23,1,0,0,0,0,5
IAccessModifiers,0,0,4,0,0,22,0,3,0,-1,0,0
IReachableContext,0,3,0,0,0,17,3,1,0,-1,2,2
MethodSignature,3,1,3,0,1,38,1,0,1,0,1,5
ResolveException,0,1,0,0,1,7,1,0,0,-1,0,0
TypeParameter,3,2,3,0,2,25,2,0,0,0,1,3
TypeVariableReference,1,1,9,0,1,57,1,0,1,0,0,2
TypeArgument,3,3,3,1,2,60,6,0,0,0.6700000166893005,2,4
Signatures,0,16,0,0,3,366,51,0,0,-1,10,3
Extensions,0,2,0,0,2,24,5,0,0,-1,6,0
InnerClass,7,1,17,0,0,90,1,0,0,0,4,6
BaseTypeReference,4,4,11,0,1,110,5,0,1,0,1,7
BaseTypes,0,0,0,0,0,11,0,0,0,-1,0,4
ClassAccessFlags,0,0,0,0,0,14,0,0,0,-1,0,1
ClassFile,9,7,34,1,4,301,11,0,1,0.7099999785423279,7,102
ClassFileReader,1,11,0,0,1,383,28,0,0,0,38,1
IClassLoader,0,2,1,0,0,14,2,4,0,-1,1,13
LocalVariable,5,2,2,3,2,25,2,0,0,0,1,2
LineNumber,2,2,0,2,2,18,4,0,0,0,0,1
NestedClassAccessFlags,0,0,0,0,0,14,0,0,0,-1,0,3
Descriptors,0,6,0,0,4,113,17,0,0,-1,6,8
ExceptionHandler,8,2,8,0,0,94,2,0,1,0,3,4
StreamExtensions,0,9,0,0,0,127,13,0,0,-1,0,0
FieldAccessFlags,0,0,0,0,0,15,0,0,0,-1,0,4
FieldDefinition,3,4,15,0,2,118,4,0,1,0.5,7,22
JarFile,10,9,5,0,8,196,19,0,1,0,5,13
MemberDefinition,3,2,3,0,0,38,2,2,1,1,2,0
MethodAccessFlags,0,0,0,0,0,18,0,0,0,-1,0,4
MethodDefinition,5,7,24,0,5,177,13,0,2,0.2899999916553497,8,38
MethodDescriptor,3,2,2,0,1,40,3,1,0,0,1,3
ObjectTypeReference,3,1,10,0,1,72,1,0,1,0,0,17
TypeArgumentWildcard,0,0,0,0,0,6,0,0,0,-1,0,2
TypeReference,0,1,9,0,1,53,1,5,1,-1,0,38
VoidTypeReference,1,1,9,1,0,56,1,0,2,0,1,2
Annotation,4,2,3,0,0,48,5,0,0,1,6,9
Attribute,0,0,1,0,0,7,0,14,0,-1,0,7
CodeAttribute,10,9,11,0,3,244,15,0,1,0.3300000131130219,10,10
ConstantValueAttribute,2,1,2,0,1,30,1,0,1,0,0,1
ConstElementValue,3,3,2,0,2,42,3,0,1,1,2,3
ClassElementValue,2,3,2,0,2,45,3,0,1,1,2,3
AnnotationElementValue,1,2,2,0,1,33,2,0,1,1,2,3
ArrayElementValue,1,2,2,0,1,33,2,0,1,1,2,3
AnnotationsAttribute,1,1,2,0,0,28,1,4,1,0,1,1
AnnotationDefaultAttribute,2,1,2,0,1,29,1,0,1,0,1,1
IElementValueVisitor,0,5,0,0,0,8,5,1,0,-1,5,6
IModifiableAttributeProvider,0,2,0,0,0,12,2,4,1,-1,1,1
RuntimeVisibleParameterAnnotationsAttribute,1,1,1,0,1,20,1,0,2,0,1,0
RuntimeInvisibleParameterAnnotationsAttribute,1,1,1,0,1,20,1,0,2,0,1,0
ElementValuePair,3,1,2,0,0,23,1,0,0,0,2,4
RuntimeInvisibleAnnotationsAttribute,1,1,1,0,1,20,1,0,2,0,1,1
RuntimeVisibleAnnotationsAttribute,1,1,1,0,1,20,1,0,2,0,1,2
EnumConstElementValue,3,3,3,0,2,60,3,0,1,1,2,3
ElementValue,0,1,1,0,1,12,1,5,0,-1,1,5
OverrideAttribute,1,0,1,0,0,12,0,0,1,-1,0,1
