Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Barcode128,25,15,0,21,11,790,78,0,1,0,9,1
Barcode128CodeSet,0,0,0,0,0,6,0,0,0,-1,0,2
Barcode1D,20,39,0,3,37,382,39,8,0,0.4099999964237213,8,7
Barcode2D,1,4,0,0,4,42,4,3,0,0.75,4,0
Barcode39,3,6,0,0,5,278,34,0,1,0,5,1
BarcodeCodabar,3,5,0,0,5,259,30,0,1,0,6,1
BarcodeDataMatrix,35,37,0,15,21,1510,185,0,1,0,9,2
BarcodeEAN,25,10,0,6,10,691,47,0,1,0.2000000029802322,6,1
BarcodeEANSUPP,2,3,0,0,3,93,4,0,1,0,7,1
BarcodeInter25,1,6,0,0,6,237,27,0,1,0,6,0
BarcodeMSI,5,5,0,0,5,244,27,0,1,0,6,1
BarcodePDF417,61,58,0,10,31,1580,170,0,1,0,10,1
Segment,3,1,0,3,1,13,1,0,0,0,0,2
SegmentList,1,4,0,0,4,25,6,0,0,0,1,1
BarcodePostnet,3,5,0,2,5,77,10,0,1,0,4,1
BarcodeQRCode,3,15,0,0,14,156,23,0,1,0.2000000029802322,8,1
BarcodesExtensions,0,7,0,0,7,43,8,0,0,-1,1,0
DmParams,7,1,0,7,1,34,1,0,0,0,0,1
Placement,4,9,0,0,1,157,13,0,0,0,1,1
ReedSolomon,18,3,0,0,1,188,10,0,0,0,0,1
BitArray,2,12,0,0,11,132,24,0,0,0,0,1
BitMatrix,4,12,0,0,12,138,25,0,0,0.1700000017881393,1,1
BitVector,3,11,0,0,10,162,23,0,0,0,0,2
BlockPair,2,3,0,0,2,20,3,0,0,0,1,1
ByteArray,3,10,0,0,10,87,14,0,0,0,0,2
ByteMatrix,3,9,0,0,9,95,15,0,0,0,0,6
CharacterSetECI,3,7,0,0,3,76,9,0,0,0,0,1
EncodeHintType,3,1,0,3,0,16,1,0,0,0,0,3
Encoder,2,22,0,0,4,576,77,0,0,0.09000000357627869,15,1
ErrorCorrectionLevel,8,6,0,4,5,63,7,0,0,0,0,7
FormatInformation,5,8,0,0,2,123,16,0,0,0.25,1,1
GF256,6,9,0,2,0,106,19,0,0,0.2199999988079071,1,3
GF256Poly,2,12,0,0,1,239,45,0,0,0,1,2
MaskUtil,0,7,0,0,5,215,23,0,0,-1,2,2
MatrixUtil,9,21,0,0,10,550,65,0,0,0.1000000014901161,5,1
Mode,12,6,0,9,5,136,9,0,0,0,1,2
QRCode,11,25,0,1,25,243,27,0,0,0,3,4
QRCodeWriter,1,4,0,0,2,114,17,0,0,0,5,1
ReedSolomonEncoder,2,3,0,0,2,58,9,0,0,0,2,1
ReedSolomonException,0,1,0,0,1,7,1,0,0,-1,0,0
Version,6,12,0,0,8,361,23,0,0,0.1700000017881393,6,2
ECBlocks,2,6,0,0,4,37,7,0,0,0,1,2
ECB,2,3,0,0,2,18,3,0,0,0,0,2
WriterException,0,2,0,0,2,12,2,0,0,-1,0,1
AppearanceResources,1,4,0,0,1,35,7,0,1,0.75,5,2
AppearanceXObject,0,4,0,0,1,27,7,0,1,-1,7,1
PdfButtonFormField,4,14,0,4,11,154,14,0,1,0.7099999785423279,6,4
PdfChoiceFormField,6,22,0,6,19,284,33,0,1,0.6399999856948853,8,2
PdfFormField,37,152,0,24,116,3901,334,4,0,0.1099999994039536,52,15
PdfSignatureFormField,0,6,0,0,3,42,6,0,1,-1,6,2
PdfTextFormField,5,18,0,5,15,204,18,0,1,0.7200000286102295,5,5
FormsExtensions,0,13,0,0,13,90,18,0,0,-1,0,0
PdfAcroForm,9,52,0,2,36,1197,137,0,0,0.1299999952316284,29,18
PdfPageFormCopier,5,10,0,0,1,263,42,0,1,0,12,1
PdfSigFieldLock,0,7,0,0,6,155,10,0,0,-1,6,2
LockAction,0,0,0,0,0,5,0,0,0,-1,0,1
LockPermissions,0,0,0,0,0,5,0,0,0,-1,0,1
DrawingUtil,6,15,0,0,14,93,15,0,0,0.2000000029802322,4,1
AcroFieldsSearch,1,3,0,0,3,35,4,0,1,0,0,1
InverseStore,2,2,0,0,2,41,6,0,0,1,0,1
XfaForm,8,39,0,1,29,751,84,0,0,0.1500000059604645,13,4
Xml2Som,5,14,0,0,13,293,41,2,0,0.5,1,1
