Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Bank,0,2,4,0,2,15,2,0,0,-1,0,3
Config,1,2,1,0,2,62,3,0,0,0,0,1
DataBase,3,52,0,0,46,877,64,0,0,0,8,4
Item,0,2,8,0,2,21,2,0,0,-1,0,5
ItemStatus,0,2,3,0,2,14,2,0,0,-1,0,4
ItemType,0,2,3,0,2,14,2,0,0,-1,0,4
Misc,2,10,0,0,9,291,21,0,0,0.5,1,4
Order,1,2,16,0,2,51,2,0,0,1,0,3
PersonInfo,0,2,12,0,2,27,2,0,0,-1,0,4
XmlSerialization,0,2,0,0,2,34,3,0,0,-1,0,2
Language,0,0,8,0,0,19,0,0,0,-1,0,2
Settings,0,0,1,0,0,6,0,0,0,-1,0,2
TabBank,0,0,10,0,0,23,0,0,0,-1,0,1
TabItems,0,0,13,0,0,29,0,0,0,-1,0,1
TabItemStatus,0,0,10,0,0,23,0,0,0,-1,0,1
TabItemTypes,0,0,10,0,0,23,0,0,0,-1,0,1
TabOrders,0,0,18,0,0,39,0,0,0,-1,0,1
TabPersonInfo,0,0,18,0,0,39,0,0,0,-1,0,1
TabReports,0,0,1,0,0,5,0,0,0,-1,0,1
