Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AccessController,0,1,0,0,1,7,1,0,0,-1,1,5
AList<T>,0,8,0,0,8,56,16,0,0,-1,0,0
Arrays,0,9,0,0,9,57,13,0,0,-1,0,61
AtomicInteger,1,9,0,0,9,49,9,0,0,0.2199999988079071,0,4
AtomicLong,1,7,0,0,7,38,7,0,0,0.2899999916553497,0,1
AtomicReference<T>,1,5,0,0,5,28,5,0,0,0.4000000059604645,0,0
AtomicReferenceArray<T>,1,4,0,0,4,24,4,0,0,0,0,0
BufferedInputStream,0,2,0,0,2,14,2,1,1,-1,1,3
BufferedOutputStream,0,2,0,0,2,12,2,0,1,-1,1,2
BufferedReader,0,1,0,0,1,6,1,0,0,-1,1,13
ByteArrayInputStream,0,3,0,0,3,18,3,6,1,-1,1,8
ByteArrayOutputStream,0,5,0,0,5,27,5,0,1,-1,1,30
Callable,0,1,0,0,0,4,1,5,0,-1,0,3
CharBuffer,1,2,0,0,2,16,2,0,1,0,0,2
CharsetDecoder,2,4,0,0,4,35,7,0,0,0,2,2
CharsetEncoder,1,3,0,0,3,19,3,0,0,0.6700000166893005,2,4
CodingErrorAction,0,0,0,0,0,4,0,0,0,-1,0,2
Collections,0,17,0,0,17,121,24,0,0,-1,0,87
"ConcurrentHashMap<T,U>",1,13,2,0,12,117,13,0,1,0.1500000059604645,0,0
ConcurrentMap,0,3,0,0,0,6,3,1,0,-1,0,1
CopyOnWriteArrayList<T>,1,14,2,0,8,120,16,0,0,0.2899999916553497,0,0
CountDownLatch,2,4,0,0,4,30,6,0,0,0,1,3
CRC32,2,7,0,0,7,67,8,0,0,0,0,4
CyclicBarrier,1,2,0,0,2,15,2,0,0,0,1,2
DataConverter,3,31,3,1,27,1787,50,2,0,0.3499999940395355,1,2
PackContext,7,2,0,6,2,60,8,0,0,0,1,1
CopyConverter,0,16,0,0,16,224,48,0,1,-1,0,0
SwapConverter,0,16,0,0,16,241,48,0,1,-1,0,0
DeflaterOutputStream,0,3,0,0,3,17,3,0,1,-1,1,4
EnumerableWrapper<T>,1,2,0,0,2,14,2,0,0,0,0,0
EnumeratorWrapper<T>,5,4,0,0,4,49,7,0,1,0,0,0
Executors,1,2,0,0,2,14,2,0,0,1,2,5
FixedThreadPoolExecutorService,2,5,0,0,4,54,5,0,1,0.4000000059604645,3,2
FutureBase,0,0,0,0,0,3,0,1,0,-1,0,0
TaskFuture<T>,8,4,1,0,4,76,6,0,1,0,2,0
CancellationException,0,0,0,0,0,3,0,0,0,-1,0,0
RejectedExecutionException,0,0,0,0,0,3,0,0,0,-1,0,0
ExecutorService,0,3,0,0,0,6,3,1,1,-1,2,2
Extensions,1,103,0,0,102,756,148,0,0,0.9399999976158142,8,85
FileChannel,3,13,1,0,12,102,14,0,0,0.2300000041723251,3,13
MapMode,0,0,0,0,0,4,0,0,0,-1,0,2
FileInputStream,0,3,0,0,3,19,4,0,1,-1,3,22
FileLock,1,2,0,0,2,14,2,0,0,0,0,1
FileOutputStream,0,5,0,0,5,32,6,0,1,-1,3,27
FileReader,0,1,0,0,1,6,1,0,1,-1,1,1
FileWriter,0,1,0,0,1,6,1,0,0,-1,1,0
Future,0,2,0,0,0,5,2,2,0,-1,0,5
GZIPInputStream,1,1,0,1,1,9,1,0,1,0,1,0
GZIPOutputStream,0,1,0,0,1,7,1,0,1,-1,1,1
InflaterInputStream,2,3,0,0,3,26,3,1,1,0,1,2
InheritableThreadLocal<T>,2,5,0,0,3,42,8,0,0,0.4000000059604645,0,0
InputStreamReader,0,4,0,0,3,18,4,1,0,-1,1,2
LinkageError,0,1,0,0,1,6,1,0,0,-1,0,0
"LinkedHashMap<T,U>",2,9,3,0,8,83,13,0,0,0.2199999988079071,0,0
ListIterator<T>,2,3,0,0,3,22,3,0,0,0,0,0
MappedByteBuffer,0,0,0,0,0,3,0,0,1,-1,0,1
Matcher,4,10,0,0,9,77,14,0,0,0,1,7
MessageFormat,0,2,0,0,1,65,8,0,0,-1,0,106
ObjectInputStream,1,3,0,0,3,19,3,0,1,0.6700000166893005,1,1
ObjectOutputStream,1,2,0,0,2,14,2,0,1,0,1,1
OutputStreamWriter,0,3,0,0,3,14,3,0,0,-1,1,3
Pattern,4,4,0,3,3,37,7,0,0,0.75,1,6
PipedInputStream,9,10,0,1,6,157,17,3,1,0.2000000029802322,1,11
PipedOutputStream,1,6,0,0,5,34,6,2,1,0.3300000131130219,2,13
PrintWriter,1,39,3,0,39,218,39,0,0,0,1,3
PrivilegedAction,0,1,0,0,0,4,1,5,0,-1,0,1
RandomAccessFile,1,13,0,0,13,79,16,0,0,0.1500000059604645,2,3
ReentrantLock,0,3,0,0,3,17,3,0,0,-1,0,3
Reference<T>,0,2,0,0,1,8,2,0,0,-1,0,0
ReferenceQueue<T>,1,3,0,0,2,32,3,0,0,0,0,0
Runtime,3,33,0,0,33,230,43,0,0,0.9100000262260437,4,157
ShutdownHook,1,0,0,1,0,9,0,0,0,-1,1,1
SimpleDateFormat,2,6,0,0,6,36,6,0,0,0.3300000131130219,1,3
SingletonList,0,1,0,0,1,7,1,0,0,-1,0,0
SoftReference<T>,2,5,0,0,5,34,6,0,0,0,0,0
SynchronizedList<T>,1,11,2,0,4,100,11,0,0,0,0,0
Thread,6,22,0,0,19,145,25,10,1,0.3199999928474426,2,44
ThreadGroup,1,5,0,0,3,35,5,0,0,0.6000000238418579,1,6
TimeUnit,0,0,0,0,0,5,0,0,0,-1,0,13
TimeUnitExtensions,0,1,0,0,1,7,1,0,0,-1,1,0
WrappedSystemStream,4,11,7,0,10,127,16,0,0,0.2700000107288361,2,2
AbstractCollection<T>,0,12,2,0,7,90,21,0,0,-1,1,0
AbstractList<T>,0,15,0,0,11,161,33,0,0,-1,2,0
SimpleIterator,2,4,0,0,4,26,4,0,1,0,0,1
"AbstractMap<T,U>",0,19,7,0,7,147,24,0,0,-1,1,0
AbstractSet<T>,0,3,0,0,2,34,10,0,0,-1,0,0
Authenticator,0,3,0,0,2,17,3,1,0,-1,0,0
ByteBuffer,8,33,0,0,30,216,39,1,0,0.119999997317791,2,19
ByteOrder,0,0,0,0,0,5,0,0,0,-1,0,3
CharSequence,0,0,0,0,0,12,0,3,0,-1,0,5
StringCharSequence,1,2,0,0,2,14,2,0,1,0,0,0
DigestOutputStream,3,7,0,0,7,48,9,0,1,0,2,6
EnumSet,0,3,0,0,3,22,4,0,0,-1,0,8
EnumSet<T>,1,8,1,0,8,55,8,0,0,0.25,1,0
