Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Event,6,1,0,6,1,25,1,0,0,0,0,4
EventId,2,1,0,2,1,11,1,0,0,0,0,4
Hierarchy,1,4,0,0,4,46,8,0,1,0,0,0
IEventConverter,0,1,0,0,0,4,1,2,0,-1,1,1
IHierarchy,0,4,0,0,0,10,4,1,0,-1,0,2
IServiceMessageFactory,0,8,0,0,0,18,8,1,0,-1,1,2
IServiceMessageWriter,0,1,0,0,0,4,1,1,0,-1,0,1
ServiceMessageFactory,2,16,0,0,8,283,45,0,1,0.3799999952316284,4,0
ServiceMessage,0,1,2,0,1,33,3,0,0,-1,1,2
Names,21,0,0,21,0,26,0,0,0,-1,0,1
ServiceMessageAttr,0,1,2,0,1,31,3,0,0,-1,0,3
ServiceMessageWriter,2,3,0,0,1,48,6,0,1,0.6700000166893005,2,0
EventConverter3,3,3,0,0,2,143,15,0,1,0,4,0
EventConverter2,4,4,0,0,2,142,17,0,1,0,4,0
TeamCityEventListener,6,4,1,0,4,92,9,0,0,0.5,3,2
SafeAttributeAccess,0,1,0,0,1,19,2,0,0,-1,0,0
ExtensionAttribute,0,0,0,0,0,3,0,0,0,-1,0,0
