Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AssemblyRegistry,1,6,0,0,6,43,8,0,0,0.3300000131130219,1,10
AssemblyRegistration,1,3,2,0,2,35,4,0,0,1,1,6
AssemblyRegistrationCollection,0,2,0,0,1,9,2,0,0,-1,1,0
RegisteredProject,0,0,3,0,0,8,0,0,0,-1,0,9
ConfigRegistry,1,2,3,0,2,44,4,0,0,1,1,4
ConfigSetting,2,2,2,0,2,33,4,0,0,0,0,1
ConfigSettings,0,1,4,0,1,15,1,0,0,-1,0,2
ConfigExtensions,0,4,0,0,4,33,4,0,0,-1,0,0
MultiFileRegistry<T>,2,7,0,0,5,61,9,0,0,0.5699999928474426,0,0
IPin,0,0,2,0,0,5,0,2,0,-1,0,4
PinExtensions,0,1,0,0,1,13,2,0,0,-1,3,0
AssemblyBackup,0,7,2,0,6,55,9,0,0,-1,0,4
AssemblyRestorePaths,0,0,2,0,0,6,0,0,0,-1,0,1
AssemblyBackupCollection,0,3,0,0,2,14,3,0,0,-1,1,2
JsonRegistry<T>,1,4,3,0,2,85,7,0,0,1,0,0
PinnedProject,0,0,2,0,0,5,0,0,0,-1,0,7
PinnedRepo,0,0,2,0,0,6,0,0,0,-1,0,1
PinRegistry,0,12,1,0,12,85,16,0,0,-1,5,9
PinHolder,0,1,2,0,1,11,1,0,0,-1,0,1
AssemblyPin,0,1,2,0,1,12,1,0,1,-1,0,4
AssemblyPinCollection,0,2,0,0,1,9,2,0,0,-1,1,1
RepoPin,0,1,2,0,1,11,1,0,1,-1,0,4
RepoPinCollection,0,2,0,0,1,9,2,0,0,-1,1,1
RepoRegistry,0,6,1,0,6,49,9,0,0,-1,2,7
RepoRegistration,0,1,2,0,1,12,1,0,0,-1,0,4
RepoRegistrationCollection,0,2,0,0,1,9,2,0,0,-1,1,1
XRepoEnvironment,5,7,6,0,4,127,12,0,0,0.4300000071525574,9,19
