Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CameraIntrinsics,0,3,7,0,3,48,4,0,0,-1,0,1
KinectBuffer,1,10,4,0,1,120,13,0,1,0.5,1,6
PointF,0,3,2,0,3,36,4,0,0,-1,1,1
AudioBeamSubFrame,1,21,8,0,4,240,28,0,1,0.4300000071525574,4,1
AudioBeamFrame,2,13,6,0,1,194,18,0,1,0.5400000214576721,2,2
BodyFrame,1,13,5,0,2,166,20,0,1,0.3799999952316284,3,2
Body,1,30,18,0,0,371,31,0,1,0.800000011920929,1,1
ColorFrame,1,24,6,0,7,264,35,0,1,0.25,6,2
DepthFrame,1,18,6,0,4,205,25,0,1,0.3300000131130219,4,2
BodyIndexFrame,1,16,4,0,4,176,23,0,1,0.25,4,2
InfraredFrame,1,16,4,0,4,176,23,0,1,0.25,4,2
KinectSensor,5,29,13,0,4,509,36,0,1,0.4799999892711639,7,2
LongExposureInfraredFrame,1,16,4,0,4,176,23,0,1,0.25,4,2
CoordinateMapper,4,43,1,0,18,446,63,0,1,0.119999997317791,13,0
Activity,0,0,0,0,0,8,0,0,0,-1,0,0
Appearance,0,0,0,0,0,4,0,0,0,-1,0,0
AudioBeam,3,14,6,0,0,230,15,0,1,0.5699999928474426,4,0
AudioBeamFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
AudioBeamFrameList,1,7,1,0,1,61,10,0,1,0,1,0
AudioBeamFrameReader,5,17,3,0,2,299,23,0,1,0.239999994635582,6,1
AudioBeamFrameReference,1,9,2,0,1,91,13,0,1,0.2199999988079071,3,0
AudioBeamMode,0,0,0,0,0,5,0,0,0,-1,0,1
AudioBodyCorrelation,1,6,2,0,0,58,7,0,1,0.3300000131130219,1,0
AudioSource,5,19,8,0,1,351,22,0,1,0.4699999988079071,6,0
BodyFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
BodyFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
BodyFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
BodyFrameSource,5,18,4,0,3,298,23,0,1,0.2199999988079071,6,0
BodyIndexFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
BodyIndexFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
BodyIndexFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
BodyIndexFrameSource,5,14,4,0,1,279,17,0,1,0.2899999916553497,6,0
CameraSpacePoint,0,3,3,0,3,37,4,0,0,-1,0,2
ColorCameraSettings,1,9,5,0,0,103,10,0,1,0.5600000023841858,1,0
ColorFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
ColorFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
ColorFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
ColorFrameSource,5,16,4,0,2,298,21,0,1,0.25,8,0
ColorImageFormat,0,0,0,0,0,9,0,0,0,-1,0,2
ColorSpacePoint,0,3,2,0,3,36,4,0,0,-1,0,2
CoordinateMappingChangedEventArgs,1,5,1,0,0,41,6,0,1,0,1,1
DepthFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
DepthFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
DepthFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
DepthFrameSource,5,16,6,0,1,309,19,0,1,0.3799999952316284,6,1
DepthSpacePoint,0,3,2,0,3,36,4,0,0,-1,0,1
DetectionResult,0,0,0,0,0,7,0,0,0,-1,0,0
Expression,0,0,0,0,0,5,0,0,0,-1,0,0
FrameCapturedEventArgs,1,8,4,0,0,88,9,0,1,0.5,1,7
FrameCapturedStatus,0,0,0,0,0,6,0,0,0,-1,0,0
FrameDescription,1,12,8,0,0,148,13,0,1,0.6700000166893005,1,3
FrameEdges,0,0,0,0,0,9,0,0,0,-1,0,0
FrameSourceTypes,0,0,0,0,0,12,0,0,0,-1,0,1
HandState,0,0,0,0,0,8,0,0,0,-1,0,0
InfraredFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
InfraredFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
InfraredFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
InfraredFrameSource,5,14,4,0,1,279,17,0,1,0.2899999916553497,6,0
IsAvailableChangedEventArgs,1,6,2,0,0,58,7,0,1,0.3300000131130219,1,1
Joint,0,3,3,0,3,37,4,0,0,-1,3,0
JointOrientation,0,3,2,0,3,36,4,0,0,-1,2,0
JointType,0,0,0,0,0,28,0,0,0,-1,0,2
KinectAudioCalibrationState,0,0,0,0,0,6,0,0,0,-1,0,0
KinectCapabilities,0,0,0,0,0,10,0,0,0,-1,0,0
KinectUnityAddinUtils,0,2,0,0,1,9,2,0,0,-1,0,0
LongExposureInfraredFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
LongExposureInfraredFrameReader,5,16,3,0,2,287,21,0,1,0.25,6,1
LongExposureInfraredFrameReference,1,8,2,0,1,79,11,0,1,0.25,3,0
LongExposureInfraredFrameSource,5,14,4,0,1,279,17,0,1,0.2899999916553497,6,0
MultiSourceFrame,1,11,7,0,0,177,12,0,1,0.6399999856948853,1,2
MultiSourceFrameArrivedEventArgs,1,6,2,0,0,65,7,0,1,0.3300000131130219,1,1
MultiSourceFrameReader,5,17,4,0,2,302,22,0,1,0.2899999916553497,6,1
MultiSourceFrameReference,1,7,1,0,1,62,10,0,1,0,3,0
TrackingConfidence,0,0,0,0,0,5,0,0,0,-1,0,0
TrackingState,0,0,0,0,0,6,0,0,0,-1,0,1
Vector4,0,3,4,0,3,38,4,0,0,-1,0,1
"CollectionMap<TKey,TValue>",0,1,0,0,1,18,1,0,0,-1,0,0
EventPump,2,4,1,0,2,70,6,0,0,0.75,2,18
ExceptionHelper,6,1,0,0,1,44,4,0,0,0,0,32
INativeWrapper,0,0,1,0,0,4,0,53,0,-1,0,1
NativeObjectCache,2,5,0,0,5,128,5,0,0,0,0,54
NativeWrapper,0,1,0,0,1,20,3,0,0,-1,1,0
SmartGCHandle,1,4,0,0,3,34,4,0,0,0,0,7
"ThreadSafeDictionary<TKey,TValue>",1,4,0,0,4,53,4,0,0,0,0,0
PropertyChangedEventArgs,1,6,2,0,0,63,7,0,1,0.3300000131130219,1,17
Complex,2,32,5,0,32,518,46,0,0,0.4399999976158142,0,1
Matrix,3,145,2,0,139,3588,436,0,0,0.119999997317791,2,0
