Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
LeanClassPool<T>,1,6,0,0,6,73,10,0,0,"0,8299999833106995",0,0
LeanPool,9,19,2,6,11,395,39,0,0,"0,10999999940395355",2,1
DelayedDestruction,2,0,0,2,0,6,0,0,0,-1,0,1
NotificationType,0,0,0,0,0,6,0,0,0,-1,0,1
LeanPooledRigidbody,0,2,0,0,0,17,2,0,0,-1,0,0
LeanPooledRigidbody2D,0,2,0,0,0,19,2,0,0,-1,0,0
TransitionHandler,0,2,0,0,0,4,2,0,0,-1,0,2
ControlParameters,1,1,1,0,1,31,3,0,0,0,0,1
Transition,6,6,2,1,6,96,11,2,0,"0,6700000166893005",4,5
CrossfadeTransition,2,4,0,0,4,41,5,0,1,"0,5",3,0
ClipTransition,5,3,0,3,3,70,6,0,1,0,5,0
Layer,7,9,0,4,9,101,17,0,0,"0,33000001311302185",3,3
MixamoWrapMode,0,0,0,0,0,4,0,0,0,-1,0,8
State,10,11,5,7,11,171,26,0,0,"0,18000000715255737",5,7
ClipRootMotionInfo,14,1,6,8,1,110,2,0,0,0,2,2
RootMotionSetup,3,3,0,3,3,33,6,0,0,0,0,2
RootMotionExtractionType,0,0,0,0,0,10,0,0,0,-1,0,2
RootMotionRotExtractionType,0,0,0,0,0,6,0,0,0,-1,0,2
TreeNode,4,7,2,2,7,39,7,3,0,"0,7099999785423279",3,4
BlankClip,0,5,0,0,5,22,5,0,1,-1,1,1
Clip,10,7,2,9,7,109,10,0,1,"0,4300000071525574",5,4
BlendNode,0,0,0,0,0,2,0,2,1,-1,0,0
Blend2d,0,5,2,0,5,45,5,0,2,-1,2,1
AdditiveBlend,0,5,2,0,5,46,5,0,2,-1,3,1
AnimationGraph,7,9,2,6,8,361,51,0,0,"0,2199999988079071",15,4
JSON,16,21,0,12,5,528,55,0,0,0,0,0
Util,0,3,0,0,3,16,3,0,0,-1,0,2
BodyCollider,2,2,0,1,0,22,2,0,0,0,0,0
CircularDrive,38,15,0,20,0,514,44,0,0,"0,12999999523162842",5,0
Axis_t,0,0,0,0,0,6,0,0,0,-1,0,0
ComplexThrowable,8,8,0,4,0,176,23,0,0,0,4,0
AttachMode,0,0,0,0,0,5,0,0,0,-1,0,1
ControllerHoverHighlight,8,12,0,2,2,180,29,0,0,"0,17000000178813934",2,0
CustomEvents,0,0,0,0,0,15,0,0,0,-1,0,0
UnityEventSingleFloat,0,0,0,0,0,4,0,0,0,-1,0,0
UnityEventHand,0,0,0,0,0,4,0,0,0,-1,0,1
DebugUI,2,2,1,0,0,34,2,0,0,0,1,0
DestroyOnDetachedFromHand,0,1,0,0,0,9,1,0,0,-1,1,0
DestroyOnParticleSystemDeath,1,2,0,0,0,23,3,0,0,0,0,0
DestroyOnTriggerEnter,2,2,0,1,0,25,4,0,0,0,0,0
DistanceHaptics,4,1,0,4,0,29,3,0,0,0,0,0
DontDestroyOnLoad,0,1,0,0,0,8,1,0,0,-1,0,0
EnumFlags,0,1,0,0,1,4,1,0,0,-1,0,3
EnumFlagsPropertyDrawer,0,1,0,0,1,8,1,0,0,-1,0,0
FallbackCameraController,6,3,0,3,0,83,11,0,0,"0,6700000166893005",0,0
Hand,25,27,4,14,11,856,85,0,0,0,13,28
HandType,0,0,0,0,0,6,0,0,0,-1,0,4
AttachmentFlags,0,0,0,0,0,8,0,0,0,-1,0,3
AttachedObject,3,0,0,3,0,6,0,0,0,-1,0,2
HandEditor,0,1,0,0,1,36,6,0,0,-1,2,0
HapticRack,7,5,0,5,0,69,8,0,0,0,2,0
HideOnHandFocusLost,0,1,0,0,0,8,1,0,0,-1,1,0
IgnoreHovering,1,0,0,1,0,5,0,0,0,-1,0,1
InputModule,2,5,1,0,5,65,7,0,0,"0,6000000238418579",0,2
Interactable,0,2,0,0,0,29,4,0,0,-1,1,4
InteractableButtonEvents,8,1,0,8,0,65,11,0,0,0,3,0
InteractableHoverEvents,4,4,0,4,0,35,4,0,0,1,1,0
ItemPackage,6,0,0,6,0,11,0,0,0,-1,1,3
ItemPackageType,0,0,0,0,0,1,0,0,0,-1,0,2
ItemPackageReference,1,0,0,1,0,4,0,0,0,-1,1,2
ItemPackageSpawner,16,14,1,11,0,329,49,0,0,"0,14000000059604645",8,0
LinearAnimation,5,2,0,2,0,51,5,0,0,0,1,0
LinearAnimator,4,2,0,2,0,46,5,0,0,0,1,0
LinearAudioPitch,6,3,0,5,0,44,6,0,0,0,1,0
LinearBlendshape,3,2,0,2,0,38,5,0,0,0,2,0
LinearDisplacement,3,2,0,2,0,28,4,0,0,0,1,0
LinearDrive,12,7,0,6,0,135,18,0,0,0,2,0
LinearMapping,1,0,0,1,0,4,0,0,0,-1,0,9
Player,9,7,10,8,3,389,20,0,0,"0,4300000071525574",2,10
PlaySound,21,8,0,19,6,203,21,0,0,"0,25",0,1
SeeThru,5,6,0,1,0,137,16,0,0,0,2,0
SleepOnAwake,0,1,0,0,0,12,2,0,0,-1,0,0
