Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Keyboard,7,4,2,0,1,118,14,0,0,0.75,3,3
Layout,0,0,0,0,0,4,0,0,0,-1,0,1
KeyboardDisplay,2,6,1,0,0,55,11,0,0,0.3300000131130219,1,0
KeyboardKey,11,8,1,5,4,116,17,0,0,0.3799999952316284,2,2
KeyboardKeyMesh,1,2,0,0,0,99,3,0,0,0,0,0
KeyboardMallet,5,9,0,2,0,108,18,0,0,0.5600000023841858,3,2
KeyboardMalletHandle,1,1,0,1,0,15,1,0,0,0,0,0
MoveAndScale,13,15,0,2,0,188,20,0,0,0,2,0
State,0,0,0,0,0,5,0,0,0,-1,0,1
IVRSystem,44,0,0,0,0,224,0,0,0,-1,0,1
IVRExtendedDisplay,3,0,0,0,0,19,0,0,0,-1,0,1
IVRTrackedCamera,12,0,0,0,0,64,0,0,0,-1,0,1
IVRApplications,30,0,0,0,0,154,0,0,0,-1,0,1
IVRChaperone,8,0,0,0,0,44,0,0,0,-1,0,1
IVRChaperoneSetup,20,0,0,0,0,104,0,0,0,-1,0,1
IVRCompositor,40,0,0,0,0,204,0,0,0,-1,0,1
IVROverlay,75,0,0,0,0,379,0,0,0,-1,0,1
IVRRenderModels,18,0,0,0,0,94,0,0,0,-1,0,1
IVRNotifications,2,0,0,0,0,14,0,0,0,-1,0,1
IVRSettings,12,0,0,0,0,64,0,0,0,-1,0,1
IVRScreenshots,7,0,0,0,0,39,0,0,0,-1,0,1
IVRResources,2,0,0,0,0,14,0,0,0,-1,0,1
CVRSystem,1,45,0,0,44,227,45,0,0,0,20,2
CVRExtendedDisplay,1,4,0,0,3,30,4,0,0,0,2,1
CVRTrackedCamera,1,13,0,0,12,76,13,0,0,0,7,1
CVRApplications,1,31,0,0,30,158,31,0,0,0,5,1
CVRChaperone,1,9,0,0,8,46,9,0,0,0,4,1
CVRChaperoneSetup,1,21,0,0,20,116,21,0,0,0,4,1
CVRCompositor,1,41,0,0,40,191,41,0,0,0,11,1
CVROverlay,1,76,0,0,75,404,76,0,0,0,19,1
CVRRenderModels,1,19,0,0,18,95,19,0,0,0,5,1
CVRNotifications,1,3,0,0,2,19,3,0,0,0,5,0
CVRSettings,1,13,0,0,12,61,13,0,0,0,2,1
CVRScreenshots,1,8,0,0,7,45,8,0,0,0,4,1
CVRResources,1,3,0,0,2,18,3,0,0,0,1,0
OpenVRInterop,0,8,0,0,0,19,8,0,0,-1,2,2
EVREye,0,0,0,0,0,5,0,0,0,-1,0,3
ETextureType,0,0,0,0,0,6,0,0,0,-1,0,2
EColorSpace,0,0,0,0,0,6,0,0,0,-1,0,2
ETrackingResult,0,0,0,0,0,8,0,0,0,-1,0,1
ETrackedDeviceClass,0,0,0,0,0,8,0,0,0,-1,0,1
ETrackedControllerRole,0,0,0,0,0,6,0,0,0,-1,0,1
