Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AAMode,0,0,0,0,0,10,0,0,0,-1,0,2
Antialiasing,22,3,0,15,3,141,7,0,1,0,1,1
Bloom,30,7,0,25,2,292,22,0,1,0,5,1
LensFlareStyle,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode,0,0,0,0,0,5,0,0,0,-1,0,1
HDRBloomMode,0,0,0,0,0,11,0,0,0,-1,0,2
BloomScreenBlendMode,0,0,0,0,0,9,0,0,0,-1,0,2
BloomQuality,0,0,0,0,0,5,0,0,0,-1,0,1
LensflareStyle34,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode34,0,0,0,0,0,5,0,0,0,-1,0,1
BloomAndFlares,34,6,0,26,1,220,16,0,1,0,4,1
BloomOptimized,8,3,0,6,1,80,7,0,1,0,2,0
Resolution,0,0,0,0,0,5,0,0,0,-1,0,1
BlurType,0,0,0,0,0,11,0,0,0,-1,0,3
Blur,4,5,1,3,1,89,9,0,0,"0,6000000238418579",0,0
BlurOptimized,6,3,0,5,3,65,7,0,1,0,1,0
CameraMotionBlur,30,10,0,18,1,309,30,0,1,0,1,1
MotionBlurFilter,0,0,0,0,0,7,0,0,0,-1,0,1
ColorCorrectionCurves,24,6,0,17,2,136,18,0,1,"0,33000001311302185",2,1
ColorCorrectionMode,0,0,0,0,0,5,0,0,0,-1,0,1
ColorCorrectionLookup,4,7,0,3,4,103,24,0,1,0,0,1
ColorCorrectionRamp,1,1,0,1,0,10,1,0,1,0,0,0
ContrastEnhance,7,2,0,5,1,57,4,0,1,0,0,0
ContrastStretch,13,5,4,7,0,173,17,0,0,"0,4000000059604645",0,0
CreaseShading,9,2,0,6,1,61,5,0,1,0,0,0
DepthOfField,25,8,0,18,1,299,23,0,1,0,2,1
BlurSampleCount,0,0,0,0,0,5,0,0,0,-1,0,1
DepthOfFieldDeprecated,43,15,0,26,1,339,45,0,1,"0,12999999523162842",5,1
Dof34QualitySetting,0,0,0,0,0,5,0,0,0,-1,0,1
DofResolution,0,0,0,0,0,6,0,0,0,-1,0,1
DofBlurriness,0,0,0,0,0,6,0,0,0,-1,0,1
BokehDestination,0,0,0,0,0,6,0,0,0,-1,0,1
EdgeDetection,11,5,0,9,1,71,9,0,1,0,1,0
EdgeDetectMode,0,0,0,0,0,8,0,0,0,-1,0,1
Fisheye,4,2,0,3,1,33,4,0,1,0,0,0
GlobalFog,9,3,0,8,1,116,6,0,1,0,0,0
Grayscale,2,1,0,2,0,13,1,0,1,0,0,0
ImageEffectBase,2,2,1,1,0,44,5,6,0,1,0,1
ImageEffects,0,3,0,0,3,30,4,0,0,-1,0,2
MotionBlur,3,3,0,2,0,56,6,0,1,"0,6700000166893005",1,0
NoiseAndGrain,18,3,0,15,1,140,11,0,1,0,0,1
NoiseAndScratches,18,4,1,12,0,120,9,0,0,"0,75",0,0
PostEffectsBase,3,13,0,0,2,201,27,22,0,"0,23000000417232513",0,1
PostEffectsHelper,0,4,0,0,0,155,10,0,0,-1,0,0
Quads,2,4,0,0,2,91,13,0,0,0,0,1
ScreenOverlay,5,2,0,4,1,54,4,0,1,0,1,0
OverlayBlendMode,0,0,0,0,0,8,0,0,0,-1,0,1
ScreenSpaceAmbientObscurance,8,3,0,7,1,77,8,0,1,0,0,0
ScreenSpaceAmbientOcclusion,11,7,0,9,0,176,15,0,0,"0,28999999165534973",1,0
SSAOSamples,0,0,0,0,0,6,0,0,0,-1,0,1
SepiaTone,0,1,0,0,0,10,1,0,1,-1,0,0
SunShafts,14,2,0,12,1,110,10,0,1,0,2,1
SunShaftsResolution,0,0,0,0,0,6,0,0,0,-1,0,1
ShaftsScreenBlendMode,0,0,0,0,0,5,0,0,0,-1,0,1
TiltShift,7,2,0,6,1,55,7,0,1,0,2,0
TiltShiftMode,0,0,0,0,0,5,0,0,0,-1,0,1
TiltShiftQuality,0,0,0,0,0,6,0,0,0,-1,0,1
Tonemapping,13,5,0,9,2,231,28,0,1,0,2,1
TonemapperType,0,0,0,0,0,10,0,0,0,-1,0,2
AdaptiveTexSize,0,0,0,0,0,10,0,0,0,-1,0,1
Triangles,2,4,0,0,0,83,13,0,0,0,0,0
Twirl,3,1,0,3,0,15,1,0,1,0,1,0
