Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
HeadBob,8,2,0,6,0,48,4,0,0,0,3,0
MouseLook,11,6,0,8,4,108,12,0,0,0,1,1
RigidbodyFirstPersonController,12,8,4,4,0,258,20,0,0,0,4,1
MovementSettings,9,1,1,8,1,55,6,0,0,0,0,1
AdvancedSettings,5,0,0,5,0,10,0,0,0,-1,0,1
Ball,6,2,0,0,1,41,4,0,0,0,0,1
BallUserControl,5,3,0,0,0,62,5,0,0,0,2,0
AICharacterControl,1,3,2,1,1,37,5,0,0,0.6700000166893005,1,0
ThirdPersonCharacter,20,10,0,0,2,220,22,0,0,0,0,2
ThirdPersonUserControl,5,3,0,0,0,68,7,0,0,0,2,0
AxisTouchButton,6,5,0,4,2,68,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,44,7,0,0,0.4300000071525574,1,0
CrossPlatformInputManager,3,24,1,0,22,311,26,0,0,0,4,13
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,45,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,74,6,0,0,0.800000011920929,0,3
InputAxisScrollbar,1,2,0,1,1,11,2,0,0,1,1,0
Joystick,9,8,0,4,3,111,16,0,0,0.25,3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,75,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,148,16,0,0,0.25,4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,126,25,2,0,0.7099999785423279,2,1
MobileInput,0,13,0,0,11,127,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,73,11,0,1,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,0
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,0
MappingType,0,0,0,0,0,7,0,0,0,-1,0,0
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
AAMode,0,0,0,0,0,10,0,0,0,-1,0,2
Antialiasing,22,3,0,15,3,160,7,0,1,0,1,1
Bloom,30,7,0,25,2,352,22,0,1,0,5,1
LensFlareStyle,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode,0,0,0,0,0,5,0,0,0,-1,0,1
HDRBloomMode,0,0,0,0,0,11,0,0,0,-1,0,2
BloomScreenBlendMode,0,0,0,0,0,9,0,0,0,-1,0,2
BloomQuality,0,0,0,0,0,5,0,0,0,-1,0,1
LensflareStyle34,0,0,0,0,0,6,0,0,0,-1,0,1
TweakMode34,0,0,0,0,0,5,0,0,0,-1,0,1
BloomAndFlares,34,6,0,26,1,282,16,0,1,0,4,1
BloomOptimized,8,3,0,6,1,103,7,0,1,0,2,0
Resolution,0,0,0,0,0,5,0,0,0,-1,0,1
BlurType,0,0,0,0,0,11,0,0,0,-1,0,3
Blur,4,5,1,3,1,100,9,0,0,0.6000000238418579,0,0
BlurOptimized,6,3,0,5,3,87,7,0,1,0,1,0
CameraMotionBlur,30,10,0,18,1,375,30,0,1,0,1,1
MotionBlurFilter,0,0,0,0,0,7,0,0,0,-1,0,1
ColorCorrectionCurves,24,6,0,17,2,175,18,0,1,0.3300000131130219,2,1
ColorCorrectionMode,0,0,0,0,0,5,0,0,0,-1,0,1
ColorCorrectionLookup,4,7,0,3,4,124,24,0,1,0,0,1
ColorCorrectionRamp,1,1,0,1,0,11,1,0,1,0,0,0
ContrastEnhance,7,2,0,5,1,71,4,0,1,0,0,0
ContrastStretch,13,5,4,7,0,191,17,0,0,0.4000000059604645,0,0
CreaseShading,9,2,0,6,1,76,5,0,1,0,0,0
DepthOfField,24,8,0,18,1,379,23,0,1,0.25,2,1
BlurSampleCount,0,0,0,0,0,5,0,0,0,-1,0,1
DepthOfFieldDeprecated,43,15,0,26,1,421,45,0,1,0.1299999952316284,5,1
Dof34QualitySetting,0,0,0,0,0,5,0,0,0,-1,0,1
DofResolution,0,0,0,0,0,6,0,0,0,-1,0,1
DofBlurriness,0,0,0,0,0,6,0,0,0,-1,0,1
BokehDestination,0,0,0,0,0,6,0,0,0,-1,0,1
EdgeDetection,11,5,0,9,1,83,9,0,1,0,1,0
EdgeDetectMode,0,0,0,0,0,8,0,0,0,-1,0,1
Fisheye,4,2,0,3,1,38,4,0,1,0,0,0
GlobalFog,8,3,0,7,1,141,6,0,1,0,0,0
Grayscale,2,1,0,2,0,13,1,0,1,0,0,0
ImageEffectBase,2,2,1,1,0,49,5,6,0,1,0,1
ImageEffects,0,3,0,0,3,35,4,0,0,-1,0,2
MotionBlur,3,3,0,2,0,64,6,0,1,0.6700000166893005,1,0
NoiseAndGrain,18,3,0,15,1,174,11,0,1,0,0,1
NoiseAndScratches,18,4,1,12,0,128,9,0,0,0.75,0,0
PostEffectsBase,3,13,0,0,2,237,27,22,0,0.2300000041723251,0,1
PostEffectsHelper,0,4,0,0,0,182,10,0,0,-1,0,0
Quads,2,4,0,0,2,116,13,0,0,0,0,1
ScreenOverlay,5,2,0,4,1,63,4,0,1,0,1,0
OverlayBlendMode,0,0,0,0,0,8,0,0,0,-1,0,1
ScreenSpaceAmbientObscurance,8,3,0,7,1,95,8,0,1,0,0,0
ScreenSpaceAmbientOcclusion,11,7,0,9,0,193,15,0,0,0.2899999916553497,1,0
SSAOSamples,0,0,0,0,0,6,0,0,0,-1,0,1
SepiaTone,0,1,0,0,0,10,1,0,1,-1,0,0
SunShafts,14,2,0,12,1,141,10,0,1,0,2,1
SunShaftsResolution,0,0,0,0,0,6,0,0,0,-1,0,1
ShaftsScreenBlendMode,0,0,0,0,0,5,0,0,0,-1,0,1
TiltShift,7,2,0,6,1,69,7,0,1,0,2,0
TiltShiftMode,0,0,0,0,0,5,0,0,0,-1,0,1
TiltShiftQuality,0,0,0,0,0,6,0,0,0,-1,0,1
Tonemapping,13,5,0,9,2,268,28,0,1,0,2,1
TonemapperType,0,0,0,0,0,10,0,0,0,-1,0,2
AdaptiveTexSize,0,0,0,0,0,10,0,0,0,-1,0,1
Triangles,2,4,0,0,0,105,13,0,0,0,0,0
Twirl,3,1,0,3,0,15,1,0,1,0,1,0
VignetteAndChromaticAberration,14,2,0,11,1,108,8,0,1,0,1,0
AberrationMode,0,0,0,0,0,5,0,0,0,-1,0,1
Vortex,3,1,0,3,0,14,1,0,1,0,1,0
AfterburnerPhysicsForce,6,3,0,4,0,62,7,0,0,0,0,0
ExplosionFireAndDebris,4,2,0,4,0,61,8,0,0,0,1,0
ExplosionPhysicsForce,1,1,0,1,0,29,4,0,0,0,1,0
Explosive,7,3,0,5,1,57,8,0,0,0,1,0
ExtinguishableParticleSystem,2,2,0,1,1,22,3,0,0,0,0,0
FireLight,3,3,0,0,1,33,4,0,0,0,0,0
Hose,6,1,0,5,0,29,3,0,0,0,0,0
ParticleSystemMultiplier,1,1,0,1,0,20,2,0,0,0,0,2
SmokeParticles,1,1,0,1,0,11,1,0,0,0,0,0
WaterHoseParticles,4,2,0,2,0,49,6,0,0,0,0,0
ActivateTrigger,5,2,0,5,0,88,5,0,0,0,1,0
Mode,0,0,0,0,0,9,0,0,0,-1,0,1
AutoMobileShaderSwitch,1,1,0,0,0,72,1,0,0,0,0,0
ReplacementDefinition,2,0,0,2,0,6,0,0,0,-1,0,2
ReplacementList,1,0,0,1,0,5,0,0,0,-1,1,0
ReplacementListDrawer,2,2,0,0,2,111,8,0,0,0,0,0
AutoMoveAndRotate,4,2,0,3,0,35,3,0,0,0,1,0
Vector3andSpace,2,0,0,2,0,6,0,0,0,-1,0,1
CameraRefocus,5,5,0,3,5,52,7,0,0,0,0,0
CurveControlledBob,9,2,0,4,2,47,4,0,0,0,0,1
DragRigidbody,7,3,0,0,0,89,10,0,0,0,0,0
DynamicShadowSettings,11,2,0,8,0,45,4,0,0,0,0,0
FollowTarget,2,1,0,2,0,11,1,0,0,0,0,0
