Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
FirstPersonController,30,11,0,0,0,250,25,0,0,0,5,0
HeadBob,8,2,0,6,0,48,4,0,0,0,3,0
MouseLook,11,6,0,8,4,108,12,0,0,0,1,2
RigidbodyFirstPersonController,12,8,4,4,0,258,20,0,0,0,4,1
MovementSettings,9,1,1,8,1,55,6,0,0,0,0,1
AdvancedSettings,5,0,0,5,0,10,0,0,0,-1,0,1
AxisTouchButton,6,5,0,4,2,68,10,0,0,0,2,0
ButtonHandler,1,7,0,1,6,44,7,0,0,"0,4300000071525574",1,0
CrossPlatformInputManager,3,24,1,0,22,311,26,0,0,0,4,12
ActiveInputMethod,0,0,0,0,0,5,0,0,0,-1,0,1
VirtualAxis,1,4,4,0,4,45,4,0,0,1,0,8
VirtualButton,3,5,5,0,5,74,6,0,0,"0,800000011920929",0,3
InputAxisScrollbar,1,2,0,1,1,11,2,0,0,1,1,0
Joystick,9,8,0,4,3,111,16,0,0,"0,25",3,0
AxisOption,0,0,0,0,0,12,0,0,0,-1,0,2
MobileControlRig,0,6,0,0,0,75,9,0,0,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,2
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,2
MappingType,0,0,0,0,0,7,0,0,0,-1,0,4
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
TouchPad,17,8,0,6,2,148,16,0,0,"0,25",4,0
ControlStyle,0,0,0,0,0,6,0,0,0,-1,0,1
VirtualInput,3,21,1,0,21,126,25,2,0,"0,7099999785423279",2,1
MobileInput,0,13,0,0,11,127,23,0,1,-1,3,0
StandaloneInput,0,11,0,0,11,73,11,0,1,-1,0,0
TiltInput,5,3,0,4,0,88,7,0,0,0,5,0
AxisOptions,0,0,0,0,0,5,0,0,0,-1,0,0
AxisMapping,2,0,0,2,0,15,0,0,0,-1,1,0
MappingType,0,0,0,0,0,7,0,0,0,-1,0,0
TiltInputAxisStylePropertyDrawer,0,1,0,0,1,40,3,0,0,-1,0,0
AfterburnerPhysicsForce,6,3,0,4,0,62,7,0,0,0,0,0
ExplosionFireAndDebris,4,2,0,4,0,61,8,0,0,0,1,0
ExplosionPhysicsForce,1,1,0,1,0,29,4,0,0,0,1,0
Explosive,7,3,0,5,1,57,8,0,0,0,1,0
